dataset	mean_same_ds_fraction	mean_ds_entropy
MPNST_1	0.988321295688334	0.0327914183855251
MPNST_2	0.910245183887916	0.215848288333906
MPNST_3	0.969024943310658	0.0751095218860601
MPNST_4	0.977907033105521	0.0626274678280343
