recommended_cluster	dataset	cell_count
MPNST_3_C11	MPNST_3	71
MPNST_3_C12	MPNST_3	51
MPNST_4_C00	MPNST_3	0
MPNST_4_C01	MPNST_3	0
MPNST_4_C02	MPNST_3	0
MPNST_4_C03	MPNST_3	0
MPNST_4_C04	MPNST_3	0
MPNST_4_C05	MPNST_3	0
MPNST_4_C06	MPNST_3	0
MPNST_4_C07	MPNST_3	0
MPNST_4_C08	MPNST_3	0
MPNST_4_C09	MPNST_3	0
MPNST_4_C10	MPNST_3	0
MPNST_4_C11	MPNST_3	0
MPNST_4_C12	MPNST_3	0
MPNST_4_C13	MPNST_3	0
MPNST_1_C00	MPNST_4	0
MPNST_1_C01	MPNST_4	0
MPNST_1_C02	MPNST_4	0
MPNST_1_C03	MPNST_4	0
MPNST_1_C04	MPNST_4	0
MPNST_1_C05	MPNST_4	0
MPNST_1_C06	MPNST_4	0
MPNST_1_C07	MPNST_4	0
MPNST_1_C08	MPNST_4	0
MPNST_1_C09	MPNST_4	0
MPNST_1_C10	MPNST_4	0
MPNST_1_C11	MPNST_4	0
MPNST_1_C12	MPNST_4	0
MPNST_1_C13	MPNST_4	0
MPNST_1_C14	MPNST_4	0
MPNST_1_C15	MPNST_4	0
MPNST_1_C16	MPNST_4	0
MPNST_1_C17	MPNST_4	0
MPNST_2_C00	MPNST_4	0
MPNST_2_C01	MPNST_4	0
MPNST_2_C02	MPNST_4	0
MPNST_2_C03	MPNST_4	0
MPNST_2_C04	MPNST_4	0
MPNST_2_C05	MPNST_4	0
MPNST_2_C06	MPNST_4	0
MPNST_2_C07	MPNST_4	0
MPNST_2_C08	MPNST_4	0
MPNST_3_C00	MPNST_4	0
MPNST_3_C01	MPNST_4	0
MPNST_3_C02	MPNST_4	0
MPNST_3_C03	MPNST_4	0
MPNST_3_C04	MPNST_4	0
MPNST_3_C05	MPNST_4	0
MPNST_3_C06	MPNST_4	0
MPNST_3_C07	MPNST_4	0
MPNST_3_C08	MPNST_4	0
