pc	stdev	variance_explained	cumulative_variance_explained
1	31.4458315746769	27.2226043640545	27.2226043640545
2	17.9583455896694	8.87842955479507	36.1010339188495
3	16.1192608028965	7.15309095861965	43.2541248774692
4	14.6762715324329	5.92973083259767	49.1838557100669
5	12.5594125209067	4.3425232674957	53.5263789775626
6	11.3304006048054	3.5342236938609	57.0606026714235
7	11.3000858035118	3.51533716624943	60.5759398376729
8	10.2590346413558	2.89745364114638	63.4733934788193
9	9.92960539587529	2.71436022842077	66.18775370724
10	9.18695294559024	2.32352038707267	68.5112740943127
11	9.0063210581498	2.23304951351319	70.7443236078259
12	8.41067384980739	1.94744449194787	72.6917680997738
13	8.34994795641085	1.91942452988812	74.6111926296619
14	8.00819354235824	1.76551993128029	76.3767125609422
15	7.27839582300551	1.45839391621959	77.8351064771617
16	6.88220428780331	1.30394304778729	79.139049524949
17	6.53136500312508	1.17438748137435	80.3134370063234
18	6.39942356226293	1.12741865197353	81.4408556582969
19	6.25389400203094	1.0767243522463	82.5175800105432
20	5.97013557603553	0.981232424229878	83.4988124347731
21	5.88591338738259	0.953742723570219	84.4525551583433
22	5.65729644849536	0.88109224168099	85.3336474000243
23	5.52590446991442	0.840640382794335	86.1742877828186
24	5.41332221838686	0.806735671125782	86.9810234539444
25	5.32363871947129	0.780226422393633	87.7612498763381
26	5.07907787511177	0.710187864451911	88.47143774079
27	5.02243590393442	0.694436132139542	89.1658738729295
28	4.98576151551661	0.684331459522245	89.8502053324518
29	4.87219180505818	0.653510029885388	90.5037153623371
30	4.71014226020552	0.610761358015572	91.1144767203527
31	4.67388463227759	0.601394538866212	91.7158712592189
32	4.48681508337906	0.554217003397522	92.2700882626165
33	4.45233145701607	0.545730818479506	92.815819081096
34	4.35292167027445	0.521633179655549	93.3374522607515
35	4.26328784821412	0.500371788864535	93.837824049616
36	4.22266386848675	0.490881344956988	94.328705394573
37	4.17595579303163	0.480081851369819	94.8087872459429
38	4.10683057849768	0.464319665085519	95.2731069110284
39	4.02580092043343	0.446177939061427	95.7192848500898
40	3.95863807029287	0.431414857199331	96.1506997072891
41	3.951444337449	0.429848326837059	96.5805480341262
42	3.91027659058861	0.420938316144159	97.0014863502703
43	3.85133649990661	0.408344240632713	97.4098305909031
44	3.79550602112803	0.396591016935565	97.8064216078386
45	3.75855802101415	0.388907233744156	98.1953288415828
46	3.73607447972452	0.384268295812494	98.5795971373953
47	3.648690719806	0.366503062222326	98.9461001996176
48	3.59734235725209	0.35625998576072	99.3023601853783
49	3.565145589426	0.349911360636549	99.6522715460149
50	3.55400768935453	0.34772845398514	100
