source	target	weight	p_value
p53	PPM1D	6.24952058106223	2.27433130314022e-21
p53	ANKRA2	10.8896309741869	2.32747109134171e-21
p53	PADI4	4.10773014766389	2.52595574339479e-20
p53	NECTIN4	9.30887621816103	3.57195175291331e-20
p53	SLC52A1	4.15558984583101	4.33347625153749e-20
p53	PHLDA3	6.79043734303921	2.30139713542216e-19
p53	DDB2	8.18558326014517	9.81192860085691e-19
p53	RRM2B	10.6329276794067	1.23679096978612e-18
p53	EDA2R	3.17913230269643	1.27613866773293e-18
p53	ZNF337	3.30176303014569	1.71129642988392e-18
p53	MUC19	7.0401102333555	7.88247763185818e-18
