gene	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	specificity
AZGP1	0	0	7.10493171723667	0.452	0.004	0	0.448
RP11-946L20.2	0	0	6.83732183793139	0.405	0.005	0	0.4
DHH	0	0	6.4798980312505	0.381	0.005	0	0.376
SHH	0	0	6.41287449476876	0.402	0.011	0	0.391
CMTM5	0	0	6.39066376106333	0.42	0.006	0	0.414
CHMP1B2P	0	0	6.2850306850695	0.376	0.006	0	0.37
PRIMA1	0	0	6.23979649699574	0.565	0.012	0	0.553
FXYD3	0	0	6.23257694837543	0.471	0.008	0	0.463
C10orf90	0	0	6.21106780192439	0.383	0.007	0	0.376
ERBB3	0	0	6.14651082098807	0.379	0.007	0	0.372
MPZ	0	0	6.1164598482041	0.374	0.02	0	0.354
ATP10B	0	0	6.09542204905561	0.518	0.01	0	0.508
PMP2	0	0	6.07750951558527	0.457	0.01	0	0.447
RP11-236F9.2	0	0	5.98397074630081	0.508	0.015	0	0.493
FOXD3	0	0	5.95211596109572	0.595	0.018	0	0.577
INSC	0	0	5.9472850455728	0.28	0.005	0	0.275
L1CAM	0	0	5.91297246267974	0.621	0.016	0	0.605
ALK	0	0	5.89604304864882	0.568	0.027	0	0.541
SOX10	0	0	5.88277985360173	0.616	0.014	0	0.602
RP11-189B4.6	0	0	5.87426629241416	0.312	0.006	0	0.306
EYA1	1	0	6.86479413703775	0.399	0.005	0	0.394
CADPS	1	0	6.3766825849322	0.389	0.009	0	0.38
PTPRT	1	0	6.25391842652091	0.565	0.024	0	0.541
SULT1E1	1	0	6.14745434827452	0.404	0.011	0	0.393
NPSR1-AS1	1	0	6.13990519600534	0.351	0.009	0	0.342
PTPRD	1	0	6.01888012460955	0.684	0.024	0	0.66
SLC8A3	1	0	5.93216621642997	0.288	0.006	0	0.282
EYA4	1	0	5.86436123384819	0.67	0.023	0	0.647
NDST4	1	0	5.85711520709061	0.3	0.01	0	0.29
