PC	Rank	Pos_Gene	Pos_Loading	Neg_Gene	Neg_Loading
PC_1	1	CD74	0.186222749733773	COL1A1	-0.0907172800323931
PC_1	2	HLA-DRB1	0.177466919869683	COL1A2	-0.084481262155539
PC_1	3	HLA-DRA	0.174342154658662	MGP	-0.0612433913097741
PC_1	4	HLA-DPA1	0.169069181311972	COL3A1	-0.0546932032051343
PC_1	5	HLA-DPB1	0.157079097762991	APOD	-0.0453165073589558
PC_1	6	TYROBP	0.148026707798766	DLK1	-0.0445073253181005
PC_1	7	HLA-DQB1	0.136459822818255	THBS4	-0.0445061265632228
PC_1	8	HLA-DQA1	0.13558987848969	PTN	-0.0408764221866475
PC_1	9	FTL	0.132479191129046	LUM	-0.0391634675589937
PC_1	10	C1QA	0.131289757189579	POSTN	-0.0359211247992629
PC_2	1	CLDN5	0.147180147074172	COL1A1	-0.150388100230541
PC_2	2	VWF	0.130496706454867	COL1A2	-0.137380243760324
PC_2	3	RAMP2	0.120398925427437	COL3A1	-0.0795920561155702
PC_2	4	EGFL7	0.119394380293277	MGP	-0.0768297682109507
PC_2	5	IL32	0.110674437780031	DLK1	-0.0675510355488897
PC_2	6	CDH5	0.109818873948731	THBS4	-0.0674355441751095
PC_2	7	CAV1	0.107984290156665	FTL	-0.0647951464964344
PC_2	8	ESAM	0.0987053504736906	C1QA	-0.062757047719363
PC_2	9	S100A16	0.0970592893109455	C1QC	-0.0596132352851423
PC_2	10	SOX18	0.0944318179005419	C1QB	-0.0561018658521491
PC_3	1	HSPA1A	0.138473716876886	RNASE1	-0.119956400833397
PC_3	2	DNAJB1	0.128744102892466	C1QA	-0.101699943034183
PC_3	3	HSP90AA1	0.126883127592541	C1QC	-0.098852765843266
PC_3	4	JUNB	0.105110805265904	C1QB	-0.0947052866741371
PC_3	5	HSPA1B	0.0973992542982278	VWF	-0.0771865710589581
PC_3	6	TOP2A	0.0970465831148794	SEPP1	-0.0718331344396841
PC_3	7	FOS	0.0944410763169454	FOLR2	-0.0704001493474144
PC_3	8	DUSP2	0.0927475429894827	EGFL7	-0.0695678012179678
PC_3	9	MKI67	0.0844528257304613	CLDN5	-0.069400274311096
PC_3	10	HMGB2	0.082936083853578	FTL	-0.068103493635569
PC_4	1	TOP2A	0.151769337140036	HSPA1A	-0.1119397892973
PC_4	2	KIAA0101	0.130325532887737	DNAJB1	-0.103269163920714
PC_4	3	MKI67	0.128496916597647	JUNB	-0.0924014041503123
PC_4	4	STMN1	0.124713029541897	HSP90AA1	-0.0842303492732956
PC_4	5	CENPF	0.123303383450375	FOS	-0.0826524008631402
PC_4	6	TUBA1B	0.119871355714023	HSPA1B	-0.0775335771472741
PC_4	7	UBE2C	0.115784987690561	DUSP2	-0.0764172456547994
PC_4	8	HMGB2	0.113628057995308	DNAJA1	-0.0680912860316213
