PC	Variance_Explained	Cumulative_Variance
1	13.346022609997	13.346022609997
2	3.50420718053229	16.8502297905293
3	2.83404270189287	19.6842724924222
4	2.6702416414764	22.3545141338986
5	1.43676480819625	23.7912789420948
6	1.35768811549313	25.148967057588
7	1.28158994061465	26.4305569982026
8	1.17960733149211	27.6101643296947
9	1.07598071847158	28.6861450481663
10	0.936576166393588	29.6227212145599
11	0.772221087913239	30.3949423024731
12	0.670319373419995	31.0652616758931
13	0.581485725056206	31.6467474009493
14	0.490645641166375	32.1373930421157
15	0.472445055305498	32.6098380974212
16	0.436255824890708	33.0460939223119
17	0.399964432394957	33.4460583547069
18	0.357839369337136	33.803897724044
19	0.34195652007771	34.1458542441217
20	0.325571912893974	34.4714261570157
21	0.314321957087734	34.7857481141034
22	0.287765253351438	35.0735133674549
23	0.271935525555885	35.3454488930107
24	0.256422945587091	35.6018718385978
25	0.24101415133622	35.8428859899341
26	0.234195163854727	36.0770811537888
27	0.223321904739206	36.300403058528
28	0.215974457560421	36.5163775160884
29	0.209229392684531	36.7256069087729
30	0.198819830991851	36.9244267397648
31	0.185217128551527	37.1096438683163
32	0.183138515737155	37.2927823840535
33	0.179096569095606	37.4718789531491
34	0.175238516144322	37.6471174692934
35	0.172743272751135	37.8198607420445
36	0.16797030438337	37.9878310464279
37	0.15997023699059	38.1478012834185
38	0.157592004751212	38.3053932881697
39	0.15608688685376	38.4614801750235
40	0.152869585913729	38.6143497609372
41	0.144256208653555	38.7586059695908
42	0.143282758076224	38.901888727667
43	0.14015742847019	39.0420461561372
44	0.136109123969599	39.1781552801068
45	0.1352934641218	39.3134487442286
46	0.131734255934486	39.445183000163
47	0.130213524841974	39.575396525005
48	0.128788516225797	39.7041850412308
49	0.12841788520296	39.8326029264338
50	0.125099609768632	39.9577025362024
