Resolution	Clusters	Min_Cluster_Size	Median_Cluster_Size	Max_Cluster_Size	Singletons	Prop_Small_Cells	Mean_Stability_ARI	R2_nCount_RNA	R2_percent_mt	R2_percent_ribo
0.1	6	313	785	3036	0	0	0.908130756150689	0.185558572201842	0.383662197326074	0.0979575980837876
0.2	8	146	501	2035	0	0	0.79446032439376	0.249281217106755	0.452553025974222	0.0957032197790556
0.3	9	150	596	1727	0	0	0.731778020477854	0.252786023132166	0.493228048824406	0.118528721655685
0.4	12	147	564	1195	0	0	0.611748911879787	0.272096855947425	0.522248376179571	0.130419118655005
0.5	12	151	498	1439	0	0	0.639411556181511	0.269576309675079	0.514340064038251	0.133369785980251
0.6	13	151	450	1032	0	0	0.695582808429659	0.26680396533622	0.51020269503951	0.138590698745376
0.7	14	151	402.5	1005	0	0	0.739861943870432	0.267833900527316	0.474376442686297	0.150472607267863
0.8	16	146	406.5	889	0	0	0.606982428096061	0.278552841093256	0.526322144624214	0.182671732659649
0.9	18	115	360	900	0	0	0.65313051148988	0.286619195219125	0.53469626390402	0.197668243205565
1	18	128	388	767	0	0	0.72116982825321	0.285619430526355	0.518509769605793	0.191313077447181
