resolution	score	n_clusters	min_size	median_size	stability_score	prop_robust	weak_clusters	small_clusters	covariate_concern
0.1	0.8081	6	313	785.0	0.9081	1.0000	0	0	MT_Bias
0.7	0.7399	14	151	402.5	0.7399	1.0000	0	0	MT_Bias
0.3	0.7318	9	150	596.0	0.7318	1.0000	0	0	MT_Bias
0.6	0.6956	13	151	450.0	0.6956	1.0000	0	0	MT_Bias
0.2	0.6945	8	146	501.0	0.7945	1.0000	0	0	MT_Bias
0.5	0.6394	12	151	498.0	0.6394	1.0000	0	0	MT_Bias
1.0	0.6212	18	128	388.0	0.7212	1.0000	0	0	MT_Bias
0.4	0.6117	12	147	564.0	0.6117	1.0000	0	0	MT_Bias
0.8	0.6070	16	146	406.5	0.6070	1.0000	0	0	MT_Bias
0.9	0.5531	18	115	360.0	0.6531	1.0000	0	0	MT_Bias
