PC	Technical_Metric	Pearson_R	Pearson_P	Spearman_R	Spearman_P
PC_1	nCount_RNA	0.0662097627427691	3.89263862151991e-08	-0.131375541416527	7.40901861311851e-28
PC_2	nCount_RNA	0.315867196512103	3.71406510546289e-159	-0.160157178519267	9.63070658380021e-41
PC_3	nCount_RNA	-0.0653277014905775	5.88428370044107e-08	-0.0846460824430166	2.05282511336238e-12
PC_4	nCount_RNA	0.18424561964018	1.4379439657093e-53	0.101079618430882	4.37814700143952e-17
PC_5	nCount_RNA	-0.236544197545855	4.45270885975468e-88	-0.232431930785706	5.04485763890942e-85
PC_6	nCount_RNA	0.296186264171855	2.76237806198711e-139	0.255504933946068	6.14243416797006e-103
PC_7	nCount_RNA	-0.176207632826885	4.44226214546847e-49	-0.164306091795908	8.10323261609364e-43
PC_8	nCount_RNA	-0.0539002782715143	7.7395971577607e-06	-0.0401257012233373	0.00087388152484751
PC_9	nCount_RNA	-0.0786493788364986	6.52695435770772e-11	0.0745164941783715	6.13358023803569e-10
PC_10	nCount_RNA	-0.107470025603293	4.01650153685236e-19	-0.056274555803645	3.01830262192351e-06
PC_11	nCount_RNA	0.165267766245191	2.62895516985401e-43	0.273474067630027	3.16088538249847e-118
PC_12	nCount_RNA	-0.106819422328641	6.56105582938216e-19	-0.116333217261808	3.72623637333766e-22
PC_13	nCount_RNA	-0.0816732183861246	1.17646036424337e-11	-0.0678961541268721	1.74094782589018e-08
PC_14	nCount_RNA	-0.0502651969352849	3.04259651210566e-05	0.06947265950768	8.06339306956818e-09
PC_15	nCount_RNA	0.0343891833226972	0.00434259276613023	0.129402084734801	4.54782863560117e-27
PC_1	nFeature_RNA	-0.146012817361137	4.4044234488322e-34	-0.30328573726377	2.81917097578217e-146
PC_2	nFeature_RNA	0.212449579043121	5.07598524364474e-71	-0.202630687478083	1.21458808872015e-64
PC_3	nFeature_RNA	-0.108102444376476	2.48564519190297e-19	-0.143263632663597	7.32249029164823e-33
PC_4	nFeature_RNA	0.246889747144876	5.01248356140893e-96	0.114568481301235	1.56427157389584e-21
PC_5	nFeature_RNA	-0.247939304085987	7.45298451140081e-97	-0.244858799866217	1.95222368018987e-94
PC_6	nFeature_RNA	0.242179723963528	2.3228742739205e-92	0.20706907141863	1.7437629211769e-67
PC_7	nFeature_RNA	-0.126332671438476	7.23408098538236e-26	-0.112106140375028	1.11594981339388e-20
PC_8	nFeature_RNA	-0.0366773059417379	0.00234985008363301	-0.0377657728557997	0.00173397676029947
PC_9	nFeature_RNA	-0.054428046302474	6.2983376364964e-06	0.0659518743680065	4.39487409777672e-08
PC_10	nFeature_RNA	-0.0938955079977792	6.07586226053254e-15	-0.0568537166326927	2.38519199977773e-06
PC_11	nFeature_RNA	0.153103590406422	2.42495155431355e-37	0.211113508912774	3.91520553325563e-70
PC_12	nFeature_RNA	-0.108748724546133	1.51774530837238e-19	-0.102346421912308	1.76719131362123e-17
PC_13	nFeature_RNA	-0.0778322988216057	1.02590155297145e-10	-0.0525214121167935	1.31439548524401e-05
PC_14	nFeature_RNA	-0.0278919430379082	0.0207202410587445	0.0691661848536139	9.37722111271747e-09
PC_15	nFeature_RNA	0.0271114646127645	0.0245573608763225	0.0714022387558611	3.07184190121993e-09
PC_1	percent.mt	1.65322153126128e-17	0.999999999999999	0.228640217175792	2.92689058766653e-82
PC_2	percent.mt	-5.481582775116e-18	1	0.117516326440617	1.40670559223911e-22
PC_3	percent.mt	1.91690282985946e-17	0.999999999999999	0.135734540425714	1.21902799352223e-29
PC_4	percent.mt	-1.58188004414277e-17	0.999999999999999	-0.0672470738544187	2.37837989073168e-08
PC_5	percent.mt	-2.519239308712e-18	1	-0.0468079115604934	0.000103135588750227
PC_6	percent.mt	1.5675157057866e-17	0.999999999999999	-0.00488581521990234	0.685405415129517
PC_7	percent.mt	-1.26624104720102e-17	0.999999999999999	0.0167995389112964	0.16362226360672
PC_8	percent.mt	1.20942228671672e-17	0.999999999999999	-0.0517608512125003	1.75082962926438e-05
PC_9	percent.mt	-1.08118197206551e-17	0.999999999999999	0.0797556249063426	3.51269538828186e-11
PC_10	percent.mt	5.62598344705495e-18	1	-0.167254184667311	2.5148950667099e-44
PC_11	percent.mt	-5.57987180013562e-18	1	-0.00702349859339936	0.560335165832079
PC_12	percent.mt	-1.5196594003202e-17	0.999999999999999	0.0374380427819385	0.00190167017377482
PC_13	percent.mt	1.00478798784269e-17	0.999999999999999	-0.0590154719629796	9.71154558319737e-07
PC_14	percent.mt	-5.85445034536334e-18	1	-0.0742774237802074	6.95737276181169e-10
PC_15	percent.mt	1.36758181005478e-17	0.999999999999999	0.0139418836144053	0.247675404332876
PC_1	percent.ribo	-0.165859418486418	1.31077882637963e-43	-0.157987496507893	1.1137022006464e-39
PC_2	percent.ribo	0.0965237232039702	1.04233085996679e-15	0.18685259405343	4.52799700093064e-55
PC_3	percent.ribo	0.117748902788596	1.16018977077616e-22	0.153219734434762	2.1379051176711e-37
PC_4	percent.ribo	-0.212973425030641	2.26982156992802e-71	-0.0407232224856461	0.000730497143945353
PC_5	percent.ribo	0.25469333667119	2.82430771441554e-102	0.29030250220531	1.21983204002905e-133
PC_6	percent.ribo	0.126079297589914	9.06279972700162e-26	0.144316794046556	2.51088331326104e-33
PC_7	percent.ribo	-0.33692811903065	3.68390047853345e-182	-0.387642513442059	2.01157585351357e-245
PC_8	percent.ribo	-0.148436278736221	3.53122713589971e-35	-0.131498076191508	6.61346982986094e-28
PC_9	percent.ribo	0.00211381253323174	0.860873848730272	0.00238561264071417	0.843203393268564
PC_10	percent.ribo	0.16073470215287	4.99040610955446e-41	0.210621629606747	8.27677137893792e-70
PC_11	percent.ribo	0.414575361455735	6.66981011394618e-284	0.402344254259931	5.51873951421466e-266
PC_12	percent.ribo	0.14459424505105	1.89140887669726e-33	0.21660535265973	8.06918320654559e-74
PC_13	percent.ribo	0.115436469055962	7.74579211757157e-22	0.149408299515879	1.26799227532517e-35
PC_14	percent.ribo	-0.101163846315405	4.12329923849872e-17	-0.0467739654985131	0.000104338421652065
PC_15	percent.ribo	0.0169983526715504	0.158693424910131	0.0669827337991713	2.69840147103322e-08
