cluster	cell_count	marker_count	specific_marker_count	weak_support	small_cluster
global	2284	5514	754	None	None
0	293	1110	177	FALSE	FALSE
1	237	588	38	FALSE	FALSE
2	175	829	138	FALSE	FALSE
3	172	865	56	FALSE	FALSE
4	160	859	127	FALSE	FALSE
5	160	762	202	FALSE	FALSE
6	143	776	162	FALSE	FALSE
7	140	386	12	FALSE	FALSE
8	132	726	97	FALSE	FALSE
9	113	313	9	FALSE	FALSE
10	112	144	43	FALSE	FALSE
11	111	1580	915	FALSE	FALSE
12	110	1081	386	FALSE	FALSE
13	99	97	0	FALSE	FALSE
14	79	186	47	FALSE	FALSE
15	48	746	274	FALSE	FALSE
