figure_path	dataset	processing_stage	analysis_method	parameters	input_object_checksum	generating_script	snakemake_rule	git_commit
reports/datasets/MPNST_2/markers/resolution_0.3/figures/MPNST_2_res0.3_top5_heatmap.png	MPNST_2	marker_discovery_visualization	top5_heatmap	resolution=0.3;test_use=wilcox;seed=42	8cee2e5af2431708021d31907f752a05	scripts/R/visualize_markers.R	visualize_markers	6424015dc8715709bd54bd09efe0b2ad18220f61
reports/datasets/MPNST_2/markers/resolution_0.3/figures/MPNST_2_res0.3_top5_dotplot.png	MPNST_2	marker_discovery_visualization	top5_dotplot	resolution=0.3;test_use=wilcox;seed=42	8cee2e5af2431708021d31907f752a05	scripts/R/visualize_markers.R	visualize_markers	6424015dc8715709bd54bd09efe0b2ad18220f61
reports/datasets/MPNST_2/markers/resolution_0.3/figures/MPNST_2_res0.3_representative_featureplots.png	MPNST_2	marker_discovery_visualization	representative_featureplots	resolution=0.3;test_use=wilcox;seed=42	8cee2e5af2431708021d31907f752a05	scripts/R/visualize_markers.R	visualize_markers	6424015dc8715709bd54bd09efe0b2ad18220f61
