cluster	cell_count	marker_count	specific_marker_count	weak_support	small_cluster
global	7615	9532	1445.5	None	None
0	993	1785	12	FALSE	FALSE
1	627	3520	215	FALSE	FALSE
2	549	1607	100	FALSE	FALSE
3	546	3106	137	FALSE	FALSE
4	499	2912	142	FALSE	FALSE
5	447	429	1	FALSE	FALSE
6	426	2841	42	FALSE	FALSE
7	403	3326	130	FALSE	FALSE
8	389	3544	150	FALSE	FALSE
9	382	524	1	FALSE	FALSE
10	368	1305	218	FALSE	FALSE
11	335	376	0	FALSE	FALSE
12	328	1426	90	FALSE	FALSE
13	309	648	5	FALSE	FALSE
14	287	453	0	FALSE	FALSE
15	284	593	76	FALSE	FALSE
16	277	1374	124	FALSE	FALSE
17	166	1465	108	FALSE	FALSE
