gene	cluster	rank	p_val_adj	avg_log2FC	pct.1	pct.2
PTHLH	0	1	0	4.10933286269864	0.661	0.079
TGFA	0	2	0	3.57964320231318	0.653	0.106
ESPN	0	3	0	3.53269124409273	0.444	0.05
VEGFA	0	4	0	3.02340675114356	0.97	0.628
AP000462.2	0	5	0	3.01904733125709	0.652	0.125
NDST4	1	1	0	4.26629178299973	0.619	0.05
NRK	1	2	0	3.75866555514437	0.625	0.069
COL25A1	1	3	0	3.61708255637151	0.746	0.099
DPF3	1	4	0	3.58555186155106	0.552	0.061
SULT1E1	1	5	0	3.57579060023054	0.718	0.077
RP11-733O18.1	2	1	0	6.66740001671811	0.311	0.005
CCL3L3	2	2	0	6.63236564106913	0.838	0.022
RP11-1080G15.1	2	3	0	6.13964946898464	0.439	0.013
FCGR1C	2	4	0	6.02748397616846	0.311	0.006
IL1A	2	5	0	6.02136430553514	0.352	0.008
CLDN10-AS1	3	1	0	5.3137453483138	0.306	0.011
ACPP	3	2	0	4.75567866218193	0.758	0.053
GRIA2	3	3	0	4.68579847566212	0.685	0.043
GAL3ST1	3	4	0	4.610498705629	0.692	0.052
STON2	3	5	0	4.54414304316298	0.771	0.056
GJB6	4	1	0	5.87834890928835	0.395	0.009
GFRA3	4	2	0	5.77894068792542	0.509	0.016
PCSK2	4	3	0	5.47351226592397	0.329	0.012
XKR4	4	4	0	4.61176835900471	0.872	0.088
NOV	4	5	0	4.422570752335	0.743	0.121
HFM1	5	1	1.42625901322729e-202	2.45062461012171	1	0.966
AC105402.4	5	2	4.50782365837827e-156	1.82933067040913	1	0.999
PRRC2C	5	3	1.70652754401797e-134	1.86508892995761	0.993	0.889
hsa-mir-6723	5	4	1.77576619466601e-121	1.72203071635023	1	0.996
DHFR	5	5	1.66416893403581e-106	1.66863549060191	1	0.993
RP4-678D15.1	6	1	0	3.36058177194409	0.808	0.108
SULT1E1	6	2	0	3.3012522396185	0.721	0.095
CYTL1	6	3	0	3.29860458777139	0.946	0.171
LRRC17	6	4	0	3.29253838975315	0.927	0.159
MDFI	6	5	0	3.25882332508717	0.92	0.132
BARX1	7	1	0	4.1319224837951	0.665	0.055
TNNT1	7	2	0	3.90553367474835	0.618	0.054
NPFFR2	7	3	5.6769953673138e-302	3.67459335598754	0.618	0.064
SFRP2	7	4	5.66627006961001e-287	3.47638448897274	0.635	0.074
EEF1A2	7	5	1.11548655502112e-270	3.83708332230806	0.496	0.044
KCNJ6	8	1	0	4.31864300285827	0.548	0.046
KIAA1244	8	2	0	3.72085405196411	0.751	0.094
CHRM3	8	3	4.19744284940098e-294	3.6411551087304	0.774	0.118
ZMAT4	8	4	3.97971643828442e-277	3.0801872629838	0.856	0.159
RP11-486O13.4	8	5	1.01402552245576e-261	3.24615104568289	0.781	0.137
KIRREL3	9	1	3.24372540769407e-162	3.43244101132184	0.707	0.191
SH3PXD2A	9	2	6.58801842162079e-151	2.51208848467405	0.979	0.539
NRXN1	9	3	4.7116501113461e-148	2.60810877095456	0.984	0.503
CADM1	9	4	4.06341553130605e-131	2.11627983706633	0.997	0.694
MTND2P28	9	5	1.02509733788718e-120	1.88959952895911	1	0.984
KDR	10	1	0	9.31377355485432	0.639	0.002
RP11-536O18.2	10	2	0	8.97203156489922	0.435	0.001
AC010084.1	10	3	0	8.92084411004043	0.495	0.002
PLVAP	10	4	0	8.83866363929693	0.84	0.016
CDH5	10	5	0	8.83438296648067	0.709	0.005
C1QC	11	1	1.83385875707313e-268	3.12035990888566	0.842	0.135
C1QA	11	2	3.11123918040002e-265	3.20919433126377	0.845	0.141
C1QB	11	3	2.95163671478582e-260	3.25813436241725	0.839	0.144
TYROBP	11	4	5.10229751447653e-219	2.76719812603526	0.833	0.16
FCER1G	11	5	7.89617816553067e-209	2.81846741868859	0.803	0.155
CST1	12	1	0	9.49200293805976	0.378	0.003
CST2	12	2	0	9.34145373473159	0.29	0.002
FMO2	12	3	0	9.21190940517611	0.631	0.003
PTGDS	12	4	0	8.3237788424084	0.296	0.005
PRG4	12	5	0	8.16285643127483	0.277	0.002
HS3ST2	13	1	0	6.23695943444779	0.311	0.007
ADAM28	13	2	0	3.97455009378555	0.786	0.088
ST18	13	3	5.85302346996028e-290	4.82974689350421	0.521	0.037
FCGR2B	13	4	8.17512361598425e-275	3.63421766118257	0.777	0.104
APOC1	13	5	6.7163751995894e-267	3.68627601588539	0.838	0.133
RPS19	14	1	5.20500931948858e-105	1.59032453590056	1	0.986
RPL28	14	2	9.95025453819285e-98	1.61432035472554	1	0.985
TMSB10	14	3	8.80192081859482e-84	1.31524903476863	1	0.992
SERF2	14	4	1.89968487292807e-74	1.39469762372009	1	0.968
GNAS	14	5	4.73218962874974e-73	1.16557973105948	1	0.995
CD3D	15	1	0	9.79526648275237	0.768	0.002
IFNG	15	2	0	9.65454848947649	0.423	0.001
GZMA	15	3	0	9.47686131431464	0.806	0.004
CD2	15	4	0	9.33191206265351	0.764	0.003
ICOS	15	5	0	9.17019476637527	0.567	0.002
FHL5	16	1	0	9.83071683161138	0.556	0.001
COX4I2	16	2	0	9.5244420010355	0.679	0.003
MYOCD	16	3	0	8.91230436610764	0.487	0.002
GJA4	16	4	0	8.85271749663929	0.661	0.003
SGCA	16	5	0	8.5798718347855	0.365	0.001
CD1C	17	1	0	9.8335664523928	0.392	0.001
FCN1	17	2	0	9.40381322291172	0.337	0.001
FCER1A	17	3	0	9.24840847778192	0.645	0.005
CLEC10A	17	4	0	8.17745149493892	0.47	0.004
LGALS2	17	5	0	7.66228934678321	0.452	0.004
