cluster	cell_count	marker_count	specific_marker_count	weak_support	small_cluster
global	2940	5510	784.5	None	None
0	422	320	17	FALSE	FALSE
1	409	976	119	FALSE	FALSE
2	321	770	65	FALSE	FALSE
3	271	945	130	FALSE	FALSE
4	207	209	9	FALSE	FALSE
5	189	151	1	FALSE	FALSE
6	174	810	47	FALSE	FALSE
7	168	799	73	FALSE	FALSE
8	163	902	47	FALSE	FALSE
9	148	1651	561	FALSE	FALSE
10	111	1847	641	FALSE	FALSE
11	98	710	99	FALSE	FALSE
12	81	674	65	FALSE	FALSE
13	71	1137	284	FALSE	FALSE
14	55	24	1	FALSE	FALSE
15	52	45	0	FALSE	FALSE
