gene	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	specificity
CD3D	0	1.3669355430281e-279	3.29887462745575	0.82	0.082	2.47360655866364e-275	0.738
GZMA	0	2.12223171847581e-273	3.56757341998159	0.78	0.075	3.84039051775382e-269	0.705
CCL5	0	1.80383593285473e-262	3.69604028427785	0.82	0.106	3.26422150409392e-258	0.714
CD69	0	2.802452723711e-262	4.04750885503162	0.855	0.14	5.07131844882742e-258	0.715
CD2	0	2.33754111386256e-247	2.83248093472846	0.822	0.098	4.23001439964569e-243	0.724
CD3E	0	1.2468515415922e-236	3.46742842670724	0.68	0.061	2.25630254966524e-232	0.619
CD3G	0	3.51862659187773e-221	3.64550723809912	0.607	0.047	6.36730668066195e-217	0.56
IL32	0	1.5386088379449e-215	2.88730349962398	0.82	0.139	2.7842665531451e-211	0.681
LCK	0	2.85150230568181e-211	3.62738128599805	0.576	0.042	5.1600785723618e-207	0.534
CD52	0	3.62535647444539e-210	2.96556598009895	0.808	0.143	6.56044507615638e-206	0.665
KLRB1	0	2.21276769503783e-195	3.71156301854846	0.6	0.064	4.00422442094045e-191	0.536
RPS27	0	5.50017784203221e-195	1.47568603056668	1	0.999	9.95312182294149e-191	0.001
CXCR4	0	2.8052415510846e-190	3.14920735738905	0.886	0.285	5.07636511084269e-186	0.601
CD96	0	4.23272446765216e-181	3.50863810644764	0.519	0.042	7.65953819666335e-177	0.477
GZMK	0	6.6841902174382e-177	3.67392510889892	0.517	0.045	1.20957106174762e-172	0.472
GZMM	0	6.73852493635623e-167	3.7424534091138	0.448	0.031	1.21940347248302e-162	0.417
CD7	0	4.71719230496133e-166	3.51399383469235	0.576	0.075	8.53623119505803e-162	0.501
CTSW	0	6.6299887532098e-166	3.2266315691208	0.547	0.063	1.19976276478085e-161	0.484
RPS3	0	4.3392232920498e-164	1.17675564226376	1	0.995	7.85225846929332e-160	0.005
SPOCK2	0	3.68900358142154e-161	3.27487046570973	0.533	0.059	6.67562088094041e-157	0.474
DAB2	1	0	4.64504506852843	0.932	0.134	0	0.798
LGMN	1	0	4.4090228877936	0.91	0.12	0	0.79
SLCO2B1	1	0	4.16586248463921	0.87	0.078	0	0.792
FOLR2	1	0	3.8299480357138	0.958	0.143	0	0.815
F13A1	1	1.53361840824463e-307	4.38406835600967	0.919	0.141	2.77523587155949e-303	0.778
CD163	1	3.98291314283651e-287	3.62796746402198	0.91	0.131	7.20747962327695e-283	0.779
STAB1	1	1.04200400947935e-286	4.03005746651653	0.976	0.227	1.88561045555384e-282	0.749
PLTP	1	3.31946441928649e-283	4.97074907571814	0.954	0.216	6.00690281314084e-279	0.738
C2	1	5.24348202000779e-280	4.34282135686563	0.758	0.071	9.4886050634061e-276	0.687
TMEM176B	1	1.22134330275163e-276	3.2872114435305	0.954	0.178	2.21014284065935e-272	0.776
SEPP1	1	8.8467864402191e-275	3.90035337656458	0.98	0.234	1.60091447422205e-270	0.746
LYVE1	1	2.63534100118071e-271	4.47314628126737	0.753	0.075	4.76891307573661e-267	0.678
MS4A4A	1	5.68496102386651e-266	3.15774884266808	0.936	0.163	1.02875054687888e-261	0.773
APOC1	1	1.25484040812884e-262	3.77615967288742	0.716	0.06	2.27075920254995e-258	0.656
MAF	1	9.67916632970332e-261	3.5958919153413	0.866	0.135	1.75154193902311e-256	0.731
MS4A7	1	2.79520670630098e-260	3.22151768756786	0.932	0.166	5.05820605572225e-256	0.766
CD209	1	4.10896760134079e-257	5.27678153814443	0.562	0.023	7.43558777138629e-253	0.539
