gene	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
PTHLH	0	0	3.68285276637027	0.683	0.101	0
TGFA	0	0	3.20253905879176	0.669	0.127	0
VEGFA	0	0	2.88514763179083	0.99	0.64	0
CRYAB	0	1.16206603975687e-278	2.12760620258679	0.966	0.471	3.21276398011582e-274
VIM	0	3.50798916215376e-268	1.57805189185695	1	0.995	9.6985376366065e-264
L1CAM	0	2.91860070344172e-265	2.59200125026065	0.691	0.159	8.06905536480531e-261
AP000462.2	0	3.10178283553111e-262	2.73922540369213	0.659	0.146	8.57549900539287e-258
S100A10	0	1.04299689516076e-257	1.81044594860658	0.999	0.823	2.88357351605096e-253
CADM1	0	1.24059972695457e-249	1.92326424513711	1	0.68	3.4298860651113e-245
CXXC5	0	2.53881734882947e-242	2.35410415600565	0.916	0.467	7.01906832430885e-238
NDRG1	0	6.5651665037882e-239	2.2820490891745	0.95	0.616	1.81507158330232e-234
MAL	0	1.55598638942791e-218	2.50985411254641	0.595	0.134	4.30183557085133e-214
GLUL	0	8.71873059305512e-208	2.74264785991032	0.861	0.452	2.41046744706195e-203
ESPN	0	9.95800519822765e-208	2.96295384282491	0.431	0.068	2.753089697154e-203
GAPDH	0	1.78151118971729e-201	1.41713795856216	1	0.979	4.9253439862114e-197
PMP22	0	3.22053184578951e-201	2.15566849357343	0.918	0.585	8.90380439405425e-197
TIMP3	0	1.08215801238551e-199	2.00587320909288	0.99	0.763	2.99184225684222e-195
LGALS3	0	2.02747155191704e-190	1.65327785029931	0.987	0.807	5.60535059958504e-186
BTG1	0	3.07912865635599e-188	1.5053335555957	0.996	0.793	8.51286699622741e-184
GSN	0	1.16847357758439e-182	1.7851536783736	0.993	0.867	3.23047889994755e-178
COL8A1	0	4.7338151847095e-180	1.57377260700535	0.975	0.643	1.30875788411664e-175
NXPH4	0	1.42051811916698e-176	2.99983562397608	0.374	0.06	3.92730644406095e-172
CDH19	0	7.80823498882948e-169	1.2154610084072	0.993	0.539	2.15874272736169e-164
OLFM1	0	3.21125276006825e-167	3.27717209566102	0.486	0.122	8.8781505057607e-163
NRN1	0	3.01157395254833e-165	1.96654843450501	0.809	0.402	8.32609850661038e-161
ALDOA	0	7.83022782974662e-161	1.08619332909717	0.999	0.912	2.16482308809005e-156
PGK1	0	3.00381956797075e-157	1.47522685835344	0.956	0.785	8.30465995956873e-153
PHLDA3	0	1.38790022785231e-156	1.60245387555028	0.868	0.495	3.83712775994327e-152
CHPF	0	4.38308117760381e-156	1.92730052045119	0.793	0.409	1.21179045317213e-151
PEBP1	0	2.8165760748108e-155	1.27127227929529	0.973	0.805	7.78698787402941e-151
TAGLN2	0	3.07174073507286e-154	1.27382155912618	0.983	0.815	8.49244161025594e-150
CDK18	0	1.58975259427233e-151	2.29404196796649	0.527	0.147	4.39518899738471e-147
SERPINE2	0	9.66905704381683e-150	0.332144008004432	0.987	0.619	2.67320420090404e-145
C4orf3	0	1.61330849175458e-149	1.35844130261114	0.938	0.706	4.46031398715389e-145
MXI1	0	1.17160540079484e-147	2.12606588285898	0.68	0.281	3.23913745157748e-143
RND3	0	4.39312014417264e-144	1.47787784886532	0.922	0.675	1.21456592625941e-139
EIF1	0	2.31861411340501e-143	0.960026579806772	1	0.972	6.41027243933082e-139
WBP5	0	2.98404541067515e-143	1.30972467054659	0.922	0.639	8.24999034689359e-139
CAV1	0	1.67804770381798e-142	1.24803237228858	0.894	0.497	4.63929848674556e-138
SORCS3	0	1.67306441244053e-140	2.10287328360042	0.503	0.136	4.62552118107434e-136
RNASE1	0	1.18727476295574e-139	1.45232802063967	0.564	0.163	3.28245853714372e-135
TCEAL7	0	5.42616515520672e-139	1.81981766622244	0.644	0.233	1.50017188046e-134
RPS27L	0	6.32198273909331e-139	1.17066859786007	0.966	0.826	1.74783856787713e-134
GPM6B	0	1.12380602962825e-138	0.916825833730218	0.942	0.488	3.10698653011322e-134
MT2A	0	3.37410206011967e-136	1.31807198728794	0.924	0.587	9.32837996561285e-132
SELM	0	1.15552484900699e-135	1.29630294842342	0.943	0.689	3.19467955004963e-131
FOXD3	0	2.74567133887992e-135	1.8595260410995	0.554	0.165	7.59095755060131e-131
RARRES2	0	1.34014054947504e-134	1.15175487575201	0.864	0.466	3.70508657713364e-130
ANXA2	0	3.0842160696518e-134	1.28433130497036	0.975	0.855	8.52693216776633e-130
DYNLT3	0	3.97036942883872e-134	2.04104736916265	0.64	0.254	1.09768803599104e-129
RASGEF1C	0	6.26155524052055e-134	1.7650918261401	0.575	0.177	1.73113217734672e-129
PLP2	0	9.41450928793933e-131	1.5768690568442	0.782	0.395	2.60282938283659e-126
DUSP23	0	1.61132710188941e-129	1.94740296272103	0.603	0.224	4.45483603859365e-125
PLP1	0	3.64331473756737e-129	1.47608804310559	0.695	0.258	1.00726722549525e-124
ZNF395	0	3.11614375672316e-128	2.15098273978389	0.516	0.163	8.61520264421251e-124
ADAMTS9-AS2	0	5.82136533628241e-128	1.22557242358937	0.933	0.637	1.609432874522e-123
LMCD1	0	2.64596837507945e-127	1.87489733659501	0.603	0.222	7.31530876658214e-123
LGI4	0	2.46308287999304e-124	1.25625756756358	0.807	0.369	6.80968523831675e-120
HS3ST5	0	3.75764474166635e-123	2.78737254170879	0.255	0.038	1.0388760417285e-118
LOX	0	7.00339247345231e-123	3.92402080660862	0.373	0.091	1.93622791713536e-118
SOX10	0	1.38253411764243e-122	1.72067525070039	0.547	0.17	3.82229207504603e-118
ADAMTS2	0	2.25257499712562e-122	1.95683608668938	0.554	0.192	6.2276940945532e-118
SLC6A6	0	1.72779242148903e-119	2.1243379438119	0.593	0.237	4.77682770769071e-115
FUNDC2	0	3.33511759815949e-118	1.98539161255106	0.661	0.306	9.22059962363154e-114
OLFML2A	0	4.50380295387859e-118	2.34946323360864	0.38	0.091	1.24516640265881e-113
FAM19A5	0	9.85402264524565e-116	1.93011897019239	0.542	0.185	2.72434164073106e-111
CHL1	0	2.70456577488084e-115	1.22993062327525	0.664	0.231	7.47731299781307e-111
RP11-236F9.2	0	9.15825755325198e-114	1.63223214809976	0.48	0.14	2.53198346574757e-109
ENO2	0	2.60036701134496e-113	1.68727100159359	0.666	0.309	7.1892346762654e-109
SEPT9	0	7.7401204326276e-113	1.35950537577045	0.882	0.705	2.13991109600855e-108
S100A6	0	3.33557465221166e-112	0.707243782857688	1	0.868	9.22186324096956e-108
