cluster	cell_count	marker_count	specific_marker_count	weak_support	small_cluster
global	7615	9649	1426	None	None
0	706	1382	6	FALSE	FALSE
1	533	3117	118	FALSE	FALSE
2	498	2908	129	FALSE	FALSE
3	451	1662	110	FALSE	FALSE
4	442	3535	199	FALSE	FALSE
5	420	2847	47	FALSE	FALSE
6	413	3311	108	FALSE	FALSE
7	406	765	3	FALSE	FALSE
8	384	3559	147	FALSE	FALSE
9	381	522	1	FALSE	FALSE
10	363	1264	8	FALSE	FALSE
11	336	377	0	FALSE	FALSE
12	328	1426	81	FALSE	FALSE
13	302	1606	11	FALSE	FALSE
14	297	1689	253	FALSE	FALSE
15	287	453	0	FALSE	FALSE
16	284	593	77	FALSE	FALSE
17	277	1374	116	FALSE	FALSE
18	270	408	3	FALSE	FALSE
19	166	1465	103	FALSE	FALSE
20	71	90	0	FALSE	FALSE
