gene	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
COL14A1	0	0	4.2767622782654	0.992	0.27	0
THY1	0	0	4.45203320707227	0.986	0.294	0
CCDC80	0	0	4.95602427508255	0.996	0.427	0
FBLN1	0	0	4.44634990232482	0.996	0.58	0
EFEMP1	0	9.69207386150432e-299	3.81150609546789	0.972	0.383	1.74583326467277e-294
PRRX1	0	3.92254986055378e-294	3.34087560840756	0.953	0.267	7.06568906381553e-290
COL6A3	0	9.38391524884887e-294	3.48079591042775	0.995	0.564	1.69032465377515e-289
SFRP2	0	4.83573205636273e-291	5.36105692560486	0.976	0.777	8.71060415312619e-287
BGN	0	1.89489158143117e-284	3.27173441277233	0.986	0.472	3.41326820563196e-280
NNMT	0	5.16409939957618e-284	3.19948016702533	0.989	0.553	9.30209224845658e-280
STEAP1	0	2.49818052568893e-279	5.09550208593198	0.74	0.037	4.49997258092347e-275
CXCL14	0	3.47409468888515e-278	4.58859195907172	0.957	0.5	6.25788676308883e-274
PPIC	0	1.09817211220435e-271	3.00455161115985	0.977	0.474	1.9781374257137e-267
COL1A2	0	6.36240399286219e-270	2.98920339189492	1	0.855	1.14605983123427e-265
COL3A1	0	3.9221212592664e-269	3.65720432096583	1	0.831	7.06491702431657e-265
MGP	0	4.1001742348273e-267	3.07246919368746	0.997	0.744	7.38564384919442e-263
SERPINF1	0	5.3183888462952e-266	2.47311826504946	0.999	0.774	9.58001382883155e-262
FAP	0	1.22414668040261e-265	3.93007402634986	0.813	0.106	2.20505541540923e-261
ASPN	0	2.95395785828691e-265	4.67987165766024	0.85	0.192	5.32096429013221e-261
PLA2G2A	0	7.51663256222351e-261	5.75192949135481	0.973	0.78	1.35397102343332e-256
MEDAG	0	1.37837328469541e-257	4.44009216104737	0.762	0.081	2.48286379772185e-253
GAS1	0	2.01653924717715e-257	5.98383388440497	0.678	0.027	3.6323921459402e-253
MFAP4	0	1.7389646649051e-254	4.07757683913187	0.816	0.133	3.13239705089356e-250
RP11-572C15.6	0	2.89709850993923e-252	5.11499840500884	0.743	0.081	5.21854354595353e-248
COL1A1	0	1.22701143767579e-250	3.33821110759154	1	0.82	2.2102157026854e-246
ABCC9	0	6.35730870642065e-249	4.6258394562537	0.652	0.019	1.14514201728755e-244
COL6A2	0	6.56165474718894e-246	2.09299499835221	1	0.729	1.18195086961114e-241
GEM	0	6.3453354691157e-245	3.40140166290427	0.889	0.266	1.14298527805181e-240
THBS2	0	3.16666703611281e-241	3.23733529614191	0.901	0.3	5.70411733215e-237
RARRES1	0	1.63296264353384e-240	4.09036426504687	0.866	0.245	2.9414556097975e-236
IGFBP4	0	1.41100865230172e-237	2.32781588109016	1	0.783	2.54164988539109e-233
PCOLCE	0	3.69622170665953e-237	2.18313305317734	0.999	0.649	6.65800416020581e-233
MMP2	0	2.31078133022416e-236	2.40455769482028	0.995	0.669	4.16241041013278e-232
COL5A2	0	4.80824181106066e-235	3.27044007073064	0.923	0.348	8.66108597426356e-231
HTRA1	0	7.52314663286693e-235	2.62845896680703	0.963	0.48	1.35514440297832e-230
COL6A1	0	9.55524600760235e-232	2.39872978066678	0.989	0.616	1.72118646334941e-227
IGF1	0	2.30724887392267e-219	3.71468526109285	0.912	0.436	4.15604739659691e-215
FSTL1	0	8.15266640002785e-217	2.11757217250563	0.992	0.638	1.46853979863702e-212
MXRA5	0	2.71602646141329e-215	4.61759975816657	0.628	0.039	4.89237846494376e-211
GPRC5A	0	3.5972594684384e-214	4.95789097464771	0.608	0.033	6.47974348049809e-210
PRRX2	0	1.02509245857324e-212	4.33576518410711	0.628	0.043	1.84649904562798e-208
S100A10	0	2.94448133911241e-212	2.03593216476817	1	0.848	5.30389423614319e-208
AEBP1	0	1.01602868180118e-209	2.44095400124455	0.955	0.477	1.83017246452847e-205
P4HA3	0	3.11323505823293e-208	5.19982373401426	0.576	0.023	5.60787031039498e-204
PPAP2A	0	1.79861217827945e-205	2.58519747175635	0.904	0.349	3.23984011673477e-201
SPOCK1	0	4.15947228202083e-204	4.1818275415248	0.629	0.052	7.49245742160411e-200
FMOD	0	7.04305981523952e-204	2.8459599164263	0.832	0.209	1.26866636451909e-199
PRG4	0	3.27812935770948e-202	5.38677348112639	0.586	0.034	5.90489441204208e-198
VCAN	0	6.83982339477004e-198	1.99501582319267	0.991	0.617	1.23205738809993e-193
CTSK	0	6.37427450043245e-196	2.47446840944392	0.926	0.443	1.1481980657629e-191
GPNMB	0	1.94011282292936e-195	3.00631526638794	0.848	0.29	3.49472522794266e-191
SPARC	0	2.866997620062e-195	2.49112992522863	1	0.742	5.16432281301768e-191
RBP4	0	1.01984164366638e-194	4.8826099604055	0.709	0.149	1.83704075273626e-190
ACKR3	0	1.1039223041958e-194	4.20367432269265	0.689	0.109	1.9884952465479e-190
PRSS23	0	7.50727229433785e-194	3.63297742785772	0.797	0.224	1.35228495837908e-189
CERCAM	0	7.95329388548544e-194	3.02815984721774	0.793	0.204	1.43262682759249e-189
ANGPTL2	0	1.31361307681485e-193	3.00784868907355	0.766	0.164	2.36621123526658e-189
ELN	0	4.5596697683951e-192	3.75731434405011	0.71	0.124	8.21333315381009e-188
C1R	0	5.58744982996516e-191	1.74792506833463	1	0.708	1.00646733787162e-186
BASP1	0	1.47729894354318e-190	2.19716090109938	0.936	0.415	2.66105858700433e-186
PTGFR	0	2.67445848981003e-190	3.38060083217319	0.701	0.113	4.8175020776948e-186
MFAP5	0	7.5487481306699e-190	2.73469419188918	0.913	0.433	1.35975600077757e-185
PTGIS	0	2.73346931096726e-189	4.41780384360971	0.552	0.028	4.92379826984533e-185
FAM134B	0	5.7806663706379e-188	4.29830229858367	0.556	0.03	1.04127143334301e-183
FGF7	0	1.18997265524207e-187	2.8490189122522	0.905	0.432	2.14349774388755e-183
TIMP1	0	1.93211437678151e-187	1.7381725300911	0.999	0.966	3.48031762689653e-183
LXN	0	1.16115699438832e-185	4.26348642467227	0.616	0.068	2.09159209399167e-181
CTHRC1	0	1.23603238075022e-185	3.49292572441183	0.873	0.43	2.22646512744537e-181
LOX	0	1.8923022199459e-185	3.67883864727103	0.643	0.08	3.40860398878854e-181
NFIX	0	2.57227213190691e-185	2.57154822543754	0.77	0.155	4.63343379120391e-181
COL12A1	0	6.76610094691414e-185	2.96145246625186	0.812	0.249	1.21877776356764e-180
