Resolution	Clusters	Min_Cluster_Size	Median_Cluster_Size	Max_Cluster_Size	Singletons	Prop_Small_Cells	Mean_Stability_ARI	R2_nCount_RNA	R2_percent_mt	R2_percent_ribo
0.1	6	48	341.5	739	0	0	0.950058397191471	0.481605639391421	0.116108702128897	0.233917403150913
0.2	7	48	250	741	0	0	0.930116865104019	0.493262010514917	0.131862333524387	0.217942007738973
0.3	9	48	176	741	0	0	0.933293867529187	0.495196629322791	0.13695838305119	0.344318335504323
0.4	9	48	176	740	0	0	0.820413836832092	0.495294549264094	0.136844248070688	0.344601095341949
0.5	10	48	213.5	473	0	0	0.851148859518488	0.577098761960885	0.163632416817511	0.371547107849773
0.6	12	48	167.5	427	0	0	0.711181950036425	0.544677060984814	0.184066860400379	0.378627077950971
0.7	14	48	161	425	0	0	0.783592432691558	0.563687966987917	0.204742135043307	0.39267377231897
0.8	14	48	161	422	0	0	0.847074711797034	0.56076929041227	0.206530383047031	0.393860183491725
0.9	16	48	136	293	0	0	0.789402158945184	0.569657357797022	0.207227674272874	0.390318366553756
1	16	48	136	293	0	0	0.800608415738044	0.571522845323433	0.212130555467113	0.389008845376486
