resolution	score	n_clusters	min_size	median_size	stability_score	prop_robust	weak_clusters	small_clusters	covariate_concern
0.3	0.9333	9	48	176.0	0.9333	1.0000	0	0	None
0.5	0.8511	10	48	213.5	0.8511	1.0000	0	0	None
0.1	0.8501	6	48	341.5	0.9501	1.0000	0	0	None
0.8	0.8471	14	48	161.0	0.8471	1.0000	0	0	None
0.2	0.8301	7	48	250.0	0.9301	1.0000	0	0	None
0.4	0.8204	9	48	176.0	0.8204	1.0000	0	0	None
0.7	0.7836	14	48	161.0	0.7836	1.0000	0	0	None
0.6	0.7112	12	48	167.5	0.7112	1.0000	0	0	None
1.0	0.7006	16	48	136.0	0.8006	1.0000	0	0	None
0.9	0.6894	16	48	136.0	0.7894	1.0000	0	0	None
