PC	Rank	Pos_Gene	Pos_Loading	Neg_Gene	Neg_Loading
PC_9	7	MT2A	0.119250370275339	TCF4	-0.0655908018813868
PC_9	8	PLP1	0.119067422182821	GSN	-0.0641071555166113
PC_9	9	MBP	0.110620068546059	LUM	-0.0597010494117521
PC_9	10	TSC22D4	0.106730056528946	CCDC80	-0.0583815133979324
PC_10	1	COL5A2	0.102878170288458	CD9	-0.170562196371681
PC_10	2	COL1A2	0.0935137794255537	SFRP4	-0.141173602823649
PC_10	3	FN1	0.0875630651357692	RBP4	-0.106897171970687
PC_10	4	COL6A1	0.0859233796685685	CCDC80	-0.101717669573416
PC_10	5	COL3A1	0.0847824636552863	CLU	-0.100283432332947
PC_10	6	COL1A1	0.0847244769826799	PLA2G2A	-0.0880798917178418
PC_10	7	COL5A1	0.0845316407422569	TAC1	-0.0871414126325308
PC_10	8	CPE	0.0832338806378956	FBLN1	-0.0843312284160522
PC_10	9	PRSS23	0.0827488115108698	CXCL14	-0.0827235661020994
PC_10	10	ADAM12	0.0812240493464916	IGFBP5	-0.0771826470779381
