PC	Variance_Explained	Cumulative_Variance
1	14.0256436085707	14.0256436085707
2	5.57245093966436	19.5980945482351
3	3.73186428991688	23.329958838152
4	2.27649531266434	25.6064541508163
5	2.03089830663157	27.6373524574479
6	1.50335133003115	29.140703787479
7	1.48055453270166	30.6212583201807
8	1.13300170834141	31.7542600285221
9	1.09698841840432	32.8512484469264
10	0.900998540101969	33.7522469870284
11	0.809977145516596	34.562224132545
12	0.765873070108511	35.3280972026535
13	0.605762632774899	35.9338598354284
14	0.543203066130286	36.4770629015587
15	0.51072527668208	36.9877881782408
16	0.499606568732037	37.4873947469728
17	0.467959405768768	37.9553541527416
18	0.426416695640041	38.3817708483816
19	0.379789681591171	38.7615605299728
20	0.35959568880102	39.1211562187738
21	0.332587454982992	39.4537436737568
22	0.318557249890697	39.7723009236475
23	0.31169794058694	40.0839988642344
24	0.302381798798939	40.3863806630334
25	0.282509616140552	40.6688902791739
26	0.271024060512095	40.939914339686
27	0.263720820629667	41.2036351603157
28	0.244565268746064	41.4482004290617
29	0.233549869645162	41.6817502987069
30	0.227911416406788	41.9096617151137
31	0.212801584880027	42.1224632999937
32	0.206630046031357	42.3290933460251
33	0.198171590620645	42.5272649366457
34	0.196574806774286	42.72383974342
35	0.188419065555052	42.9122588089751
36	0.184814257697347	43.0970730666724
37	0.183324423280996	43.2803974899534
38	0.175792516885355	43.4561900068388
39	0.174102762543633	43.6302927693824
40	0.169625378736737	43.7999181481191
41	0.166381808869423	43.9662999569885
42	0.164880702845452	44.131180659834
43	0.161874018220444	44.2930546780544
44	0.15596858228466	44.4490232603391
45	0.149707527078674	44.5987307874178
46	0.147315726647694	44.7460465140655
47	0.145720090130502	44.891766604196
48	0.144333663665951	45.0361002678619
49	0.138277192143697	45.1743774600056
50	0.135742921761179	45.3101203817668
