resolution	number_of_clusters	minimum_cluster_size	median_cluster_size	maximum_cluster_size	stability_score	technical_covariate_concern
0.1	6	48	341.5	739	0.9501	None
0.2	7	48	250	741	0.9301	None
0.3	9	48	176	741	0.9333	None
0.4	9	48	176	740	0.8204	None
0.5	10	48	213.5	473	0.8511	None
0.6	12	48	167.5	427	0.7112	None
0.7	14	48	161	425	0.7836	None
0.8	14	48	161	422	0.8471	None
0.9	16	48	136	293	0.7894	None
1	16	48	136	293	0.8006	None
