figure_path	dataset	processing_stage	analysis_method	parameters	input_object_checksum	generating_script	snakemake_rule	git_commit
reports/datasets/MPNST_2/pca_umap_grid.png	MPNST_2	clustering_resolution_sweep	umap_grid	res=0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0;k=20;seed=42	edefab962e3c0a807d74e31e22a86b58	scripts/R/run_clustering_sweep.R	run_clustering_sweep	7d953d7016529a5f7ce493c11f554345796f6e79
reports/datasets/MPNST_2/umap_recommended.png	MPNST_2	clustering_resolution_sweep	umap_recommended	res=0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0;k=20;seed=42	edefab962e3c0a807d74e31e22a86b58	scripts/R/run_clustering_sweep.R	run_clustering_sweep	7d953d7016529a5f7ce493c11f554345796f6e79
reports/datasets/MPNST_2/clustering_metrics.png	MPNST_2	clustering_resolution_sweep	clustering_metrics	res=0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0;k=20;seed=42	edefab962e3c0a807d74e31e22a86b58	scripts/R/run_clustering_sweep.R	run_clustering_sweep	7d953d7016529a5f7ce493c11f554345796f6e79
reports/datasets/MPNST_2/clustering_stability.png	MPNST_2	clustering_resolution_sweep	clustering_stability	res=0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0;k=20;seed=42	edefab962e3c0a807d74e31e22a86b58	scripts/R/run_clustering_sweep.R	run_clustering_sweep	7d953d7016529a5f7ce493c11f554345796f6e79
reports/datasets/MPNST_2/clustering_tree.png	MPNST_2	clustering_resolution_sweep	clustering_tree	res=0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0;k=20;seed=42	edefab962e3c0a807d74e31e22a86b58	scripts/R/run_clustering_sweep.R	run_clustering_sweep	7d953d7016529a5f7ce493c11f554345796f6e79
