gene	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
LUM	0	1.52430726025335e-156	1.19416950386132	0.951	0.676	3.05196799647926e-152
OGN	0	4.27639262620556e-133	0.912069710276029	0.985	0.744	8.56219331618877e-129
DCN	0	1.59219425165586e-123	0.845832265772139	0.996	0.757	3.18789133066535e-119
COL3A1	0	1.0675474746896e-115	0.834516760677642	0.999	0.812	2.13744355382352e-111
COL1A2	0	6.96991645444688e-98	0.660270241071327	1	0.844	1.39551667250935e-93
MGP	0	1.07129721248223e-93	0.842008092445932	0.98	0.807	2.14495127883193e-89
CD81	0	5.43804450556251e-90	0.563146342680164	1	0.96	1.08880527090373e-85
COL5A2	0	1.44104395615218e-87	0.693286264207814	0.968	0.703	2.8852582090079e-83
CYGB	0	2.12232948252069e-82	0.984131355175521	0.739	0.424	4.24932808990293e-78
CAPN6	0	3.6844483597031e-82	1.08978477151161	0.656	0.344	7.37700250579754e-78
IGFBP4	0	1.03351477880845e-81	0.777072092101022	0.914	0.659	2.06930329013027e-77
RPL10	0	2.16330564734482e-80	0.434992393178709	1	1	4.3313705671138e-76
CPE	0	3.15284710188301e-78	0.807623801742186	0.881	0.604	6.31263046739017e-74
SSPN	0	1.46124001642193e-76	1.0370896199523	0.638	0.337	2.92569476087999e-72
LAPTM4A	0	2.06809314747572e-76	0.650281028395715	0.956	0.835	4.14073609987588e-72
COL1A1	0	4.41294979176721e-75	0.564486975901475	1	0.852	8.83560807307631e-71
KRT10	0	1.56456725962514e-74	0.660983625521379	0.946	0.755	3.13257656722145e-70
C1S	0	1.34878766490994e-73	0.779313217866847	0.806	0.502	2.70054266268268e-69
SOD3	0	4.27538036539737e-70	1.00778347708796	0.595	0.306	8.56016656759861e-66
IGF2	0	3.18405201067121e-69	0.489765246170266	0.992	0.825	6.3751089357659e-65
FMO1	0	3.2021561147131e-69	1.13675473162651	0.536	0.257	6.41135697287856e-65
COL6A1	0	3.24366452083617e-69	0.567386999570147	0.993	0.783	6.49446510361818e-65
ISLR	0	7.98413470185736e-69	0.598464249194073	0.969	0.727	1.59858345000588e-64
IGFBP7	0	8.6114879896179e-69	0.508687518448016	0.951	0.777	1.7241921252813e-64
MXRA8	0	3.31019972991905e-68	0.790197587291412	0.839	0.561	6.62768189924392e-64
MAGED2	0	6.40555865875469e-68	0.72518585473216	0.861	0.623	1.28252095465586e-63
COL6A2	0	1.47510406517716e-67	0.557177768597729	1	0.825	2.95345335929771e-63
MFAP4	0	1.93770968350876e-67	0.857494154229972	0.724	0.429	3.87968232832123e-63
COL21A1	0	1.0138454068236e-66	1.0805558068249	0.518	0.249	2.02992127354222e-62
RPLP1	0	2.05222301725641e-65	0.337978963784763	1	1	4.10896092515079e-61
NDN	0	2.27659832476247e-65	0.932564435121754	0.638	0.355	4.55820516583942e-61
CDC42EP5	0	3.37181676620713e-65	0.73572941032639	0.822	0.542	6.75105152929991e-61
PCOLCE	0	4.83439313601654e-63	0.542800571957434	0.983	0.751	9.67942193693231e-59
CRABP2	0	5.18008725098284e-63	0.907106494287261	0.662	0.376	1.03715706939178e-58
BGN	0	1.92440492598362e-62	0.717804035419813	0.813	0.533	3.8530435428044e-58
CALD1	0	4.98891823774382e-62	0.541667047177442	0.984	0.806	9.98881209561067e-58
NPM1	0	2.52548406217044e-60	0.463430062353638	0.988	0.972	5.05652418927765e-56
LAMB1	0	2.81241233472006e-59	0.537346562235282	0.961	0.745	5.63101197657651e-55
BOC	0	6.56077497068011e-59	0.702437285898964	0.765	0.467	1.31359836462957e-54
DLK1	0	1.26483286220312e-58	0.555909804312112	0.97	0.778	2.53244835670309e-54
CHCHD2	0	2.20076049849314e-58	0.441828346409201	0.988	0.936	4.40636267008296e-54
PRRX1	0	4.39830119016538e-58	0.838747593182244	0.711	0.442	8.80627864294912e-54
RPL5	0	1.5163166600198e-57	0.39850947373973	1	0.995	3.03596921669165e-53
ASPN	0	5.29224174809765e-57	0.907926710039149	0.544	0.285	1.05961264280411e-52
EPHX1	0	2.91634828514888e-56	1.06798862927671	0.551	0.31	5.83911253652509e-52
NGFRAP1	0	2.23404639313485e-55	0.565115327210448	0.923	0.712	4.4730076883346e-51
ABCA10	0	3.14016493388176e-55	0.868308843547652	0.546	0.287	6.28723823061805e-51
PTN	0	2.4682263667774e-54	0.617718605151967	0.936	0.732	4.9418828315617e-50
COL6A3	0	4.68874467887285e-54	0.6044675611638	0.909	0.655	9.38780459603922e-50
H3F3B	0	4.16651757702298e-53	0.323967102959053	1	0.998	8.34220149271541e-49
RARRES2	0	4.34850395973222e-53	0.59238440382157	0.744	0.471	8.70657462817586e-49
PI16	0	9.71908260133788e-53	1.06533327238881	0.423	0.2	1.94595471843987e-48
CD63	0	1.46969461246473e-52	0.381947078714631	0.996	0.98	2.94262255307688e-48
EDNRA	0	1.50990837052316e-52	1.03832480354421	0.487	0.254	3.02313853946147e-48
FXYD1	0	3.22237233398987e-52	0.757101832724633	0.658	0.391	6.45183388711452e-48
MORF4L1	0	3.49820157274324e-52	0.473666622745141	0.981	0.897	7.00409918894652e-48
MEOX2	0	5.77641512400299e-52	0.900707269997326	0.627	0.376	1.15655383612788e-47
CDH11	0	7.44706106600442e-52	0.761601563521079	0.643	0.377	1.49105056663541e-47
RPL19	0	1.4760120050592e-51	0.308408244626142	1	1	2.95527123652953e-47
ITM2A	0	3.1927939581119e-51	0.555330174165714	0.92	0.708	6.39261206293165e-47
RPL4	0	5.43375959195582e-51	0.421712313758579	0.988	0.954	1.08794734550139e-46
FSTL1	0	6.77019794752198e-51	0.548564502614484	0.881	0.628	1.35552903305285e-46
PPIB	0	1.3059604897926e-49	0.41078451895091	0.992	0.924	2.61479409266275e-45
TIMP1	0	3.42905064380575e-49	0.484372188522579	0.99	0.92	6.86564519902788e-45
SUMO2	0	1.01747699664237e-48	0.436503081766888	0.975	0.925	2.03719244267736e-44
ABCA8	0	2.45282104257977e-48	1.03249959608276	0.448	0.231	4.91103829145321e-44
S100A13	0	4.59447524811268e-48	0.747881061048072	0.709	0.471	9.19905834177121e-44
RPS12	0	4.92827467620264e-48	0.322460656802494	1	1	9.86739155669293e-44
SPARCL1	0	6.852878112507e-48	0.489050857307177	0.746	0.488	1.37208325568615e-43
SPARC	0	2.30023920516874e-47	0.423362719238776	0.996	0.813	4.60553893658885e-43
GLT8D2	0	3.81364330178883e-47	0.813955419141528	0.531	0.292	7.6356766188416e-43
GSN	0	3.85577449728785e-47	0.604048130665259	0.902	0.774	7.72003169846974e-43
PDGFRB	0	1.27795071113849e-46	0.754505207913295	0.603	0.362	2.55871291384148e-42
RPS2	0	1.3118165392789e-46	0.290667256040822	1	0.999	2.62651907494421e-42
CNN3	0	1.75256087141228e-46	0.566469816678385	0.877	0.672	3.50897737674167e-42
PSMB5	0	2.03166607793986e-46	0.753609381403201	0.666	0.433	4.06780182125119e-42
RPL10A	0	2.07423938773347e-46	0.383991072114495	0.993	0.983	4.15304210211996e-42
FBLN1	0	4.95548428341668e-46	0.856156533083502	0.544	0.316	9.92187063225688e-42
CPXM1	0	5.24403621682002e-46	0.703714871113491	0.666	0.421	1.0499609313317e-41
PPAP2B	0	4.22560550925582e-45	0.996072758181463	0.487	0.271	8.46050735063201e-41
SUB1	0	5.79756089849757e-45	0.483792624538907	0.94	0.849	1.16078764309718e-40
APOD	0	7.44047716201717e-45	0.864651103364049	0.822	0.664	1.48973233737908e-40
IGFBP6	0	1.00395878069637e-44	1.47988745456422	0.335	0.155	2.01012627071027e-40
CCND2	0	1.09067792413335e-44	0.53938553595053	0.861	0.656	2.18375533969978e-40
TTC3	0	1.36052277338543e-44	0.445418451281902	0.948	0.78	2.72403869687231e-40
RP11-14N7.2	0	5.80136552770885e-44	0.626958094867783	0.713	0.466	1.16154940595787e-39
NDUFA4	0	9.40819744980407e-44	0.423743779561441	0.954	0.899	1.88370929339977e-39
OLFML3	0	2.03431810195701e-43	0.691677319057475	0.634	0.389	4.07311170373833e-39
MXRA5	0	2.28740583611762e-43	0.995264005669632	0.469	0.26	4.57984396507469e-39
CCDC102B	0	2.5373942275279e-43	1.03098435529903	0.415	0.214	5.08037072235635e-39
