gene	cluster	rank	p_val_adj	avg_log2FC	pct.1	pct.2
LUM	0	1	3.05196799647926e-152	1.19416950386132	0.951	0.676
OGN	0	2	8.56219331618877e-129	0.912069710276029	0.985	0.744
DCN	0	3	3.18789133066535e-119	0.845832265772139	0.996	0.757
COL3A1	0	4	2.13744355382352e-111	0.834516760677642	0.999	0.812
COL1A2	0	5	1.39551667250935e-93	0.660270241071327	1	0.844
SCXA	1	1	1.55167407621843e-183	2.0126630181382	0.841	0.386
FSTL5	1	2	6.31678555078063e-130	1.51899578641309	0.655	0.243
NPW	1	3	7.87237912173894e-125	1.31926628915899	0.951	0.657
TNMD	1	4	2.18677760370995e-123	1.49343809940332	0.651	0.259
CRABP1	1	5	1.2451115597162e-121	1.54992592671553	0.761	0.367
MT-ND3	2	1	1.12531030395417e-214	0.747842616999673	1	1
MT-ATP6	2	2	8.84631917167366e-213	0.651138202572947	1	1
MT-CYB	2	3	7.11827677933658e-203	0.688240010934085	1	1
MT-ND4	2	4	9.88816945493637e-187	0.635155907457668	1	1
MT-CO2	2	5	4.91788783209866e-181	0.606548051031486	1	1
COL1A2	3	1	5.17052174680178e-129	1.04817356446304	1	0.851
POSTN	3	2	5.98802940002937e-123	1.2619992556666	0.979	0.711
COL1A1	3	3	3.5060825646137e-111	0.98818483553753	1	0.859
MGP	3	4	2.12038319699483e-107	1.22628094668589	0.989	0.814
SPARC	3	5	7.70210900957807e-107	0.96698988504444	0.997	0.821
MT-ATP6	4	1	2.31462295374587e-184	0.965493718568032	1	1
MT-CO3	4	2	1.72385642493852e-168	0.972797240402822	1	1
MT-CO2	4	3	5.02326961313716e-159	0.852620223734668	1	1
MT-CYB	4	4	1.88613587721036e-158	0.904521309164029	1	1
MT-ND4	4	5	4.48665718013614e-158	0.863098022936936	1	1
LYZ	5	1	0	3.13882619225086	0.815	0.126
MS4A7	5	2	0	3.12768428197946	0.765	0.105
AIF1	5	3	0	3.09282717289075	0.85	0.132
MS4A6A	5	4	0	3.01322933861134	0.85	0.125
CD68	5	5	0	2.96942043415289	0.779	0.114
CD3D	6	1	0	7.74442288518943	0.501	0.003
KLRB1	6	2	0	7.61157689661231	0.375	0.004
CD3G	6	3	0	7.37507005600948	0.411	0.003
CCL5	6	4	0	7.30841607722336	0.562	0.017
GZMK	6	5	0	7.24214256399157	0.328	0.008
IL1B	7	1	0	7.19324552620766	0.457	0.015
BCL2A1	7	2	0	5.38118116026297	0.439	0.021
IL8	7	3	0	5.35055235607211	0.548	0.038
CXCL2	7	4	0	5.07557433742537	0.548	0.04
PLAUR	7	5	0	4.78213533495111	0.769	0.094
CLDN1	8	1	2.4202099081413e-219	3.35688007935519	0.581	0.071
FZD2	8	2	1.32916972042686e-170	2.79004986312319	0.742	0.167
ABCA8	8	3	2.18287534298277e-170	2.43895956318694	0.853	0.231
CYP1B1	8	4	3.92544838454084e-169	2.9084564115818	0.64	0.12
FOXS1	8	5	1.4446549868192e-165	3.69869924606244	0.416	0.046
F13A1	9	1	0	4.26009735758484	0.852	0.082
CD163	9	2	0	4.19511872155018	0.892	0.091
SLCO2B1	9	3	0	4.04572261545268	0.715	0.065
FOLR2	9	4	0	4.02389321112396	0.808	0.068
RNASE1	9	5	0	4.00271245502037	0.843	0.125
DIAPH3	10	1	0	7.71094415457587	0.502	0.004
RRM2	10	2	0	7.49750785657844	0.508	0.007
HIST1H3G	10	3	0	7.39231742277876	0.255	0.002
NMU	10	4	0	7.38485197253219	0.323	0.004
E2F8	10	5	0	7.26303440583379	0.351	0.003
LUM	11	1	6.16716764720438e-86	1.45357457960207	0.991	0.703
CXCL14	11	2	2.82513841021949e-69	2.1834332717665	0.595	0.19
DIO2	11	3	2.15863893592442e-67	2.5580719617169	0.364	0.075
C1S	11	4	8.58285762876386e-65	1.39853683137164	0.892	0.53
DHRS3	11	5	3.76870006949588e-63	1.96166604484574	0.671	0.271
TM4SF18	12	1	0	9.00674212669951	0.433	0.001
DARC	12	2	0	8.64083534753433	0.409	0.011
RAMP3	12	3	0	8.46448407693259	0.47	0.005
SELP	12	4	0	8.46448407693259	0.265	0.001
PTPRB	12	5	0	8.36862406152507	0.671	0.005
SOX10	13	1	0	8.86944574698026	0.278	0.001
MIA	13	2	0	8.66072826254089	0.364	0.004
PRIMA1	13	3	0	8.30494734881882	0.285	0.001
ERBB3	13	4	0	7.59742255791922	0.325	0.003
CMTM5	13	5	7.14223796886097e-271	6.97669933369202	0.305	0.004
