gene	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	specificity
LUM	0	1.52430726025335e-156	1.19416950386132	0.951	0.676	3.05196799647926e-152	0.275
OGN	0	4.27639262620556e-133	0.912069710276029	0.985	0.744	8.56219331618877e-129	0.241
DCN	0	1.59219425165586e-123	0.845832265772139	0.996	0.757	3.18789133066535e-119	0.239
COL3A1	0	1.0675474746896e-115	0.834516760677642	0.999	0.812	2.13744355382352e-111	0.187
COL1A2	0	6.96991645444688e-98	0.660270241071327	1	0.844	1.39551667250935e-93	0.156
MGP	0	1.07129721248223e-93	0.842008092445932	0.98	0.807	2.14495127883193e-89	0.173
CD81	0	5.43804450556251e-90	0.563146342680164	1	0.96	1.08880527090373e-85	0.04
COL5A2	0	1.44104395615218e-87	0.693286264207814	0.968	0.703	2.8852582090079e-83	0.265
CYGB	0	2.12232948252069e-82	0.984131355175521	0.739	0.424	4.24932808990293e-78	0.315
CAPN6	0	3.6844483597031e-82	1.08978477151161	0.656	0.344	7.37700250579754e-78	0.312
IGFBP4	0	1.03351477880845e-81	0.777072092101022	0.914	0.659	2.06930329013027e-77	0.255
RPL10	0	2.16330564734482e-80	0.434992393178709	1	1	4.3313705671138e-76	0
CPE	0	3.15284710188301e-78	0.807623801742186	0.881	0.604	6.31263046739017e-74	0.277
SSPN	0	1.46124001642193e-76	1.0370896199523	0.638	0.337	2.92569476087999e-72	0.301
LAPTM4A	0	2.06809314747572e-76	0.650281028395715	0.956	0.835	4.14073609987588e-72	0.121
COL1A1	0	4.41294979176721e-75	0.564486975901475	1	0.852	8.83560807307631e-71	0.148
KRT10	0	1.56456725962514e-74	0.660983625521379	0.946	0.755	3.13257656722145e-70	0.191
C1S	0	1.34878766490994e-73	0.779313217866847	0.806	0.502	2.70054266268268e-69	0.304
SOD3	0	4.27538036539737e-70	1.00778347708796	0.595	0.306	8.56016656759861e-66	0.289
IGF2	0	3.18405201067121e-69	0.489765246170266	0.992	0.825	6.3751089357659e-65	0.167
SCXA	1	7.74984555098607e-188	2.0126630181382	0.841	0.386	1.55167407621843e-183	0.455
FSTL5	1	3.15492236079344e-134	1.51899578641309	0.655	0.243	6.31678555078063e-130	0.412
NPW	1	3.93186450990857e-129	1.31926628915899	0.951	0.657	7.87237912173894e-125	0.294
TNMD	1	1.09218739571968e-127	1.49343809940332	0.651	0.259	2.18677760370995e-123	0.392
CRABP1	1	6.21871720965039e-126	1.54992592671553	0.761	0.367	1.2451115597162e-121	0.394
DLK1	1	3.7335565891036e-125	0.99417228173703	0.994	0.78	7.47532700270323e-121	0.214
ITM2C	1	7.06103700600077e-116	1.04537217256435	0.94	0.664	1.41376082934148e-111	0.276
RPL10	1	4.42573543421335e-115	0.608660910612345	1	1	8.86120748638197e-111	0
ITM2A	1	1.89914472319896e-112	1.0593250801912	0.961	0.709	3.80246756478896e-108	0.252
THBS4	1	2.59490901823529e-100	0.917849142162413	0.943	0.677	5.1955268363107e-96	0.266
FAT1	1	5.33874877336665e-95	1.03479792547764	0.846	0.488	1.06892427940347e-90	0.358
GPC3	1	8.16522523432085e-91	0.936261614944802	0.888	0.55	1.63484139641572e-86	0.338
RPL19	1	3.60337541457509e-88	0.457362391846141	1	1	7.21467825506225e-84	0
RPS4X	1	8.31600547055855e-88	0.550290447266894	1	0.999	1.66503061531523e-83	0.001
MEST	1	1.34359433421093e-85	1.03604299320106	0.845	0.527	2.69014457595713e-81	0.318
FGFR1	1	3.03377537148777e-84	0.800746654408798	0.947	0.663	6.07422504879281e-80	0.284
PPIB	1	3.42092656284509e-82	0.668724569550911	0.993	0.925	6.84937916412844e-78	0.0679999999999999
RPL5	1	2.29321998658496e-81	0.551611147149925	0.998	0.996	4.59148505714041e-77	0.002
NGFRAP1	1	1.57351004402409e-80	0.796265185664158	0.954	0.714	3.15048181014503e-76	0.24
PRSS35	1	6.39885810313918e-79	1.67386054877682	0.384	0.131	1.28117936941053e-74	0.253
MT-ND3	2	5.62036911374574e-219	0.747842616999673	1	1	1.12531030395417e-214	0
MT-ATP6	2	4.41829945643475e-217	0.651138202572947	1	1	8.84631917167366e-213	0
MT-CYB	2	3.5552276392651e-207	0.688240010934085	1	1	7.11827677933658e-203	0
MT-ND4	2	4.93865221003714e-191	0.635155907457668	1	1	9.88816945493637e-187	0
MT-CO2	2	2.45624204979455e-185	0.606548051031486	1	1	4.91788783209866e-181	0
MT-CO3	2	1.18375331138196e-147	0.586039604949697	1	1	2.37011088004896e-143	0
IGF2	2	6.45991354626913e-119	1.0257336709567	0.999	0.83	1.29340389023401e-114	0.169
MT-ND4L	2	8.85130477215248e-115	0.598792633469107	1	0.995	1.77220824148037e-110	0.005
MT-ND5	2	1.77805546295212e-102	0.620537257109953	1	0.992	3.56002264792274e-98	0.00800000000000001
COL6A1	2	8.84338805152466e-92	0.761738143845171	0.997	0.791	1.77062315567627e-87	0.206
MT-ND2	2	2.04518210682604e-91	0.491060956569455	1	0.998	4.0948636142871e-87	0.002
MT-ND1	2	5.23712482859e-91	0.447884048169425	1	0.999	1.04857713318029e-86	0.001
MEG3	2	1.97527847545755e-87	0.912699247786617	0.969	0.757	3.9549025635611e-83	0.212
ISLR	2	1.2186767600144e-85	0.82119881680788	0.975	0.735	2.44003460890084e-81	0.24
COL6A2	2	1.21049120977983e-84	0.718940438530753	0.999	0.832	2.42364550022117e-80	0.167
COL1A1	2	4.32283433771322e-83	0.742919730085993	1	0.858	8.65517891096941e-79	0.142
LAMB1	2	9.91237621754778e-77	0.80340411146741	0.969	0.753	1.98465596627742e-72	0.216
COL1A2	2	2.19741230354387e-74	0.671088324947854	1	0.85	4.39965891415555e-70	0.15
MT-CO1	2	2.18651065556862e-67	0.303480203610788	1	1	4.3778316345795e-63	0
BOC	2	6.85496119540596e-65	0.96623773424966	0.757	0.48	1.37250033054418e-60	0.277
COL1A2	3	2.58242021116861e-133	1.04817356446304	1	0.851	5.17052174680178e-129	0.149
POSTN	3	2.9907249026218e-127	1.2619992556666	0.979	0.711	5.98802940002937e-123	0.268
COL1A1	3	1.75111505574553e-115	0.98818483553753	1	0.859	3.5060825646137e-111	0.141
MGP	3	1.05902666916134e-111	1.22628094668589	0.989	0.814	2.12038319699483e-107	0.175
SPARC	3	3.84682299948959e-111	0.96698988504444	0.997	0.821	7.70210900957807e-107	0.176
TNMD	3	2.57523211171383e-109	2.12337372478595	0.626	0.269	5.15612973407344e-105	0.357
DLK1	3	7.08793656685723e-106	0.991485496187571	0.987	0.785	1.41914665941615e-101	0.202
PCOLCE	3	4.37442518110895e-98	0.886696081928234	0.996	0.76	8.75847409761634e-94	0.236
FMOD	3	7.87049217633293e-94	1.31938751934778	0.821	0.484	1.57582994354538e-89	0.337
ABI3BP	3	4.48141354543998e-93	1.43848674473556	0.701	0.339	8.97268620067993e-89	0.362
THBS4	3	1.61670870381868e-91	1.31557024826376	0.932	0.683	3.23697416678575e-87	0.249
DCN	3	1.00219640616723e-90	0.882181259985478	0.993	0.768	2.00659764442803e-86	0.225
PPIB	3	1.32919738449739e-90	0.856988999571823	0.993	0.927	2.66131900324068e-86	0.0659999999999999
OGN	3	6.40382369189416e-90	0.872555553163661	0.986	0.755	1.28217357959105e-85	0.231
ITM2A	3	1.14155160018628e-89	1.03956170641511	0.958	0.714	2.28561461389296e-85	0.244
PTN	3	5.80529538997513e-89	0.994137164219931	0.968	0.738	1.16233624298082e-84	0.23
COL5A2	3	4.68979107365604e-85	0.877285593825547	0.973	0.715	9.38989968767411e-81	0.258
GAS2	3	1.5379297808554e-82	1.32821001720678	0.64	0.304	3.07924300722868e-78	0.336
MFAP4	3	4.1036519072867e-82	1.18086036921367	0.772	0.438	8.21633184876943e-78	0.334
FAT1	3	4.83858179195059e-79	1.0726304033631	0.823	0.497	9.68780846384347e-75	0.326
MT-ATP6	4	1.15603983305658e-188	0.965493718568032	1	1	2.31462295374587e-184	0
MT-CO3	4	8.60981133222717e-173	0.972797240402822	1	1	1.72385642493852e-168	0
MT-CO2	4	2.50887504402016e-163	0.852620223734668	1	1	5.02326961313716e-159	0
MT-CYB	4	9.42031703731078e-163	0.904521309164029	1	1	1.88613587721036e-158	0
MT-ND4	4	2.240863640064e-162	0.863098022936936	1	1	4.48665718013614e-158	0
MT-ND3	4	8.2793493787411e-154	0.915297932791987	1	1	1.65769133261154e-149	0
MT-CO1	4	1.51103699785355e-115	0.681131833629219	1	1	3.02539827710237e-111	0
MT-ND2	4	5.23327543230942e-112	0.763233515669302	1	0.998	1.04780640705699e-107	0.002
MT-ND4L	4	1.47035934281794e-103	0.779545642609556	1	0.995	2.94395347619008e-99	0.005
MT-ND5	4	1.89889802699132e-99	0.863421483357647	1	0.992	3.80197362964203e-95	0.00800000000000001
MT-ND1	4	2.79728213782494e-97	0.683209092234176	1	0.999	5.60071829635309e-93	0.001
MEG3	4	2.28742743383956e-70	1.27504548421029	0.976	0.764	4.57988720803356e-66	0.212
7SK.2	4	3.88768733270955e-70	1.02524521348266	0.992	0.927	7.78392757755106e-66	0.0649999999999999
MTRNR2L12	4	2.08841073662441e-57	0.59025105850025	1	0.998	4.18141597686939e-53	0.002
SON	4	3.46881636290111e-46	0.719588955357781	0.992	0.935	6.9452641218006e-42	0.0569999999999999
KCNQ1OT1	4	9.5010481469056e-44	1.24967985530707	0.725	0.487	1.90229985997344e-39	0.238
MT-ATP8	4	9.84644882142714e-43	0.73359346048433	0.957	0.834	1.97145598302614e-38	0.123
TSHZ2	4	2.70090862090733e-39	0.956836618085145	0.889	0.662	5.40775924078065e-35	0.227
LUC7L3	4	7.08852191362102e-38	0.741041491027594	0.932	0.791	1.4192638575452e-33	0.141
COL6A3	4	4.84577890520226e-34	0.683530490667766	0.927	0.673	9.70221852399597e-30	0.254
LYZ	5	0	3.13882619225086	0.815	0.126	0	0.689
MS4A7	5	0	3.12768428197946	0.765	0.105	0	0.66
AIF1	5	0	3.09282717289075	0.85	0.132	0	0.718
MS4A6A	5	0	3.01322933861134	0.85	0.125	0	0.725
CD68	5	0	2.96942043415289	0.779	0.114	0	0.665
MSR1	5	0	2.90279792262833	0.699	0.085	0	0.614
CSF1R	5	0	2.86951341420139	0.74	0.092	0	0.648
HLA-DMA	5	1.95704737674813e-304	2.96536600207863	0.841	0.149	3.9184002577251e-300	0.692
CD14	5	2.6416047769452e-302	3.030470887592	0.745	0.105	5.28902108439968e-298	0.64
CD163	5	9.87112660150531e-301	2.77200988649389	0.713	0.091	1.97639696815339e-296	0.622
FCER1G	5	2.51161621586768e-299	2.87501517425074	0.818	0.137	5.02875798741028e-295	0.681
TYROBP	5	1.83608872468429e-297	2.94710292816966	0.902	0.192	3.67621684456288e-293	0.71
CTSS	5	6.91024659523956e-294	2.94818251358267	0.854	0.164	1.38356957329886e-289	0.69
HLA-DQB1	5	1.56347825520353e-292	2.8653873648316	0.893	0.185	3.13039616256851e-288	0.708
FCGR3A	5	1.42732817156507e-289	3.18433601858652	0.64	0.076	2.85779646510758e-285	0.564
HLA-DQA1	5	1.81147173169083e-287	2.85875751524949	0.863	0.169	3.62692870119139e-283	0.694
C1QC	5	1.77386496186013e-285	3.14538506530229	0.72	0.107	3.55163242663636e-281	0.613
C1orf162	5	5.67762560369377e-282	2.86810269796512	0.738	0.11	1.13677419837157e-277	0.628
CFD	5	2.72800327248696e-281	3.05351927881976	0.777	0.133	5.4620081521734e-277	0.644
C1QA	5	1.02091439509862e-279	3.1237405652615	0.777	0.136	2.04407480186645e-275	0.641
CD3D	6	0	7.74442288518943	0.501	0.003	0	0.498
KLRB1	6	0	7.61157689661231	0.375	0.004	0	0.371
CD3G	6	0	7.37507005600948	0.411	0.003	0	0.408
CCL5	6	0	7.30841607722336	0.562	0.017	0	0.545
GZMK	6	0	7.24214256399157	0.328	0.008	0	0.32
CD3E	6	0	7.23504983726305	0.436	0.004	0	0.432
IL7R	6	0	7.13360935505032	0.611	0.013	0	0.598
LCK	6	0	7.07082044148474	0.314	0.003	0	0.311
PTPRCAP	6	0	6.87740525651065	0.667	0.015	0	0.652
CTSW	6	0	6.82038498296649	0.307	0.006	0	0.301
CD247	6	0	6.81323274354901	0.302	0.003	0	0.299
SAMD3	6	0	6.79716231282228	0.336	0.004	0	0.332
GZMA	6	0	6.74618136232164	0.36	0.004	0	0.356
CD7	6	0	6.68813913249983	0.465	0.014	0	0.451
CD2	6	0	6.5911277975629	0.635	0.016	0	0.619
CD96	6	0	6.39887463916895	0.338	0.005	0	0.333
SPOCK2	6	0	5.55077792320921	0.372	0.014	0	0.358
LTB	6	0	5.01262582048973	0.594	0.029	0	0.565
ACAP1	6	0	4.75399923703047	0.647	0.04	0	0.607
STK17A	6	0	4.41754231994189	0.689	0.075	0	0.614
IL1B	7	0	7.19324552620766	0.457	0.015	0	0.442
BCL2A1	7	0	5.38118116026297	0.439	0.021	0	0.418
IL8	7	0	5.35055235607211	0.548	0.038	0	0.51
CXCL2	7	0	5.07557433742537	0.548	0.04	0	0.508
