PC	Variance_Explained	Cumulative_Variance
1	12.3357640722386	12.3357640722386
2	7.16616292023427	19.5019269924729
3	5.41460711209298	24.9165341045659
4	2.737974074019	27.6545081785849
5	2.32192851417447	29.9764366927593
6	1.83237714623714	31.8088138389965
7	1.5355643490955	33.344378188092
8	1.25917803384045	34.6035562219324
9	1.19269237177593	35.7962485937083
10	0.968342197379167	36.7645907910875
11	0.926292491806351	37.6908832828939
12	0.852746555923098	38.543629838817
13	0.780509007423239	39.3241388462402
14	0.63028543490679	39.954424281147
15	0.522625529634669	40.4770498107817
16	0.472341353430861	40.9493911642125
17	0.429519260400737	41.3789104246133
18	0.398697711071153	41.7776081356844
19	0.359877123079269	42.1374852587637
20	0.343804777831051	42.4812900365947
21	0.328290311297152	42.8095803478919
22	0.319699499333336	43.1292798472252
23	0.311320572023516	43.4406004192487
24	0.294526055116156	43.7351264743649
25	0.271544820081197	44.0066712944461
26	0.264251496642854	44.2709227910889
27	0.243619217440446	44.5145420085294
28	0.226454409855154	44.7409964183845
29	0.218428120762553	44.9594245391471
30	0.214080416239924	45.173504955387
31	0.210343131481055	45.3838480868681
32	0.205469307580095	45.5893173944482
33	0.199708882910588	45.7890262773588
34	0.193960876561022	45.9829871539198
35	0.189011309464726	46.1719984633845
36	0.176135000340541	46.3481334637251
37	0.173073895257166	46.5212073589822
38	0.171435827009637	46.6926431859919
39	0.164604134685332	46.8572473206772
40	0.163047081388766	47.020294402066
41	0.156146674414574	47.1764410764805
42	0.149751786895885	47.3261928633764
43	0.147918411214578	47.474111274591
44	0.146541880411424	47.6206531550024
45	0.144724678263624	47.765377833266
46	0.140139888210615	47.9055177214767
47	0.137170678423034	48.0426883998997
48	0.135535271621368	48.1782236715211
49	0.132965410421205	48.3111890819423
50	0.127632810893289	48.4388218928355
