figure_path	dataset	processing_stage	analysis_method	parameters	input_object_checksum	generating_script	snakemake_rule	git_commit
reports/datasets/MPNST_1/pca_umap_grid.png	MPNST_1	clustering_resolution_sweep	umap_grid	res=0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0;k=20;seed=42	ab1bafeb02dfc91604e6ec0d2a0a25a5	scripts/R/run_clustering_sweep.R	run_clustering_sweep	d19d315d0c9bf6781b05f011286cc627ca697366
reports/datasets/MPNST_1/umap_recommended.png	MPNST_1	clustering_resolution_sweep	umap_recommended	res=0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0;k=20;seed=42	ab1bafeb02dfc91604e6ec0d2a0a25a5	scripts/R/run_clustering_sweep.R	run_clustering_sweep	d19d315d0c9bf6781b05f011286cc627ca697366
reports/datasets/MPNST_1/clustering_metrics.png	MPNST_1	clustering_resolution_sweep	clustering_metrics	res=0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0;k=20;seed=42	ab1bafeb02dfc91604e6ec0d2a0a25a5	scripts/R/run_clustering_sweep.R	run_clustering_sweep	d19d315d0c9bf6781b05f011286cc627ca697366
reports/datasets/MPNST_1/clustering_stability.png	MPNST_1	clustering_resolution_sweep	clustering_stability	res=0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0;k=20;seed=42	ab1bafeb02dfc91604e6ec0d2a0a25a5	scripts/R/run_clustering_sweep.R	run_clustering_sweep	d19d315d0c9bf6781b05f011286cc627ca697366
reports/datasets/MPNST_1/clustering_tree.png	MPNST_1	clustering_resolution_sweep	clustering_tree	res=0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0;k=20;seed=42	ab1bafeb02dfc91604e6ec0d2a0a25a5	scripts/R/run_clustering_sweep.R	run_clustering_sweep	d19d315d0c9bf6781b05f011286cc627ca697366
