dataset_id	metric	n_cells	mean	sd	min	max	p1	p5	p10	p25	p50	p75	p90	p95	p99
MPNST_1	nCount_RNA	8338	11068.2817222355	10078.3115198523	500	67368	532.37	721.7	1085	3571	8145	15606	24962.4	31762.35	44875.1399999999
MPNST_1	nFeature_RNA	8338	3578.50611657472	2134.59116502158	231	8989	377.74	502.85	701	1876	3337	5204.75	6635.3	7304.35	8388.89
MPNST_1	percent.mt	8338	0	0	0	0	0	0	0	0	0	0	0	0	0
MPNST_1	percent.ribo	8338	5.16927498263086	3.51895131309082	0.0777864207134126	45.0021029020048	0.463240308560452	1.12575832608727	1.68708158651419	2.67361906492152	4.22030660688739	6.86852949307769	10.0114231747823	12.0401460811828	16.0973851366946
