PC	Rank	Pos_Gene	Pos_Loading	Neg_Gene	Neg_Loading
PC_1	1	HLA-DRA	0.168543169529928	COL3A1	-0.0431165726442842
PC_1	2	CD74	0.166290636336438	FAM155A	-0.0412196337105906
PC_1	3	HLA-DRB1	0.152450144145799	TSHZ2	-0.039712480298372
PC_1	4	HLA-DPA1	0.146955069532632	MGP	-0.0384808676706513
PC_1	5	HLA-DQA1	0.137652276014879	ROBO2	-0.0380089742803572
PC_1	6	CCL3	0.135019887113213	CDH19	-0.0361356848794109
PC_1	7	CD83	0.133984939339807	COL1A1	-0.0354258353103756
PC_1	8	SRGN	0.127832193566773	SERPINE2	-0.0341506719646957
PC_1	9	HLA-DPB1	0.126109614275644	NRXN1	-0.034105618111372
PC_1	10	CCL4	0.11927395696741	RORA	-0.0332787297609805
PC_2	1	FAM155A	0.102781134932129	S100B	-0.153016563279735
PC_2	2	TSHZ2	0.0975884912309681	CDH19	-0.140868617347236
PC_2	3	ROBO2	0.0961985364253346	NRXN1	-0.138276043083388
PC_2	4	COL3A1	0.0931080559719083	SERPINE2	-0.136806486652675
PC_2	5	AFF3	0.086913545368841	CAPS	-0.112906522480771
PC_2	6	TENM2	0.0844980302504833	CRYAB	-0.111183095084563
PC_2	7	RORA	0.0741846298511621	CADM1	-0.0997114151785749
PC_2	8	MEIS2	0.0733503323594244	GPM6B	-0.0934767719139906
PC_2	9	MGP	0.0721742308419147	S100A6	-0.0835424143134322
PC_2	10	COL1A1	0.071743300553635	BAI3	-0.0828525611056683
PC_3	1	FAM155A	0.0544708699888523	SPARCL1	-0.157251445827872
PC_3	2	ROBO2	0.0513018615406071	ANGPT2	-0.142943968332279
PC_3	3	TSHZ2	0.0505384069045855	VWF	-0.140568064751069
PC_3	4	AFF3	0.0463999087610966	IGFBP7	-0.137739940135459
PC_3	5	TENM2	0.0449244204036415	FLT1	-0.127684240249828
PC_3	6	COL3A1	0.0447662180935202	INSR	-0.126966618592848
PC_3	7	MEIS2	0.0386568197420461	ESM1	-0.122832367055301
PC_3	8	AUTS2	0.0377731734933782	IGFBP3	-0.122795492151457
PC_3	9	RORA	0.0352342604421467	PLVAP	-0.1165665806443
PC_3	10	KCNQ1OT1	0.0345113181792108	PRSS23	-0.107227273218446
PC_4	1	NRXN1	0.0794843448272266	IGFBP7	-0.137798247599665
PC_4	2	ROBO2	0.0653628155690817	TAGLN	-0.134627960946328
PC_4	3	FAM155A	0.0650917720281539	BGN	-0.127768905930999
PC_4	4	FLT1	0.0638494075668039	RGS5	-0.127300742590421
PC_4	5	INSR	0.0624549650677122	ACTA2	-0.115293203870229
PC_4	6	VWF	0.0613124826875922	MGP	-0.107599677959839
PC_4	7	LDB2	0.0600272311963861	THY1	-0.107039693516473
PC_4	8	AFF3	0.0599959237203684	NDUFA4L2	-0.0987219316446164
PC_4	9	TSHZ2	0.0591419860134073	INPP4B	-0.0873818787094152
PC_4	10	TENM2	0.0560282808025822	HIGD1B	-0.0873384651821494
PC_5	1	CCL5	0.154246117818574	IGFBP7	-0.0981358130250688
PC_5	2	IL32	0.1384450919601	CCL2	-0.0748710630224308
PC_5	3	CD52	0.130008377671638	APOE	-0.0739650679311973
PC_5	4	GZMA	0.129162495273681	C1QB	-0.0720994578591223
PC_5	5	PTPRC	0.123638330806832	C1QA	-0.0716241419820359
PC_5	6	NKG7	0.118495567642759	C1QC	-0.0714730872447405
PC_5	7	PTPRCAP	0.108668453483732	CD14	-0.0632681419898421
PC_5	8	STAT4	0.107797387626428	TAGLN	-0.0631893275604324
PC_5	9	CD3D	0.106605612343976	SPARCL1	-0.0622411309262998
PC_5	10	CD2	0.105585947509297	BGN	-0.0612149296682311
PC_6	1	FTL	0.124067125484273	NRXN1	-0.107229078309396
PC_6	2	IGFBP5	0.114519669236365	INPP4B	-0.0793583948448626
PC_6	3	MGP	0.110929087870132	SLIT3	-0.0774396933842419
PC_6	4	IGFBP2	0.100931194878616	RGS5	-0.0762296125222004
PC_6	5	GAPDH	0.0792776097179311	PRKG1	-0.0759052144023032
PC_6	6	GPNMB	0.078804002060698	XKR4	-0.0754835865647097
PC_6	7	VEGFA	0.0732366735150784	TNFAIP3	-0.0747076278633435
