gmean	variance	residual_variance	gene
0.836173889276358	2741.93103653097	386.79147400816	CCL3
0.744579847542284	2580.72844231891	378.721813251107	CCL4
1.84110580617994	2261.35078951389	289.137206738019	HLA-DRA
0.508943648402517	341.216195103854	203.999078501627	IL8
0.287731484472537	299.358398885419	180.244691622667	IL1B
0.790530270690029	15350.8528567392	174.849408613739	APOD
0.440365500399221	1817.15566341919	157.052215963819	IGFBP3
1.83888084566599	1226.70497423191	148.110461081787	HLA-DRB1
0.357639169056746	395.524160128701	145.654383117161	FLT1
0.537957456066192	779.712501989892	142.700790721766	SPARCL1
0.936362232014853	481.791958380574	142.59603955521	SPP1
0.213939626747984	159.013705374952	132.298797975295	VWF
1.77503526443293	816.532832959165	129.870917126636	CD74
0.25726979521702	1060.1020907507	123.121487903828	TAGLN
0.250408846803209	192.077266348179	103.204167964137	ANGPT2
0.298710398621386	242.182263346316	96.6411341117866	ESM1
0.449612871955267	81.1174278090557	86.9327632175714	C1QB
2.88490838080139	6319.27318570794	85.6585177614133	IGFBP7
0.11163314921646	6.66068266615341	82.8063284414417	CCL5
2.197161134785	715.122137107554	78.4924879572995	APOE
1.32730753473647	341.618404601138	78.2530970654533	HLA-DPA1
0.633076073405127	190.260349002882	76.6363682562651	CCL2
0.4348335021659	67.4082515516827	76.4765570606643	C1QA
3.52820191247917	8125.08311837354	72.3100296828395	MGP
0.28715131120581	67.4913001777659	67.3612020155811	LYZ
0.608505855923797	103.596384308479	67.0464572530628	CD83
0.415252813954134	55.043570428114	65.1665222949103	C1QC
0.492851113226207	77.6288269474925	64.5902262771315	CD14
2.32043720672085	2313.16290935887	62.5227712882726	SERPINE2
0.367029961093289	368.514807691732	62.3375378176126	ACTA2
1.51413215543637	1688.4830057842	58.4893768865633	S100B
0.210443847898373	57.764937450641	58.2149761982795	RGS5
0.0952988237743155	14.9337620973632	56.1992959141698	CXCL3
0.0436815163539166	5.17095128871532	53.5700136540987	FCER1A
0.594292966657737	74.2925535623027	53.0702190046596	HLA-DQA1
2.34519388126322	1992.35574248013	51.4094030955259	IGFBP5
1.19629054674048	727.894850778563	51.3767066160584	CRYAB
0.189835976201086	98.9203663776555	47.6243505256352	KCNIP4
1.45405315352569	599.282504030202	47.2625857043457	NRXN1
0.26806670922385	99.1912265152091	46.1162267106355	THY1
0.119846880091897	32.6302337281377	45.7491532298839	PLVAP
0.172718690685111	15.8691460127791	40.8238682171832	TNF
0.845060719535483	256.587433798991	38.5226303066756	DCN
1.03867960660236	116.150440742171	38.0879795023681	HLA-DPB1
0.287933090091473	56.9576756091387	37.1190901100483	XKR4
0.0866016024751191	16.0319181533276	36.8615150232958	G0S2
0.612780516843337	132.599186417674	35.1818385876168	INSR
0.13841664207623	8.21034349241934	34.3226758546397	FCGBP
0.865518747309337	97.4226896543524	34.3175598839998	SRGN
1.08177308007974	454.86422247024	32.9407770697335	ROBO2
0.774157577779616	220.365375597116	32.4661552680797	LUM
0.20926438540879	7.79239035256781	32.0707695393747	CD69
0.0584756747769122	5.15713639439117	31.9213866026564	CCL8
0.915715683994221	260.829941527007	29.0638919269228	CAPS
0.0580622777367641	16.1552108541113	28.4583405624189	S100A9
0.0843506299954502	10.6714564748456	28.3121514976084	APLN
0.090778530514729	20.427471425361	28.0067190682868	CA2
0.0362200584316601	12.6171619098178	28.0042011093672	CST1
0.303182651057046	10.8221664794489	27.4853051377987	APOC1
0.238370692313517	11.511457088844	27.474376275853	OLR1
0.150961845618168	9.13313750924664	26.9447256777658	CCL3L3
0.0687183184628957	4.0541000517242	26.8811671204807	KMO
0.0396335644631347	7.00703131615898	25.7115517878187	ANGPTL7
0.236876088840548	12.0193303588906	25.7008965738001	CD86
0.285073187163703	41.3262849425003	25.0973875054466	ENPP2
0.214215417056531	15.9662905581709	24.098778317011	ANO2
0.0620040065876426	1.15102945622683	23.3694488293534	NKG7
0.231275764839955	24.1913402428846	22.9233336415018	MPZ
0.100625525157035	2.4380474092977	22.9122097116326	IL32
0.0645615016838308	13.4054440958796	22.6488514600922	C2CD4B
0.142319943066762	7.70511893545102	22.1812473740539	CXCL2
0.458137278592114	29.4805126403463	22.0502898997056	KIRREL3
0.0899995608913939	8.17044336028887	21.8062821289731	EDN1
2.03292660350254	591.178270873655	21.5801205280037	CDH19
0.170318171584032	26.7772087254689	21.4402233014028	CITED4
0.522750890440177	25.9322903639679	21.3642159255579	HLA-DRB6
0.0255333187871218	8.50262741285407	21.3252816076835	COMP
0.396999090805654	14.73877635989	21.3160456602794	FCER1G
0.08053396146557	7.38128581261907	20.921926866272	RYR2
0.0695135487239617	28.9236526487044	20.9142003947111	ZNF804B
0.161142389132462	14.5865128704234	20.8715522977745	PDGFD
0.993899169823521	36.8241340337736	20.8624092373386	NUPR1
0.0520151754866629	0.978757657085703	20.6801217377271	GZMA
0.120426096447369	10.1545179328054	20.5065826749748	SFRP4
0.0660620516824992	1.27628605494147	20.4625081297245	CD52
0.120909550452412	18.3070272285856	20.3532103661177	CNTN5
0.298570973981884	41.1269384023383	20.2601865493812	NDUFA4L2
4.31957754743034	1521.2252769676	19.9820192699721	GSN
0.0294978916867774	3.40389064551063	19.977462025975	PTGDS
21.3781400070989	7667.32754184555	19.9238253172253	FTL
0.0193590764325105	1.64999271308115	19.7888424552998	ZPLD1
1.41220459122199	490.638838639335	19.6838887286357	FAM155A
0.0294832031785726	2.65162984659872	19.6615125576079	RP11-269F21.3
0.0282043106340419	5.04265484616321	19.6499437370059	CLDN5
0.184952182192887	7.74672836315457	19.5778074658669	KYNU
0.0178349111148792	4.33749679418688	19.521981006673	CCL20
0.233585179059699	9.43827376083134	19.3893172977402	GPR183
0.0641806712016864	4.34533803628488	19.2710876229821	TAC1
0.476468370326185	12.7812904348539	19.1364023074182	TNFAIP3
0.781401416233983	111.565554932936	19.0572701478613	RGCC
1.08190924959071	166.490464415604	18.6593756610915	BAI3
1.56588565182732	430.56757071027	18.4658208930628	TSHZ2
0.404200822034304	13.420187955939	18.4491807706908	TYROBP
0.825975191383491	133.245352127201	18.3134683686405	TENM2
0.0536864165473541	0.81213536732366	18.2033357021496	GZMK
4.12536503083293	2451.26513856964	17.7012061994115	COL3A1
2.26163353213166	1377.78383704483	17.4888422180834	IGFBP2
0.229069146683587	6.69600688919965	17.1607979753249	RGS1
0.0179637733893467	1.72553144922069	17.0744145406025	RP11-58E21.4
0.0637660174892012	2.88855557056056	16.9808645534561	RRAD
0.102995776679973	3.91157671504316	16.8187109979634	CH25H
0.108082560946333	9.67337045953812	16.7364356369619	CLEC14A
0.174243980153696	6.1883492429624	16.6863644022329	MIR155HG
0.0179951556247626	1.95201147418076	16.6261563707335	GNLY
0.577052356247494	56.9748014724241	16.5632186037507	CDH13
0.303325648088267	12.7555873592914	16.4225148946985	KCNQ3
0.247935838574443	7.49585759791069	16.2870689601399	DUSP2
0.015633204386583	0.753364167779539	16.2341377189307	FCN1
1.12512378555213	216.626274094044	16.1305709258455	AFF3
