Resolution	Clusters	Min_Cluster_Size	Median_Cluster_Size	Max_Cluster_Size	Singletons	Prop_Small_Cells	Mean_Stability_ARI	R2_nCount_RNA	R2_percent_mt	R2_percent_ribo
0.1	8	277	491.5	2420	0	0	0.997137579154918	0.158408019827642	0	0.256169722372685
0.2	12	277	374.5	1442	0	0	0.808321467442853	0.393674755115455	0	0.564202020047768
0.3	15	166	378	1213	0	0	0.905805824231843	0.403984842235251	0	0.506536122069179
0.4	16	166	375	993	0	0	0.87923343302884	0.445192747732347	0	0.595230983796261
0.5	18	168	375	985	0	0	0.899245644142043	0.461613789653974	0	0.616683320289439
0.6	18	166	385.5	993	0	0	0.918839538777083	0.473489890274368	0	0.614079542575077
0.7	20	71	331.5	708	0	0	0.866189182252816	0.490050710318642	0	0.613923832745851
0.8	21	71	335	686	0	0	0.862645506926764	0.487715551865073	0	0.620459653231384
0.9	21	71	363	706	0	0	0.863713848939204	0.487357993630811	0	0.620338091667294
1	21	71	357	591	0	0	0.87905533101561	0.492145387772508	0	0.627487252767975
