Transition	ARI	NMI
0.1->0.2	0.623335171322935	0.856646946285394
0.2->0.3	0.726071760368055	0.900470889446495
0.3->0.4	0.88962802623062	0.953492911972244
0.4->0.5	0.895038948147074	0.959352332050345
0.5->0.6	0.964772945401788	0.979180051878624
0.6->0.7	0.898499140495849	0.965343777359777
0.7->0.8	0.897998066375042	0.956569772222919
0.8->0.9	0.96418187641306	0.981372739755199
0.9->1	0.874428718860759	0.952131832806111
