PC	Technical_Metric	Pearson_R	Pearson_P	Spearman_R	Spearman_P
PC_1	nCount_RNA	-0.243300246756753	5.01622946739642e-103	-0.56169467370723	0
PC_2	nCount_RNA	0.151562979982765	2.29254447090535e-40	0.247344586326269	1.5950690508025e-106
PC_3	nCount_RNA	-0.0114946327243567	0.315891876903699	0.440492214680089	0
PC_4	nCount_RNA	0.0169707036119624	0.138661357929711	0.195343414882268	2.24643840108867e-66
PC_5	nCount_RNA	-0.19660104185288	3.17186233809447e-67	-0.258619932966886	1.28001618814161e-116
PC_6	nCount_RNA	-0.00199926188468138	0.861523564447509	-0.0646655947200796	1.62361335018483e-08
PC_7	nCount_RNA	0.105100836052322	3.73300963068062e-20	0.177021964434205	1.19724612115091e-54
PC_8	nCount_RNA	0.173337567716456	1.94442287182064e-52	0.161315401217175	1.45403242382438e-45
PC_9	nCount_RNA	0.0778343034867114	1.03654497952577e-11	0.131434188572467	1.0758937516805e-30
PC_10	nCount_RNA	-0.367156331690541	1.05371417440042e-241	-0.372222876797062	6.97464593871171e-249
PC_11	nCount_RNA	-0.115173695053869	6.60714613358171e-24	-0.240234776296465	2.03412378941382e-100
PC_12	nCount_RNA	-0.0684227782423868	2.27468369056722e-09	-0.0854810407477913	7.90638177152955e-14
PC_13	nCount_RNA	0.155817358452194	1.3623269639196e-42	0.28258804152427	8.44178800407847e-140
PC_14	nCount_RNA	0.13766446990894	1.54602504121197e-33	0.226340691546671	4.6588529763396e-89
PC_15	nCount_RNA	-0.207642772810356	6.08555159629337e-75	-0.207531009611256	7.32309084351933e-75
PC_1	nFeature_RNA	-0.319232271204373	5.88820628620619e-180	-0.645502984935198	0
PC_2	nFeature_RNA	0.116403589110177	2.17895424803438e-24	0.226978269153183	1.4567541651752e-89
PC_3	nFeature_RNA	0.0553363752239656	1.35316962914637e-06	0.464927210797176	0
PC_4	nFeature_RNA	0.0571679136574386	5.97688360843958e-07	0.200371954674953	8.25928911994665e-70
PC_5	nFeature_RNA	-0.197067308680663	1.5297500503072e-67	-0.205457575485624	2.22675680292961e-73
PC_6	nFeature_RNA	-0.0178175602094874	0.120017736698617	-0.0437337233741482	0.000134768101522773
PC_7	nFeature_RNA	0.109805740008345	7.28449843505774e-22	0.151462396847326	2.5832904478445e-40
PC_8	nFeature_RNA	0.160473475408267	4.21307873778547e-45	0.13920318618529	2.92697947494884e-34
PC_9	nFeature_RNA	0.159190935151393	2.10657653324236e-44	0.142184823708474	1.10240199627261e-35
PC_10	nFeature_RNA	-0.35185266552674	8.57212227925967e-221	-0.346918102110142	2.70451175478174e-214
PC_11	nFeature_RNA	-0.108768634874407	1.76078686805823e-21	-0.212441446522872	1.94144508202822e-78
PC_12	nFeature_RNA	-0.0710669878245302	5.35200112274226e-10	-0.0860465113546391	5.41596525245722e-14
PC_13	nFeature_RNA	0.182319064230343	6.51312084461119e-58	0.299043806946504	4.13181322579693e-157
PC_14	nFeature_RNA	0.231934911063752	1.52998299843576e-93	0.231806376957854	1.94564288247161e-93
PC_15	nFeature_RNA	-0.221962954650683	1.23809213575433e-85	-0.20201372726779	5.95992011798868e-71
PC_1	percent.mt	NA	NA	NA	NA
PC_2	percent.mt	NA	NA	NA	NA
PC_3	percent.mt	NA	NA	NA	NA
PC_4	percent.mt	NA	NA	NA	NA
PC_5	percent.mt	NA	NA	NA	NA
PC_6	percent.mt	NA	NA	NA	NA
PC_7	percent.mt	NA	NA	NA	NA
PC_8	percent.mt	NA	NA	NA	NA
PC_9	percent.mt	NA	NA	NA	NA
PC_10	percent.mt	NA	NA	NA	NA
PC_11	percent.mt	NA	NA	NA	NA
PC_12	percent.mt	NA	NA	NA	NA
PC_13	percent.mt	NA	NA	NA	NA
PC_14	percent.mt	NA	NA	NA	NA
PC_15	percent.mt	NA	NA	NA	NA
PC_1	percent.ribo	0.105829015176068	2.05285185392467e-20	0.308744423310368	7.30275752492509e-168
PC_2	percent.ribo	0.0848901067542988	1.17095963534916e-13	-0.00465033298536962	0.684932118943524
PC_3	percent.ribo	0.00330272923196099	0.773222177409044	-0.286526953250198	7.72812007894271e-144
PC_4	percent.ribo	-0.419855869278955	5.92878775009496e-323	-0.703169229190819	0
PC_5	percent.ribo	0.291821471687261	2.2705371048619e-149	0.345216048659091	4.43275379220674e-212
PC_6	percent.ribo	0.51341551142181	0	0.559021713206772	0
PC_7	percent.ribo	-0.0704997575274949	7.33248954396908e-10	-0.100050590950282	2.1082801496809e-18
PC_8	percent.ribo	0.166598324056244	1.60609488804084e-48	0.251121844316853	7.54161399867341e-110
PC_9	percent.ribo	-0.211891479842387	4.93425190558633e-78	-0.0917507659825078	1.03913255635634e-15
PC_10	percent.ribo	-0.250120059115986	5.82010113007983e-109	-0.239072281772769	1.93963009520658e-99
PC_11	percent.ribo	0.0297311742527643	0.00946989024400035	-0.0990878122273248	4.44782402665766e-18
PC_12	percent.ribo	-0.149926775182202	1.58283158982495e-39	-0.185985723416294	3.1214097437697e-60
PC_13	percent.ribo	-0.0409979511205231	0.00034549117120193	0.0752067500745041	4.99552770399562e-11
PC_14	percent.ribo	-0.165068064600357	1.18167117441107e-47	-0.10182970491526	5.20704162637332e-19
PC_15	percent.ribo	-0.0511681869106413	7.92010437032311e-06	-0.0680550699414629	2.77009178596633e-09
