gene	cluster	rank	p_val_adj	avg_log2FC	pct.1	pct.2
MZB1	0	1	1.89616957485326e-289	3.02607437092649	0.996	0.21
RP11-731F5.2	0	2	1.83647971135641e-254	2.89923305977505	0.894	0.156
PIM2	0	3	2.80831643065002e-254	3.290657178562	0.835	0.139
DERL3	0	4	7.14003818106321e-251	3.28216241258395	0.81	0.117
IGJ	0	5	3.06743662423235e-250	3.05940243397365	0.967	0.258
CD3D	1	1	2.49647677222304e-278	3.30835729296866	0.821	0.081
GZMA	1	2	3.89058863366427e-270	3.56368098717642	0.779	0.075
CD69	1	3	8.84081925146812e-259	4.04858634335698	0.854	0.139
CCL5	1	4	2.15029625968712e-257	3.69125606508274	0.816	0.106
CD2	1	5	2.4384957538417e-244	2.83826521650003	0.821	0.098
DAB2	2	1	0	4.64504506852843	0.932	0.134
LGMN	2	2	0	4.4090228877936	0.91	0.12
SLCO2B1	2	3	0	4.16586248463921	0.87	0.078
FOLR2	2	4	0	3.8299480357138	0.958	0.143
F13A1	2	5	2.77523587155949e-303	4.38406835600967	0.919	0.141
RP11-731F5.2	3	1	7.38285400912025e-176	2.5696121292547	0.996	0.211
SPAG4	3	2	7.50593553170874e-173	2.4640005454215	0.93	0.161
DERL3	3	3	2.33430760805498e-158	2.17744223757228	0.93	0.167
CD79A	3	4	3.71749202838049e-152	2.59513227806094	0.801	0.13
MZB1	3	5	1.0919505749967e-148	2.40241962113042	1	0.28
CD2	4	1	3.14041230759636e-167	3.0293706134447	0.846	0.14
CD3D	4	2	4.81291160999912e-117	2.58262020156676	0.726	0.136
IL7R	4	3	1.76622097656765e-96	2.8997642004743	0.641	0.134
GZMA	4	4	9.29411828266228e-89	2.32040995384597	0.641	0.132
CCL5	4	5	3.05228311489336e-86	2.06951492274956	0.695	0.162
IL1B	5	1	1.78352731352517e-252	6.16650749769373	0.768	0.059
CCL3L1	5	2	4.75071461640761e-221	5.15487925045096	0.797	0.082
BCL2A1	5	3	1.99035275787804e-208	4.85498860907045	0.884	0.133
IL8	5	4	1.556488324292e-198	4.71761313858795	0.9	0.154
CXCL2	5	5	6.75157318052923e-193	4.29718503476109	0.913	0.164
MNDA	6	1	1.43874615553732e-134	3.20893381387763	0.966	0.223
FCN1	6	2	4.07689335633693e-128	3.91550469624855	0.588	0.056
SERPINA1	6	3	6.35267512449241e-119	2.82453889403858	0.847	0.152
NAIP	6	4	1.89161936799819e-106	2.80982094904317	0.898	0.213
FGL2	6	5	4.04364280331881e-105	2.73922052491891	0.887	0.205
DCN	7	1	0	7.70062644542946	0.78	0.026
RARRES1	7	2	2.10332544112796e-295	8.12334546075328	0.667	0.016
CDH11	7	3	2.13079175678333e-285	7.80992886572143	0.53	0.004
CCDC80	7	4	1.71108520813256e-268	6.70959067937947	0.696	0.025
LUM	7	5	1.05612475852554e-262	7.9019953079705	0.72	0.031
CXorf36	8	1	0	9.18624056384715	0.819	0.003
MMRN1	8	2	0	9.09681377879376	0.617	0.003
LINC01013	8	3	0	9.0782544492981	0.577	0.002
CDH5	8	4	0	9.06870014258485	0.913	0.004
MYCT1	8	5	0	8.98228539076737	0.644	0.001
NRXN1	9	1	0	9.04234800185336	0.865	0.005
PTPRZ1	9	2	0	8.60712034285144	0.874	0.006
FOXD3	9	3	0	8.30909051566144	0.676	0.003
CMTM5	9	4	0	8.26991991838076	0.667	0.003
PTN	9	5	0	8.1271718443121	1	0.013
CD1C	10	1	2.45139634831123e-290	7.12862858507124	0.704	0.012
FCER1A	10	2	5.87963314928193e-229	6.29344850319338	0.653	0.017
CD1E	10	3	1.134542211493e-161	7.90860706819754	0.316	0.002
SPIB	10	4	2.76051785619347e-138	6.02025242402645	0.357	0.007
IL1R2	10	5	4.11493090477429e-127	5.64038956005495	0.398	0.012
HIGD1B	11	1	0	8.63775466798455	0.704	0.005
SLIT3	11	2	0	8.38721120633395	0.859	0.005
MYH11	11	3	0	8.31312616043999	0.789	0.01
FRZB	11	4	0	7.88528408999837	0.803	0.012
RGS5	11	5	0	7.86725747848419	0.944	0.018
PMP2	12	1	1.9569047247424e-50	3.84650699456833	0.569	0.051
MIA	12	2	2.72661173897595e-33	2.63010587745344	0.569	0.074
CRYAB	12	3	7.0033604529343e-25	2.750075426761	0.627	0.124
ITGB8	12	4	8.77797718824245e-24	1.72975998279202	0.471	0.064
GPM6B	12	5	1.21082785270285e-21	1.83261548970853	0.529	0.091
