gene	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	specificity
CD3D	0	0	6.80650185143183	0.822	0.015	0	0.807
CD3E	0	0	6.74775005717175	0.663	0.01	0	0.653
GZMA	0	0	6.72751428333624	0.76	0.018	0	0.742
CCL5	0	0	6.14023419972168	0.8	0.048	0	0.752
CD2	0	0	5.63831417510526	0.855	0.025	0	0.83
IL32	0	0	4.36889366272725	0.797	0.084	0	0.713
CD52	0	0	4.2775081628559	0.797	0.087	0	0.71
KLRB1	0	4.08572340988255e-305	6.36677017832727	0.596	0.016	7.39352508252347e-301	0.58
CD3G	0	6.41185157978661e-301	6.45909486051441	0.564	0.008	1.16028866187819e-296	0.556
RPS27	0	2.54956985885287e-293	1.63938523328671	1	0.999	4.61370161658016e-289	0.001
CD69	0	1.24176119786753e-283	4.28699110434827	0.755	0.103	2.24709106366109e-279	0.652
LCK	0	1.31008916061691e-278	6.3327125578929	0.528	0.008	2.37073734505236e-274	0.52
IL7R	0	2.39745679540645e-271	4.76648340908748	0.642	0.053	4.33843781696751e-267	0.589
GZMK	0	1.26260635704564e-256	7.49084175413479	0.494	0.009	2.28481246370979e-252	0.485
CD96	0	2.28435362510958e-253	6.03581470019282	0.488	0.008	4.1337663199983e-249	0.48
SPOCK2	0	3.15007762749143e-244	5.24727447092687	0.518	0.021	5.70038047470849e-240	0.497
LTB	0	7.33634313878448e-240	5.05722580789574	0.561	0.04	1.32758465439444e-235	0.521
CD7	0	4.73313837210926e-239	5.30449566916776	0.552	0.037	8.56508719816892e-235	0.515
RPS3	0	2.86528282336472e-234	1.29602541951746	1	0.994	5.1850157971608e-230	0.00600000000000001
CTSW	0	1.38188236552605e-231	5.25341364195183	0.517	0.028	2.50065432865594e-227	0.489
SLCO2B1	1	0	5.62546728371957	0.853	0.035	0	0.818
PLTP	1	0	5.61593704645559	0.933	0.177	0	0.756
SEPP1	1	0	5.32915024902447	0.973	0.192	0	0.781
DAB2	1	0	5.30223774114644	0.904	0.093	0	0.811
FOLR2	1	0	5.22201657314172	0.962	0.093	0	0.869
LYVE1	1	0	5.14421482321819	0.708	0.046	0	0.662
GPR34	1	0	5.11432111355189	0.679	0.032	0	0.647
F13A1	1	0	4.98235876266021	0.913	0.097	0	0.816
C1QA	1	0	4.91659191435573	1	0.35	0	0.65
C1QB	1	0	4.88481533186314	0.998	0.287	0	0.711
LGMN	1	0	4.87572430281407	0.848	0.087	0	0.761
C1QC	1	0	4.76981585868438	0.996	0.221	0	0.775
STAB1	1	0	4.52368622724439	0.966	0.185	0	0.781
CD163	1	0	4.49604064202065	0.913	0.084	0	0.829
MS4A4A	1	0	4.15027996250309	0.94	0.116	0	0.824
TMEM176B	1	0	4.0498552681462	0.951	0.132	0	0.819
SIGLEC1	1	0	3.982750645611	0.795	0.077	0	0.718
CSF1R	1	0	3.93628005652751	0.929	0.129	0	0.8
MS4A7	1	0	3.91103751516315	0.933	0.121	0	0.812
VSIG4	1	0	3.77121421525535	0.849	0.093	0	0.756
MZB1	2	1.04783906656347e-293	3.02607437092649	0.996	0.21	1.89616957485326e-289	0.786
RP11-731F5.2	2	1.01485395189899e-258	2.89923305977505	0.894	0.156	1.83647971135641e-254	0.738
PIM2	2	1.55189900013816e-258	3.290657178562	0.835	0.139	2.80831643065002e-254	0.696
DERL3	2	3.94564444134793e-255	3.28216241258395	0.81	0.117	7.14003818106321e-251	0.693
IGJ	2	1.69509097271903e-254	3.05940243397365	0.967	0.258	3.06743662423235e-250	0.709
SEL1L3	2	1.48573164643722e-249	3.76006551016575	0.757	0.109	2.68857998739279e-245	0.648
SDC1	2	1.56259168934876e-249	3.1778966175297	0.778	0.105	2.82766592104551e-245	0.673
JSRP1	2	3.67000182715931e-248	3.07061337095683	0.79	0.105	6.64123530642749e-244	0.685
FKBP11	2	7.72383570492736e-242	2.80730006360404	0.937	0.253	1.39770530916365e-237	0.684
TP53INP1	2	3.69991133035833e-240	3.97492690771509	0.786	0.14	6.69535954341644e-236	0.646
SPAG4	2	2.17162764433004e-229	2.9734224478304	0.78	0.117	3.92977738517965e-225	0.663
POU2AF1	2	2.20972467498899e-223	3.61079714727135	0.661	0.077	3.99871777186007e-219	0.584
FCRL5	2	6.30759617285285e-221	3.37698817256711	0.684	0.086	1.14142260343945e-216	0.598
XBP1	2	3.58522589658121e-220	2.79737279014727	0.998	0.644	6.48782478245335e-216	0.354
SSR4	2	3.73119013871385e-220	2.79222057225323	1	0.862	6.75196167501657e-216	0.138
SEL1L	2	6.26792272468326e-208	3.09036131875028	0.825	0.214	1.13424329625868e-203	0.611
PRDX4	2	1.56256833092246e-203	2.57530509878407	0.929	0.329	2.82762365163729e-199	0.6
SEC11C	2	3.51652403711883e-198	2.49348379176163	0.908	0.299	6.36350189757024e-194	0.609
HERPUD1	2	1.83110227516485e-196	2.23998531719402	1	0.691	3.31356267713832e-192	0.309
PDK1	2	1.27289204567884e-193	3.3593023655508	0.673	0.108	2.30342544586043e-189	0.565
RP11-731F5.2	3	4.0798264860302e-180	2.5696121292547	0.996	0.211	7.38285400912025e-176	0.785
SPAG4	3	4.14784235837132e-177	2.4640005454215	0.93	0.161	7.50593553170874e-173	0.769
DERL3	3	1.28995778517627e-162	2.17744223757228	0.93	0.167	2.33430760805498e-158	0.763
CD79A	3	2.05431699181062e-156	2.59513227806094	0.801	0.13	3.71749202838049e-152	0.671
MZB1	3	6.03420963194465e-153	2.40241962113042	1	0.28	1.0919505749967e-148	0.72
TPD52	3	6.99287767102786e-152	2.52133576772149	0.841	0.156	1.2654311433492e-147	0.685
JSRP1	3	1.62551318614965e-148	2.37210374295388	0.856	0.16	2.9415286616564e-144	0.696
SDC1	3	1.62467256501821e-147	2.29993454878809	0.863	0.157	2.94000747365696e-143	0.706
IGJ	3	2.15221687029914e-143	2.42107416495599	0.996	0.318	3.89465164849333e-139	0.678
SEC11C	3	1.79329034137586e-140	2.34088715768989	0.985	0.345	3.24513820175375e-136	0.64
FKBP11	3	3.2827829559062e-140	2.15807010143047	1	0.308	5.94052403700786e-136	0.692
ANKRD37	3	3.11099206987554e-137	4.0075419633555	0.804	0.199	5.62965124964677e-133	0.605
PRDX4	3	1.19975708709249e-129	2.24480991978925	0.985	0.377	2.17108042480257e-125	0.608
PPAPDC1B	3	1.50281688242426e-129	2.22518991180518	0.893	0.226	2.71949743043495e-125	0.667
JUN	3	2.21732212985576e-128	2.58183715481326	0.993	0.828	4.01246612618699e-124	0.165
PIM2	3	4.90304732928352e-127	1.92423519745975	0.897	0.195	8.87255444707145e-123	0.702
HERPUD1	3	7.1271040152413e-127	2.43215551343194	1	0.718	1.28972074259807e-122	0.282
FCRL5	3	1.93753792108401e-126	2.14811980902709	0.753	0.133	3.50616862199362e-122	0.62
CHAC1	3	3.30695946145036e-125	4.84837117348414	0.292	0.01	5.98427384144057e-121	0.282
HSPA1B	3	7.46319868016076e-125	2.44365826263931	0.996	0.688	1.35054043316189e-120	0.308
COL3A1	4	0	8.5838008410541	0.769	0.017	0	0.752
