gene	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
HNRNPAB	17	1.26883390789023e-11	0.704578784137015	0.477	0.283	3.50794510514413e-07
ITPR1	17	1.34109611894212e-11	0.596498153372906	0.588	0.373	3.70772844003928e-07
NCALD	17	1.37884028527868e-11	0.992857638497111	0.339	0.179	3.81207973670997e-07
PTRHD1	17	1.51611154786313e-11	0.929161973969709	0.285	0.138	4.19159359637719e-07
FHL2	17	1.69298892115794e-11	0.389025791135788	0.682	0.457	4.68060647032537e-07
TUBA1A	17	1.7713645616844e-11	0.324237133965589	0.975	0.909	4.89729160368886e-07
POR	17	1.87727207539652e-11	0.956220088824898	0.386	0.218	5.19009410684876e-07
FMOD	17	1.95248749057934e-11	0.748802673991922	0.329	0.167	5.39804216520471e-07
ZNF846	17	1.95722665592812e-11	1.15890098056384	0.271	0.132	5.41114453564448e-07
CAPNS1	17	1.98307664851699e-11	0.591992398142333	0.57	0.372	5.48261201015492e-07
LRIG1	17	2.12230246458775e-11	1.11147063288689	0.339	0.18	5.86752962384575e-07
NDUFA6	17	2.160806380905e-11	0.721243223253061	0.433	0.251	5.97398140128807e-07
MPDZ	17	2.1858400753429e-11	0.630567483946766	0.484	0.276	6.04319205630053e-07
UXT	17	2.26650989020231e-11	0.927094528819523	0.307	0.155	6.26621989344233e-07
RELL1	17	2.26710878738538e-11	0.708272195339924	0.426	0.238	6.26787566448436e-07
TCEAL4	17	2.41026027844853e-11	0.586168539384114	0.65	0.479	6.66364659182666e-07
CSNK1E	17	2.45698562923505e-11	0.693708405355353	0.552	0.366	6.79282816914613e-07
NDUFS8	17	2.51428426682906e-11	0.632911424415065	0.52	0.322	6.95124171250229e-07
ADSS	17	2.60716578506398e-11	0.925279260273011	0.321	0.168	7.2080312459664e-07
EEF2	17	2.61210378066732e-11	0.315915914573306	0.949	0.859	7.22168332241095e-07
CREB3	17	2.6277586916554e-11	1.01270979183963	0.318	0.166	7.26496445481969e-07
RPS14	17	3.08636104993076e-11	0.271948622832526	0.989	0.943	8.53286239474357e-07
MYL12B	17	3.17430235797939e-11	0.338791071903566	0.924	0.868	8.77599372910561e-07
CHD3	17	3.99488898187701e-11	0.978813069294223	0.307	0.159	1.10446695681954e-06
RNASEH2B	17	4.04604018424546e-11	1.09202678393105	0.253	0.119	1.11860872973834e-06
TMTC3	17	4.06023779822017e-11	1.07231329556775	0.274	0.135	1.12253394407393e-06
RWDD1	17	4.86679033166408e-11	0.682177942104454	0.513	0.326	1.34552152299517e-06
RBM3	17	5.00698712269256e-11	0.474478670230576	0.83	0.693	1.38428172981081e-06
COX4I1	17	5.38595789792514e-11	0.443549024650196	0.895	0.833	1.48905578003936e-06
DCLK1	17	5.56091351858243e-11	0.606887491528138	0.289	0.141	1.53742576048248e-06
GMPR2	17	6.63002403080644e-11	0.934871103069831	0.282	0.139	1.83300274379706e-06
KALRN	17	7.0175867399626e-11	0.416482484975731	0.448	0.242	1.94015220599746e-06
FAM50A	17	7.15920552470718e-11	0.7106207355128	0.426	0.25	1.97930555141579e-06
DAAM1	17	7.20385107230833e-11	0.626336267702272	0.679	0.496	1.99164870596108e-06
B3GALNT2	17	7.27013253297854e-11	1.04333931298462	0.347	0.189	2.00997354139258e-06
CHMP5	17	7.98879631081723e-11	0.579037183306683	0.56	0.355	2.20866251605164e-06
ASAH1	17	8.49232731613508e-11	0.419101692563573	0.726	0.526	2.34787373309186e-06
ZNF428	17	8.89147306750946e-11	0.587948237214079	0.646	0.459	2.45822555897434e-06
AP3M2	17	9.59646240944001e-11	0.894968063325029	0.325	0.172	2.65313396233788e-06
EMP2	17	1.06169704290458e-10	0.357775468095972	0.726	0.511	2.9352738145183e-06
GRHPR	17	1.08872716104205e-10	0.821151167052537	0.404	0.235	3.01000398213297e-06
SOBP	17	1.12970798721883e-10	0.297441182454539	0.455	0.248	3.12330367226389e-06
GADD45GIP1	17	1.13477645882103e-10	0.488776785110414	0.733	0.59	3.1373164757025e-06
EIF3D	17	1.14866468788497e-10	0.535284968023199	0.671	0.501	3.17571326259557e-06
POLR3GL	17	1.17026826065035e-10	0.896348031266487	0.325	0.173	3.23544066022001e-06
RBX1	17	1.18361453432168e-10	0.905226336734437	0.372	0.21	3.27233910303914e-06
DENND2A	17	1.31187619653943e-10	0.405500928311992	0.422	0.231	3.62694412057258e-06
RPL5P1	17	1.34029956140996e-10	0.619989124844837	0.401	0.223	3.70552619743012e-06
TPT1P9	17	1.40940620995385e-10	0.735526490897951	0.365	0.201	3.89658534865941e-06
OOEP	17	1.43409790366435e-10	0.291199433093017	0.953	0.877	3.96485047426084e-06
RPL18A	17	1.44920719279181e-10	0.377882951386788	0.805	0.631	4.00662312591151e-06
CISD1	17	1.4820458207555e-10	0.83521149196969	0.336	0.182	4.09741208064273e-06
TMEM173	17	1.54443213452336e-10	0.775760273285348	0.365	0.203	4.26989152231674e-06
ATP5H	17	1.56339488015178e-10	0.899250403604877	0.332	0.181	4.32231782515561e-06
RP11-34P1.2	17	1.56410877934823e-10	1.08060126689334	0.271	0.135	4.32429154226406e-06
ZNF32	17	1.65735449250388e-10	0.873042571766583	0.3	0.154	4.58208796542548e-06
AP3S1	17	1.69610366327868e-10	0.632365759461623	0.56	0.367	4.68921779786656e-06
DCUN1D5	17	1.70245054706221e-10	0.824867598253861	0.296	0.149	4.70676502746289e-06
CTBP2	17	1.70806123809772e-10	0.586531245093045	0.657	0.491	4.72227690496876e-06
BMP1	17	1.72744674421354e-10	0.976108136056078	0.314	0.17	4.77587201372716e-06
ANP32B	17	1.73703844135256e-10	0.443036034907041	0.545	0.34	4.80239017880743e-06
TTN-AS1	17	1.76775070384776e-10	0.916205246474342	0.336	0.182	4.88730037092791e-06
HDAC5	17	1.80190988509698e-10	0.984502818128803	0.368	0.213	4.98174025932761e-06
VDAC2	17	1.81494762703411e-10	0.583710915990819	0.491	0.297	5.01778570446119e-06
YBX1	17	1.81957995527185e-10	0.33537972197336	0.953	0.877	5.03059270234008e-06
EXD3	17	1.85526457309349e-10	1.11239566859038	0.256	0.126	5.12924996523158e-06
SLC2A3	17	1.88374655560128e-10	0.481926080533265	0.895	0.783	5.20799410227087e-06
LETMD1	17	1.94815565880228e-10	0.974769621928003	0.285	0.144	5.38606594989067e-06
CERCAM	17	2.00013110003385e-10	0.967509443939502	0.296	0.153	5.52976245226359e-06
FAUP1	17	2.0130212588092e-10	0.319066477311897	0.903	0.819	5.5653998742298e-06
STOML2	17	2.08581822985279e-10	0.72165438557272	0.462	0.285	5.766661660074e-06
TMEM219	17	2.17423293248905e-10	0.546881108156667	0.534	0.326	6.01110178845247e-06
LEPREL1	17	2.22071426936147e-10	0.615586454196827	0.466	0.274	6.13960874050366e-06
CALM1	17	2.27030908168062e-10	0.259409485088288	0.949	0.868	6.2767235181224e-06
TOPORS	17	2.40302646191272e-10	0.841296987757634	0.347	0.192	6.64364725925008e-06
MAP2K2	17	2.40430569609184e-10	0.470694332445535	0.755	0.579	6.64718395798512e-06
STX12	17	2.46662927692378e-10	0.548625870410589	0.574	0.381	6.81948996191118e-06
PAM	17	2.58720007003568e-10	0.516037579308362	0.845	0.723	7.15283203362764e-06
HIGD1A	17	2.61458767290124e-10	0.881675810783866	0.375	0.218	7.22855053927007e-06
IGBP1	17	2.7000130298e-10	0.814502037860167	0.401	0.236	7.46472602348805e-06
CBX6	17	2.80632736546768e-10	0.878010041575206	0.404	0.243	7.75865326730848e-06
DDT	17	2.93148760599214e-10	0.624417355096509	0.473	0.294	8.10468378428647e-06
TMEM14C	17	3.00452204272631e-10	0.452498407849162	0.733	0.564	8.30660209152542e-06
DOCK11	17	3.13977172828939e-10	0.814245309473206	0.3	0.154	8.68052689720168e-06
RPL24P4	17	3.18652775562692e-10	0.395493190579451	0.859	0.726	8.80979328598175e-06
SOCS2	17	3.35876147485815e-10	0.766268765062715	0.314	0.165	9.28596784954034e-06
TAPBP	17	3.65467804092938e-10	0.576790097260286	0.498	0.303	1.01040883797574e-05
PNKD	17	3.88008395092424e-10	0.653119325936613	0.466	0.283	1.07272680991203e-05
TNFRSF12A	17	4.16910540556262e-10	0.724303537890317	0.458	0.285	1.1526325714759e-05
MAP7D1	17	4.42926320471898e-10	0.767831377259992	0.437	0.267	1.22455839820866e-05
SNRPD3	17	4.80595874822696e-10	0.670547048837915	0.545	0.36	1.32870341512231e-05
LZTS1	17	4.8858570162027e-10	0.703828664140452	0.372	0.209	1.35079288926956e-05
SOCS3	17	5.05923356144918e-10	0.697253485087938	0.819	0.719	1.39872630273386e-05
SIK3	17	5.08568043504065e-10	0.370686157716832	0.899	0.81	1.40603806987569e-05
CYB5A	17	5.36252456492239e-10	0.620513819282843	0.386	0.217	1.48257716646409e-05
PRKACA	17	5.38747863268884e-10	0.925288039020913	0.292	0.152	1.48947621757948e-05
TNFRSF1A	17	5.40467531809232e-10	0.517975657570405	0.542	0.345	1.49423058519298e-05
VPS4A	17	5.55929240810487e-10	0.790013560577377	0.329	0.177	1.53697757206875e-05
ASAP2	17	5.78021010932187e-10	0.410565983394849	0.838	0.663	1.59805468892422e-05
OAF	17	6.04976007042263e-10	0.645844344532484	0.466	0.283	1.67257716666974e-05
FAM32A	17	6.09244136135463e-10	0.753337377330485	0.408	0.244	1.68437726317371e-05
NDUFS6	17	6.1042144789053e-10	0.652222679010181	0.621	0.449	1.68763217698295e-05
CCT5	17	6.43762686983808e-10	0.71681832294811	0.534	0.362	1.77981070070413e-05
CREB3L2	17	6.5151673105868e-10	0.72355356606997	0.643	0.496	1.80124830635793e-05
HINT1	17	6.81727818773961e-10	0.355327181641995	0.845	0.743	1.88477290056437e-05
RPS16	17	7.04464301876393e-10	0.313271736975436	0.931	0.828	1.94763245539766e-05
HMG20B	17	7.16047253852667e-10	0.605851606243001	0.462	0.284	1.97965584272647e-05
CDKN1C	17	7.60994700236884e-10	1.09839627674124	0.35	0.203	2.10392204774491e-05
RAC1P2	17	7.91584103923938e-10	0.515437352387756	0.693	0.544	2.18849257211851e-05
SCLT1	17	8.05577247646115e-10	0.76679285581931	0.48	0.307	2.22717941656721e-05
PYURF	17	8.33688347317006e-10	0.595544992855951	0.484	0.297	2.30489817382733e-05
TXNDC15	17	8.59350281620003e-10	0.629898485538817	0.444	0.27	2.37584572359482e-05
ATP5F1	17	8.6448983959018e-10	0.555587837332844	0.523	0.338	2.39005505951497e-05
LSM1	17	9.12022213469958e-10	0.907435104719634	0.361	0.208	2.52146781358039e-05
VAMP5	17	9.16488470807713e-10	0.37650645328169	0.578	0.362	2.53381567524208e-05
COPZ2	17	9.29714905821606e-10	0.957890495244795	0.321	0.179	2.57038280012499e-05
MXD4	17	9.64925296742681e-10	0.58183921388576	0.477	0.299	2.66772896790449e-05
GLRX	17	1.03118541537848e-09	1.01219230313018	0.26	0.13	2.85091831789687e-05
COPE	17	1.08600033422114e-09	0.701748476130064	0.44	0.271	3.00246512402118e-05
TRADD	17	1.13614944352044e-09	0.891219238469565	0.296	0.157	3.14111236650095e-05
FCHSD2	17	1.14132784275496e-09	0.362279108641855	0.502	0.304	3.15542908686463e-05
HABP4	17	1.19052252033311e-09	0.737697358653182	0.368	0.211	3.29143761196494e-05
UBXN1	17	1.19685444281887e-09	0.55856740725583	0.693	0.569	3.30894347806133e-05
