gene	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	specificity
PTHLH	0	0	3.65417866114259	0.684	0.102	0	0.582
TGFA	0	0	3.20503017096239	0.678	0.128	0	0.55
VEGFA	0	0	2.87470674010954	0.99	0.641	0	0.349
CRYAB	0	3.24844593239714e-277	2.15881467784002	0.969	0.472	8.98097846929836e-273	0.497
L1CAM	0	3.05709302394782e-271	2.62473581227075	0.704	0.159	8.45194508330853e-267	0.545
VIM	0	9.63079650875965e-260	1.5672779363973	1	0.995	2.66262631077678e-255	0.005
AP000462.2	0	3.90064292471375e-256	2.73389021031852	0.66	0.148	1.07841074939561e-251	0.512
S100A10	0	1.31792071685099e-249	1.80015177224402	0.999	0.824	3.64365540587792e-245	0.175
CADM1	0	5.95843776506672e-244	1.9281873926376	1	0.681	1.647329288908e-239	0.319
CXXC5	0	1.4464549848104e-236	2.35626623216516	0.917	0.468	3.99901409650532e-232	0.449
NDRG1	0	1.33944819499967e-230	2.26720569517837	0.949	0.617	3.70317242471559e-226	0.332
MAL	0	1.05919302217712e-207	2.48586726096934	0.59	0.136	2.9283509484131e-203	0.454
PMP22	0	2.37876698267945e-207	2.18366721585757	0.93	0.584	6.57657707701389e-203	0.346
GLUL	0	9.50389673487869e-201	2.72490637182922	0.862	0.453	2.62754233029191e-196	0.409
ESPN	0	7.06826615128907e-197	2.90268676907471	0.427	0.069	1.95416354284689e-192	0.358
TIMP3	0	6.20112545994113e-196	2.01953450168695	0.99	0.764	1.71442515590992e-191	0.226
GAPDH	0	1.88723540790846e-193	1.40139287654025	1	0.979	5.21763973224452e-189	0.021
BTG1	0	5.87084570843812e-181	1.49143060659498	0.996	0.794	1.62311271301189e-176	0.202
LGALS3	0	3.8069390774253e-180	1.60210063100441	0.987	0.807	1.05250444673577e-175	0.18
COL8A1	0	1.49517377310715e-177	1.58190889575835	0.977	0.644	4.13370693050933e-173	0.333
RP11-733O18.1	1	0	6.68162002455364	0.314	0.005	0	0.309
CCL3L3	1	0	6.62507413193063	0.842	0.023	0	0.819
RP11-1080G15.1	1	0	6.03201158356469	0.439	0.013	0	0.426
CCL4L1	1	0	6.02482069530381	0.785	0.022	0	0.763
IL1A	1	0	6.01948966331002	0.353	0.008	0	0.345
FCGR1B	1	0	5.97485808282999	0.392	0.008	0	0.384
FCGR1C	1	0	5.9645763060554	0.312	0.006	0	0.306
CH25H	1	0	5.82887785416009	0.592	0.03	0	0.562
CCL3	1	0	5.7631200492478	0.991	0.288	0	0.703
KB-1507C5.4	1	0	5.62421271876594	0.531	0.023	0	0.508
CALCR	1	0	5.6220493493635	0.355	0.01	0	0.345
PLAU	1	0	5.52242342292633	0.618	0.043	0	0.575
RNASE2	1	0	5.51946472506688	0.483	0.012	0	0.471
IL1B	1	0	5.46428757912438	0.785	0.049	0	0.736
SLC37A2	1	0	5.45025744971264	0.412	0.016	0	0.396
CCL4	1	0	5.4410400750426	0.956	0.252	0	0.704
EBI3	1	0	5.36672808893874	0.353	0.01	0	0.343
KMO	1	0	5.22170061634149	0.404	0.017	0	0.387
TNF	1	0	5.13801605231081	0.792	0.045	0	0.747
P2RY13	1	0	5.10495814639053	0.487	0.018	0	0.469
CLDN10-AS1	2	0	5.29993882774918	0.31	0.012	0	0.298
ACPP	2	0	4.71057575483917	0.764	0.054	0	0.71
GRIA2	2	0	4.69711403014091	0.698	0.043	0	0.655
GAL3ST1	2	0	4.62526020548179	0.702	0.053	0	0.649
STON2	2	0	4.54032258090716	0.779	0.057	0	0.722
KLK6	2	0	4.45047775154127	0.407	0.022	0	0.385
ANO3	2	0	4.44815643963115	0.415	0.022	0	0.393
DGUOK-AS1	2	0	4.12873149520332	0.557	0.04	0	0.517
SHH	2	0	4.07681161085103	0.749	0.089	0	0.66
LPL	2	0	4.05025415401623	0.989	0.23	0	0.759
FSTL5	2	0	3.92073463698866	0.829	0.096	0	0.733
SERPINE2	2	0	3.91571216222972	1	0.627	0	0.373
CAPS	2	0	3.63452482185968	0.998	0.395	0	0.603
BMP8B	2	0	3.57677098955861	0.683	0.072	0	0.611
TMEM132B	2	0	3.5679527161921	0.801	0.096	0	0.705
PLLP	2	0	3.4743901298641	0.587	0.061	0	0.526
FREM1	2	0	3.46094215728238	0.869	0.199	0	0.67
GAP43	2	0	3.37815839985663	0.994	0.265	0	0.729
KLHDC8A	2	0	3.36562719138592	0.824	0.117	0	0.707
PLEKHB1	2	0	3.36548246514272	0.784	0.103	0	0.681
GJB6	3	0	5.88144570792018	0.396	0.009	0	0.387
GFRA3	3	0	5.78203748655724	0.51	0.016	0	0.494
PCSK2	3	0	5.47660906455579	0.329	0.012	0	0.317
XKR4	3	0	4.61408243524043	0.871	0.088	0	0.783
NOV	3	0	4.42426215368928	0.743	0.121	0	0.622
RP11-176N18.2	3	0	4.35003413825253	0.45	0.026	0	0.424
GJB2	3	0	4.25110599067074	0.61	0.066	0	0.544
RSPO3	3	0	4.05590286219822	0.614	0.053	0	0.561
TMEM59L	3	0	4.01557745791592	0.771	0.108	0	0.663
ABCB5	3	0	3.98370681068119	0.6	0.053	0	0.547
NGFR	3	0	3.89544163123528	0.904	0.123	0	0.781
SEMA3B	3	0	3.82966093937344	0.946	0.199	0	0.747
DIRAS3	3	0	3.81071119638294	0.823	0.132	0	0.691
CADM2	3	0	3.61204606192676	0.683	0.1	0	0.583
KCNS3	3	0	3.58292154104713	0.633	0.072	0	0.561
INSC	3	0	3.50728578306168	0.618	0.056	0	0.562
MMP17	3	0	3.31348963250471	0.689	0.097	0	0.592
LGI1	3	0	3.30130206231924	0.649	0.076	0	0.573
TSPAN11	3	0	3.19031623477671	0.92	0.193	0	0.727
FOXD3	3	0	3.0889358698788	0.886	0.154	0	0.732
NDST4	4	0	3.97629854312307	0.647	0.063	0	0.584
SULT1E1	4	0	3.53733454449079	0.751	0.091	0	0.66
COL25A1	4	0	3.49517984570325	0.774	0.114	0	0.66
RP11-125B21.2	4	0	3.48156738792072	0.704	0.091	0	0.613
COL4A5	4	0	3.39817895576751	0.848	0.129	0	0.719
ZNF423	4	0	3.25880588302368	0.882	0.138	0	0.744
PTPRD	4	0	3.11585050622695	0.921	0.18	0	0.741
GAS2	4	0	3.08508171039564	0.919	0.181	0	0.738
RP11-909M7.3	4	0	2.97956847702828	0.946	0.199	0	0.747
GLI2	4	4.70651984317733e-306	3.09375781107358	0.862	0.166	1.30121154104324e-301	0.696
SHROOM3	4	7.34454697183653e-305	3.17111707686595	0.851	0.163	2.03054690130364e-300	0.688
NRK	4	3.00117872705669e-301	3.43893986516985	0.652	0.082	8.29735882669363e-297	0.57
KIAA1211	4	1.05122587236941e-296	3.01139135228781	0.799	0.135	2.90632416933972e-292	0.664
CSRNP3	4	3.99565579685808e-294	2.93670467786016	0.941	0.235	1.10467895815735e-289	0.706
MEOX2	4	5.52848741072603e-291	3.03564475985603	0.91	0.209	1.52846091444342e-286	0.701
EPHB1	4	2.02403232227644e-289	3.36243239313047	0.742	0.121	5.59584216139766e-285	0.621
DACH1	4	4.22015264010739e-288	3.0172700784103	0.857	0.174	1.16674560041049e-283	0.683
GREB1	4	1.85048330240441e-285	3.02045835604135	0.674	0.092	5.11603118615748e-281	0.582
DPF3	4	3.51010513907582e-277	3.46190748615099	0.59	0.071	9.70438767800292e-273	0.519
ROR2	4	1.23939850969202e-274	2.93556945845484	0.826	0.164	3.42656505974551e-270	0.662
RP4-678D15.1	5	0	3.37346475785942	0.814	0.107	0	0.707
CYTL1	5	0	3.29709470799954	0.941	0.172	0	0.769
SULT1E1	5	0	3.28856456903443	0.719	0.095	0	0.624
LRRC17	5	0	3.27908376197236	0.929	0.16	0	0.769
MDFI	5	0	3.23336018365118	0.913	0.132	0	0.781
MFAP2	5	0	3.18590159163926	0.927	0.144	0	0.783
TMEM98	5	3.27570934743574e-282	2.81799731496013	0.887	0.198	9.0563536328556e-278	0.689
MEST	5	4.99409729766296e-275	3.0467714451448	0.998	0.38	1.38071807988488e-270	0.618
FBLN1	5	1.1561841709799e-273	2.76237310545022	0.991	0.327	3.19650237750814e-269	0.664
NPW	5	6.88418732459041e-273	2.97954828649125	0.866	0.187	1.90327126962951e-268	0.679
RBP1	5	1.76313211710073e-270	2.70411746152733	0.936	0.243	4.87453136414839e-266	0.693
PKDCC	5	5.92762228058706e-268	3.07638231192167	0.717	0.116	1.63880973191391e-263	0.601
MFAP4	5	1.80487922810878e-266	2.58266711788086	0.83	0.157	4.98994960195233e-262	0.673
EDN3	5	4.48428473763277e-255	3.32258635782822	0.613	0.083	1.23977020141333e-250	0.53
LAMP5	5	9.70880996754626e-254	3.75927414786457	0.55	0.066	2.68419469172751e-249	0.484
CTHRC1	5	2.06977524233836e-250	2.78581151399404	0.995	0.412	5.72230761249287e-246	0.583
FMOD	5	2.39915793702897e-246	2.59536442335971	0.762	0.138	6.63295194850398e-242	0.624
CRABP2	5	5.77838648303731e-243	2.34663344549734	0.809	0.156	1.59755051096532e-238	0.653
FKBP7	5	1.3478685118336e-241	2.71442471958313	0.814	0.182	3.72645207466635e-237	0.632
LUM	5	1.10627208842141e-239	1.85042103167674	0.988	0.351	3.05851044285868e-235	0.637
BARX1	6	0	4.15900245103558	0.666	0.054	0	0.612
TNNT1	6	0	3.93709965978729	0.62	0.054	0	0.566
NPFFR2	6	3.88120934311042e-305	3.65620101677923	0.612	0.064	1.07303794708974e-300	0.548
SFRP2	6	1.23989999929108e-300	3.49609165439746	0.639	0.073	3.42795152804004e-296	0.566
EEF1A2	6	5.16918110130246e-285	3.87915459530811	0.5	0.043	1.42912349907709e-280	0.457
SCG2	6	6.17331379999973e-281	3.27560154211146	0.817	0.152	1.70673606628593e-276	0.665
CD70	6	4.55700220180541e-272	3.04071093933964	0.732	0.112	1.25987439873314e-267	0.62
KRT18	6	6.6075513067655e-265	2.5612324410766	0.927	0.207	1.82678970978146e-260	0.72
KIAA1244	6	7.47288557846303e-258	2.77421256851904	0.678	0.096	2.06602867587767e-253	0.582
PGF	6	2.80925126853105e-255	2.89815858266075	0.88	0.211	7.76673698210778e-251	0.669
RPS5P2	6	4.30247864542231e-242	3.38261266909744	0.559	0.069	1.18950627109991e-237	0.49
RP3-486I3.4	6	6.14357017566103e-237	2.50127138107906	0.944	0.285	1.698512846465e-232	0.659
TMEM45A	6	4.29802100047825e-232	2.56604771896662	0.837	0.184	1.18827386600222e-227	0.653
DNAH11	6	9.30916112784701e-229	2.80312763585654	0.6	0.084	2.57370377701586e-224	0.516
RP11-486O13.4	6	3.15441097083726e-228	2.63161358199369	0.739	0.138	8.72100001107378e-224	0.601
ITM2A	6	1.94750101873988e-224	2.35637449214106	0.722	0.126	5.38425606651014e-220	0.596
PDK1	6	2.89345316205109e-221	2.26967324982164	0.832	0.184	7.99952995712266e-217	0.648
ZMAT4	6	8.30533400238202e-221	2.33351755329564	0.795	0.16	2.29617569163856e-216	0.635
CLU	6	8.7699988428721e-221	2.43357304928237	0.854	0.202	2.42464158008885e-216	0.652
RPS5	6	4.31169908620263e-215	2.12661555235812	1	0.899	1.19205544636244e-210	0.101
KCNJ6	7	0	4.31473936693781	0.546	0.046	0	0.5
KIAA1244	7	0	3.71695041604366	0.749	0.094	0	0.655
CHRM3	7	4.30842067407264e-302	3.6439699646883	0.777	0.118	1.19114906376086e-297	0.659
ZMAT4	7	1.78373022390053e-282	3.07927112184729	0.856	0.159	4.9314789500178e-278	0.697
RP11-486O13.4	7	6.34281855684526e-265	3.2401058279851	0.779	0.137	1.75359904641101e-260	0.642
AP000320.7	7	5.08408305662846e-263	3.42731360402426	0.882	0.198	1.40559644266607e-258	0.684
PDK1	7	1.22676740275339e-251	3.1277486752048	0.846	0.185	3.39164383839228e-247	0.661
DNAH11	7	2.1359899312567e-250	3.20628985341001	0.631	0.083	5.9053713629454e-246	0.548
NPFFR2	7	6.77319740301193e-248	3.3227006526405	0.574	0.068	1.87258588601071e-243	0.506
RNF144A	7	4.56778814856093e-233	2.82626077963444	0.949	0.317	1.26285638943264e-228	0.632
SDK1	7	1.61706901388929e-215	3.22557902450982	0.892	0.269	4.47071070269971e-211	0.623
UNC5D	7	1.68988851892555e-210	2.72867736874188	0.779	0.168	4.67203478827346e-206	0.611
PRTG	7	1.89904331858499e-210	3.31961657052586	0.585	0.088	5.25028506289193e-206	0.497
EYA4	7	3.4382567918548e-207	2.54498441742009	0.818	0.185	9.50574855244097e-203	0.633
PCSK6	7	3.98565968892345e-196	3.27787892026477	0.582	0.094	1.10191533419667e-191	0.488
