gene	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	specificity
PLTP	0	0	5.18833979610668	0.955	0.204	0	0.751
DAB2	0	0	4.81310198524997	0.931	0.121	0	0.81
LGMN	0	0	4.53574924468538	0.893	0.11	0	0.783
SLCO2B1	0	0	4.49374850549102	0.871	0.065	0	0.806
F13A1	0	0	4.47558084273088	0.92	0.129	0	0.791
SEPP1	0	0	4.32770631367138	0.982	0.222	0	0.76
FOLR2	0	0	4.16608507356006	0.96	0.129	0	0.831
CD163	0	0	3.75278335344994	0.918	0.117	0	0.801
TMEM176B	0	0	3.5118897968998	0.958	0.165	0	0.793
STAB1	0	1.5211691359169e-307	4.12505407340032	0.971	0.216	2.75270766835522e-303	0.755
MS4A4A	0	1.17490954809365e-298	3.39413874307893	0.938	0.15	2.12611631823027e-294	0.788
MS4A7	0	5.99201978110345e-292	3.43420887141856	0.933	0.154	1.08431589958848e-287	0.779
C2	0	2.25660990332504e-288	4.44594246296675	0.737	0.064	4.083561281057e-284	0.673
LYVE1	0	4.69792839788497e-288	4.55940051275003	0.744	0.066	8.50137122881264e-284	0.678
C1QC	0	6.58077666465251e-288	3.60954270413557	0.996	0.253	1.19085734523552e-283	0.743
APOC1	0	3.2872824400281e-281	3.8882513274658	0.706	0.051	5.94866630347486e-277	0.655
CD68	0	6.78561412294342e-280	3.13954406637299	0.962	0.193	1.22792473168784e-275	0.769
C1QB	0	1.34848003888738e-275	3.8410902597697	0.998	0.316	2.44020947837061e-271	0.682
RNASE1	0	2.74298858387886e-274	5.13215014539422	0.989	0.381	4.96371214138718e-270	0.608
CSF1R	0	2.71440789703499e-272	3.26173342177163	0.915	0.164	4.91199253047452e-268	0.751
CD3D	1	1.01196968335555e-279	3.27620612506691	0.82	0.081	1.8312603390002e-275	0.739
GZMA	1	2.35813513984737e-271	3.51361906363503	0.778	0.075	4.26728134906781e-267	0.703
CD69	1	3.86164413602668e-263	4.05095274924703	0.856	0.139	6.98803122855387e-259	0.717
CCL5	1	1.34148368471167e-259	3.67676324495929	0.816	0.106	2.42754887585423e-255	0.71
CD2	1	4.75014738729674e-246	2.81078840838502	0.82	0.099	8.59586671205217e-242	0.721
CD3E	1	2.37310552520975e-238	3.48970309881447	0.681	0.061	4.29437175841956e-234	0.62
CD3G	1	3.38254458225226e-218	3.62012674141193	0.603	0.047	6.12105267604369e-214	0.556
IL32	1	3.74541538152242e-213	2.8776307970227	0.816	0.139	6.77770367440297e-209	0.677
LCK	1	2.79890086639284e-210	3.57002836399069	0.574	0.043	5.06489100782449e-206	0.531
CD52	1	4.76160596295776e-209	2.95684050578897	0.806	0.143	8.61660215056835e-205	0.663
RPS27	1	8.99084657025535e-196	1.47811518102352	1	0.999	1.62698359535341e-191	0.001
KLRB1	1	6.96194128255337e-195	3.71491564802825	0.598	0.064	1.25983289449086e-190	0.534
CXCR4	1	2.33695761963217e-191	3.15652388039985	0.887	0.284	4.22895850848637e-187	0.603
CD96	1	7.5177805659741e-181	3.52406604756008	0.518	0.042	1.36041757121867e-176	0.476
GZMK	1	2.64828572174759e-176	3.66710796306261	0.515	0.045	4.79233784207443e-172	0.47
CTSW	1	2.81684790879796e-165	3.21831076674167	0.546	0.063	5.09736797576079e-161	0.483
RPS3	1	3.24789444358508e-165	1.18359955907788	1	0.995	5.87738978511157e-161	0.005
GZMM	1	3.23205558620068e-164	3.71548729250878	0.444	0.031	5.84872778878874e-160	0.413
CD7	1	6.88918682646033e-164	3.5054329076848	0.572	0.075	1.24666724811626e-159	0.497
SPOCK2	1	1.78513005864995e-162	3.28609450025287	0.534	0.059	3.23037135413295e-158	0.475
DERL3	2	1.98690338902966e-222	3.10877724617103	0.925	0.153	3.59550037278808e-218	0.772
RP11-731F5.2	2	5.73549633751851e-219	2.98388371685468	0.972	0.199	1.03789541723735e-214	0.773
SDC1	2	9.29780478824404e-212	2.96040124810417	0.888	0.14	1.68253075448064e-207	0.748
SPAG4	2	1.75245268195242e-211	2.97878169752758	0.91	0.149	3.17123837326111e-207	0.761
MZB1	2	2.28774768718602e-207	2.93356154480038	1	0.266	4.13990821473181e-203	0.734
JSRP1	2	1.91060035542811e-199	2.88134778394354	0.876	0.144	3.45742240318271e-195	0.732
SEL1L3	2	2.00428056934888e-195	2.94989705722761	0.851	0.144	3.62694611829373e-191	0.707
FKBP11	2	4.75043555320059e-194	2.7475286562511	0.997	0.294	8.59638817707179e-190	0.703
PIM2	2	3.34373464884929e-188	2.75843535397964	0.901	0.181	6.05082222055767e-184	0.72
PRDX4	2	7.42587649541377e-176	2.64057828644532	0.997	0.364	1.34378661061007e-171	0.633
FCRL5	2	1.20246767951814e-169	2.79840681574865	0.764	0.119	2.17598551285603e-165	0.645
IGJ	2	2.48594445888757e-169	2.84539205194427	0.975	0.308	4.49856509280295e-165	0.667
TP53INP1	2	2.35033279803211e-166	2.65472603471525	0.848	0.179	4.2531622313189e-162	0.669
SEC11C	2	2.37971493311782e-166	2.53555424239715	0.975	0.334	4.30633214297001e-162	0.641
POU2AF1	2	7.92288005349721e-165	2.88253031286335	0.73	0.11	1.43372437448086e-160	0.62
CD79A	2	8.56311259176996e-163	2.71548907094928	0.758	0.122	1.54958085460669e-158	0.636
SEL1L	2	1.46842794284482e-159	2.68664646924342	0.904	0.249	2.65726720537198e-155	0.655
SSR4	2	1.94750076158893e-159	2.68037286336335	1	0.872	3.52419737817132e-155	0.128
PPAPDC1B	2	2.71660486353986e-153	2.43283889713624	0.885	0.214	4.91596816106173e-149	0.671
XBP1	2	1.05523263204778e-149	2.64331674675087	1	0.669	1.90954897095367e-145	0.331
RP11-731F5.2	3	4.0798264860302e-180	2.5696121292547	0.996	0.211	7.38285400912025e-176	0.785
SPAG4	3	4.14784235837132e-177	2.4640005454215	0.93	0.161	7.50593553170874e-173	0.769
DERL3	3	1.28995778517627e-162	2.17744223757228	0.93	0.167	2.33430760805498e-158	0.763
CD79A	3	2.05431699181062e-156	2.59513227806094	0.801	0.13	3.71749202838049e-152	0.671
MZB1	3	6.03420963194465e-153	2.40241962113042	1	0.28	1.0919505749967e-148	0.72
TPD52	3	6.99287767102786e-152	2.52133576772149	0.841	0.156	1.2654311433492e-147	0.685
JSRP1	3	1.62551318614965e-148	2.37210374295388	0.856	0.16	2.9415286616564e-144	0.696
SDC1	3	1.62467256501821e-147	2.29993454878809	0.863	0.157	2.94000747365696e-143	0.706
IGJ	3	2.15221687029914e-143	2.42107416495599	0.996	0.318	3.89465164849333e-139	0.678
SEC11C	3	1.79329034137586e-140	2.34088715768989	0.985	0.345	3.24513820175375e-136	0.64
FKBP11	3	3.2827829559062e-140	2.15807010143047	1	0.308	5.94052403700786e-136	0.692
ANKRD37	3	3.11099206987554e-137	4.0075419633555	0.804	0.199	5.62965124964677e-133	0.605
PRDX4	3	1.19975708709249e-129	2.24480991978925	0.985	0.377	2.17108042480257e-125	0.608
PPAPDC1B	3	1.50281688242426e-129	2.22518991180518	0.893	0.226	2.71949743043495e-125	0.667
JUN	3	2.21732212985576e-128	2.58183715481326	0.993	0.828	4.01246612618699e-124	0.165
PIM2	3	4.90304732928352e-127	1.92423519745975	0.897	0.195	8.87255444707145e-123	0.702
HERPUD1	3	7.1271040152413e-127	2.43215551343194	1	0.718	1.28972074259807e-122	0.282
FCRL5	3	1.93753792108401e-126	2.14811980902709	0.753	0.133	3.50616862199362e-122	0.62
CHAC1	3	3.30695946145036e-125	4.84837117348414	0.292	0.01	5.98427384144057e-121	0.282
HSPA1B	3	7.46319868016076e-125	2.44365826263931	0.996	0.688	1.35054043316189e-120	0.308
CD2	4	6.33954096527632e-174	3.05279535237364	0.847	0.14	1.1472033330764e-169	0.707
CD3D	4	1.09707532267167e-123	2.61087116705532	0.728	0.135	1.98526750390666e-119	0.593
IL7R	4	3.17111411507199e-101	2.906534971316	0.64	0.134	5.73844810263426e-97	0.506
GZMA	4	2.43410513276935e-95	2.36695239963809	0.644	0.131	4.40475664825941e-91	0.513
CCL5	4	4.12033301081685e-92	2.08088746333078	0.697	0.161	7.45615461637418e-88	0.536
CD52	4	1.27760207801395e-89	2.23828147023025	0.72	0.192	2.31194872037404e-85	0.528
KLRB1	4	1.46369479593687e-79	2.15091931503206	0.536	0.102	2.64870210272735e-75	0.434
LTB	4	3.83867943203132e-79	2.8500411519197	0.536	0.114	6.94647430020388e-75	0.422
IL32	4	2.33269812073313e-76	2.32217149015834	0.667	0.194	4.22125051927867e-72	0.473
CD3E	4	1.9391569603666e-74	2.36314832349632	0.533	0.113	3.5090984354794e-70	0.42
RPS27	4	2.28878295117637e-73	1.03327386725048	1	0.999	4.14178162844876e-69	0.001
PTPRC	4	2.26678975116431e-69	1.81717083077938	0.885	0.501	4.10198273370693e-65	0.384
TC2N	4	2.71146460158436e-66	3.03386973069375	0.379	0.065	4.90666634302706e-62	0.314
RPS29	4	1.13038451418938e-59	1.04210913484228	1	0.963	2.0455438168771e-55	0.037
CD3G	4	7.12850046607136e-57	2.27670460209941	0.437	0.097	1.28997344434027e-52	0.34
SPOCK2	4	5.29925150474804e-56	2.29182826263666	0.433	0.097	9.58952552299205e-52	0.336
S100A4	4	5.60619315940751e-54	1.20151842455315	0.973	0.563	1.01449671412638e-49	0.41
LAT	4	1.6606992998797e-53	2.8761483950134	0.349	0.068	3.00520145306231e-49	0.281
SAMD3	4	1.26884760881152e-51	2.76837841483982	0.322	0.056	2.29610663290532e-47	0.266
CD96	4	2.58989310480938e-50	2.34972508331615	0.383	0.084	4.68667056246306e-46	0.299
IL1B	5	1.07470734977354e-286	6.37262471951895	0.879	0.062	1.94479042015019e-282	0.817
BCL2A1	5	1.40914919801149e-217	5.00063812135116	0.96	0.139	2.54999638872159e-213	0.821
IL1A	5	2.10059914342064e-215	6.92915975944955	0.444	0.008	3.80124420993399e-211	0.436
CCL3L1	5	9.44290580104875e-193	4.67684171697801	0.813	0.092	1.70878823375778e-188	0.721
CXCL3	5	1.94301060042339e-183	5.14693521565904	0.798	0.097	3.51607198252617e-179	0.701
IL8	5	4.35362089595651e-181	4.65491766161813	0.924	0.164	7.8783123733229e-177	0.76
CXCL2	5	1.62672692270387e-168	4.10922792554284	0.924	0.175	2.94372503932492e-164	0.749
