cluster	cell_count	marker_count	specific_marker_count	weak_support	small_cluster
global	6877	5144	734.5	None	None
0	889	1622	238	FALSE	FALSE
1	602	297	1	FALSE	FALSE
2	530	753	55	FALSE	FALSE
3	509	444	0	FALSE	FALSE
4	501	1152	99	FALSE	FALSE
5	498	169	8	FALSE	FALSE
6	454	924	71	FALSE	FALSE
7	412	383	72	FALSE	FALSE
8	401	971	54	FALSE	FALSE
9	374	637	38	FALSE	FALSE
10	344	716	21	FALSE	FALSE
11	330	1211	474	FALSE	FALSE
12	328	1148	115	FALSE	FALSE
13	298	1541	693	FALSE	FALSE
14	261	23	0	FALSE	FALSE
15	146	241	59	FALSE	FALSE
