cluster	cell_count	marker_count	specific_marker_count	weak_support	small_cluster
global	6877	5500	701.5	None	None
0	767	356	2	FALSE	FALSE
1	678	1458	221	FALSE	FALSE
2	592	740	8	FALSE	FALSE
3	548	506	4	FALSE	FALSE
4	459	97	2	FALSE	FALSE
5	454	924	72	FALSE	FALSE
6	423	1001	61	FALSE	FALSE
7	410	382	68	FALSE	FALSE
8	390	922	45	FALSE	FALSE
9	386	1132	116	FALSE	FALSE
10	373	764	45	FALSE	FALSE
11	298	1541	676	FALSE	FALSE
12	286	663	13	FALSE	FALSE
13	205	456	65	FALSE	FALSE
14	188	482	4	FALSE	FALSE
15	152	231	49	FALSE	FALSE
16	140	1639	755	FALSE	FALSE
17	128	14	0	FALSE	FALSE
