cluster	cell_count	marker_count	specific_marker_count	weak_support	small_cluster
global	6877	5542	671.5	None	None
0	900	1620	265	FALSE	FALSE
1	761	358	2	FALSE	FALSE
2	637	729	7	FALSE	FALSE
3	481	941	51	FALSE	FALSE
4	455	96	4	FALSE	FALSE
5	413	377	66	FALSE	FALSE
6	393	942	45	FALSE	FALSE
7	381	635	36	FALSE	FALSE
8	373	474	46	FALSE	FALSE
9	347	708	19	FALSE	FALSE
10	298	1541	674	FALSE	FALSE
11	296	1151	123	FALSE	FALSE
12	276	350	4	FALSE	FALSE
13	270	973	79	FALSE	FALSE
14	190	476	4	FALSE	FALSE
15	151	228	50	FALSE	FALSE
16	140	1639	744	FALSE	FALSE
17	115	16	3	FALSE	FALSE
