gene	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
LRRC17	0	0	3.36062335447159	0.909	0.143	0
MDFI	0	0	3.33345100040394	0.871	0.117	0
CYTL1	0	0	3.36905080558828	0.9	0.157	0
MFAP2	0	0	3.05041160952273	0.853	0.131	0
CRABP2	0	0	2.6096630136208	0.827	0.139	0
TMEM98	0	0	2.82294199519465	0.871	0.183	0
RBP1	0	0	2.73054102336502	0.914	0.228	0
MFAP4	0	0	2.84119051293797	0.827	0.141	0
FBLN1	0	0	2.78620758131581	0.985	0.311	0
NPW	0	0	2.91531503167534	0.827	0.174	0
LUM	0	0	1.8017913890317	0.981	0.337	0
FMOD	0	0	2.76345929678683	0.761	0.123	0
MEST	0	0	3.00235875961076	0.986	0.366	0
RP4-678D15.1	0	0	3.13647099824051	0.706	0.1	0
CTHRC1	0	0	2.94297154241825	0.993	0.399	0
GPX8	0	0	2.37858651703023	0.988	0.406	0
PYCR1	0	2.08479029191733e-302	2.82463688594255	0.675	0.11	5.76381972006384e-298
EDN3	0	4.57696620611355e-300	3.55320007549732	0.567	0.074	1.26539384700421e-295
FKBP7	0	8.48330817564759e-299	2.6915694487944	0.782	0.169	2.34538021132129e-294
GAS2	0	7.47540744818489e-298	2.26151535855157	0.829	0.173	2.06672589719968e-293
PCOLCE	0	2.01642383281649e-297	2.25984535200887	0.988	0.384	5.57480697058776e-293
KRT18	0	7.521832284522e-287	2.22768629520643	0.851	0.194	2.0795609717018e-282
LAMP5	0	3.54663092337029e-286	3.77645137517086	0.501	0.059	9.80537051384184e-282
NT5DC2	0	3.99397901076491e-285	2.32371504076467	0.819	0.182	1.10421537710617e-280
MEOX2	0	4.65846051111445e-283	2.06283975192038	0.87	0.198	1.28792457750781e-278
ITM2A	0	6.16978444872574e-283	2.56415811371718	0.677	0.114	1.7057603065392e-278
STRA6	0	7.56979580241348e-283	2.24989757429659	0.827	0.179	2.09282144549325e-278
SULT1E1	0	2.31982123786889e-281	2.93447592021223	0.599	0.09	6.41360977633612e-277
PTPRD	0	2.40485380270809e-276	2.03694511402333	0.821	0.172	6.64869930834706e-272
DCN	0	3.39968700937267e-275	1.09866781815212	0.983	0.377	9.39911467481263e-271
C7	0	9.40006370466255e-275	3.18266895451516	0.579	0.086	2.59883561242806e-270
OGN	0	2.13858604921e-267	2.89408759380076	0.635	0.112	5.91254885025089e-263
PLEKHH2	0	1.74836955044661e-266	2.03467250987828	0.936	0.273	4.83371729611974e-262
EYA4	0	8.52032655059711e-264	2.0417002735858	0.8	0.168	2.35561468144358e-259
COL3A1	0	1.31767964682729e-261	2.16562584127433	1	0.767	3.6429889195834e-257
SERPINH1	0	2.74054221373376e-260	1.90006517165019	0.992	0.578	7.57677705830973e-256
POSTN	0	1.35750455824294e-256	2.40146687957923	0.968	0.449	3.75309285217426e-252
NDN	0	6.1868240370212e-256	2.20358624112847	0.821	0.209	1.71047124151525e-251
SEMA3A	0	2.29059262050876e-253	1.93945800360677	0.838	0.2	6.33280141792057e-249
MMP2	0	2.83226177158301e-253	2.00160140217686	0.836	0.208	7.83035411989555e-249
RCN3	0	6.06814290785211e-248	2.28556247133746	0.822	0.221	1.67765946973387e-243
FBN2	0	7.93576004160715e-247	2.08050867322475	0.77	0.171	2.19399957870313e-242
PTK7	0	1.26088615912356e-245	2.06204916186997	0.766	0.17	3.48597196412892e-241
OLFML3	0	1.03183245665616e-244	2.28176100697329	0.831	0.228	2.8527071929173e-240
CCDC80	0	3.05694514699762e-242	2.2644604456993	0.755	0.177	8.45153624790433e-238
RPS19	0	8.32766519656532e-242	1.39279499874673	1	0.986	2.30234959689441e-237
RP3-486I3.4	0	4.82690910651029e-241	1.96444355256891	0.892	0.272	1.3344955606769e-236
RPS5	0	3.69213065848493e-240	1.59296433381706	1	0.897	1.02076336315133e-235
RPL28	0	9.40072909040395e-238	1.42822067996438	1	0.984	2.59901957162398e-233
FAM155A	0	3.27276126236437e-237	1.87250072749297	0.993	0.469	9.04820306205877e-233
LAPTM4B	0	2.02498947674155e-236	2.19271361975089	0.968	0.499	5.59848840634738e-232
RPS7	0	7.35364329766618e-236	1.45544403075647	1	0.927	2.03306176250577e-231
FHL2	0	1.48082545013657e-235	1.99523642249688	0.968	0.423	4.09403812199257e-231
