gene	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	specificity
RP11-234A1.1	14	4.02751097666082e-71	1.2636808045437	1	0.952	1.11348595971742e-66	0.048
RPL13P12	14	1.58953699624934e-66	1.05820181884082	1	0.974	4.39459293353055e-62	0.026
MEST	14	4.86953144358905e-66	1.57547710315649	0.871	0.396	1.34627935820907e-61	0.475
GNB2L1	14	9.5793442045032e-66	1.33962203376503	0.997	0.956	2.648401292219e-61	0.041
RPL32	14	1.2479410333256e-65	1.15571590682309	0.997	0.961	3.45018257483529e-61	0.036
RPS15	14	2.70797910171216e-65	1.20797184274121	1	0.961	7.4867498225036e-61	0.039
RPS5	14	4.88978122618861e-65	1.41579546136036	1	0.901	1.35187781560436e-60	0.099
RPS8	14	8.55000314881671e-65	1.16863575804295	0.997	0.962	2.36381937055335e-60	0.035
AC016739.2	14	1.50132698124196e-64	1.17554412240485	1	0.954	4.15071870503964e-60	0.046
LUM	14	6.04293757967395e-64	0.421183833352053	0.909	0.366	1.67069095265246e-59	0.543
RPL18	14	9.10453038051926e-64	1.24988882480664	1	0.948	2.51712951430216e-59	0.052
RPS11	14	9.36279334994249e-63	1.51580793661469	0.993	0.857	2.5885314774586e-58	0.136
MGP	14	1.17667305869577e-62	1.02544443540461	0.997	0.7	3.2531480053762e-58	0.297
RPS7	14	7.18954567418272e-61	1.3139281100103	1	0.93	1.9876936925413e-56	0.07
RPLP1	14	9.98575888697799e-61	1.21533250234764	1	0.948	2.7607627594828e-56	0.052
CD3D	15	0	9.79526648275237	0.768	0.002	0	0.766
IFNG	15	0	9.65454848947649	0.423	0.001	0	0.422
GZMA	15	0	9.47686131431464	0.806	0.004	0	0.802
CD2	15	0	9.33191206265351	0.764	0.003	0	0.761
ICOS	15	0	9.17019476637527	0.567	0.002	0	0.565
CD3E	15	0	9.106211335431	0.725	0.002	0	0.723
IGHV1OR15-1	15	0	8.88644438350138	0.359	0.001	0	0.358
XCL1	15	0	8.77326053894686	0.359	0.002	0	0.357
GZMH	15	0	8.65786676494873	0.44	0.001	0	0.439
CD3G	15	0	8.32812100787859	0.535	0.002	0	0.533
THEMIS	15	0	8.17491383671144	0.634	0.004	0	0.63
GZMK	15	0	7.92193388023312	0.62	0.011	0	0.609
CCDC64	15	0	7.75124732713461	0.655	0.009	0	0.646
CCL5	15	0	7.43876860661377	0.88	0.022	0	0.858
CD96	15	0	7.41098734093801	0.687	0.009	0	0.678
TIGIT	15	0	7.36247251266937	0.296	0.002	0	0.294
RHOH	15	0	7.35241417510464	0.683	0.012	0	0.671
LCK	15	0	7.32945745544141	0.496	0.005	0	0.491
CTSW	15	0	7.28728800119747	0.489	0.004	0	0.485
CD27	15	0	7.27500967141903	0.426	0.004	0	0.422
FHL5	16	0	9.83071683161138	0.556	0.001	0	0.555
COX4I2	16	0	9.5244420010355	0.679	0.003	0	0.676
MYOCD	16	0	8.91230436610764	0.487	0.002	0	0.485
GJA4	16	0	8.85271749663929	0.661	0.003	0	0.658
SGCA	16	0	8.5798718347855	0.365	0.001	0	0.364
HIGD1B	16	0	7.88334716664779	0.74	0.014	0	0.726
ACAN	16	0	7.80424462025019	0.455	0.004	0	0.451
TAGLN	16	0	7.59496129984972	0.899	0.089	0	0.81
TRPC6	16	0	7.25794373989813	0.729	0.013	0	0.716
RGS5	16	0	7.1789314725952	0.917	0.074	0	0.843
HTR1F	16	0	6.90576626445787	0.289	0.002	0	0.287
STEAP4	16	0	6.77251691272789	0.426	0.006	0	0.42
MYH11	16	0	6.7284863299824	0.765	0.039	0	0.726
SLC38A11	16	0	6.65912300980845	0.675	0.016	0	0.659
PLN	16	0	6.5961844899211	0.372	0.006	0	0.366
TRPC4	16	0	6.49861033270347	0.484	0.01	0	0.474
LMOD1	16	0	6.46904098222193	0.596	0.012	0	0.584
THY1	16	0	6.43630283835099	0.899	0.101	0	0.798
CNN1	16	0	6.38684147308039	0.498	0.012	0	0.486
SEPT4	16	0	5.95757788817024	0.65	0.021	0	0.629
ZNF423	17	7.41631343085593e-146	2.51199969437388	0.753	0.16	2.05038817422874e-141	0.593
TENM2	17	2.47471117670034e-140	2.47870737541994	0.945	0.361	6.84183399022342e-136	0.584
TSHZ2	17	5.00007453432956e-138	2.39989730335342	1	0.543	1.38237060650609e-133	0.457
CPXM1	17	1.86485676010549e-135	2.54367588775548	0.742	0.172	5.15576948466364e-131	0.57
KCNIP1	17	1.46155586870036e-123	2.60885689250894	0.638	0.13	4.04076351019589e-119	0.508
AUTS2	17	1.98627496694301e-122	2.05038667808305	0.996	0.749	5.49145440110734e-118	0.247
PARD3	17	3.84931881095242e-117	1.92794438807411	1	0.641	1.06422117166401e-112	0.359
SLIT3	17	3.99350654765939e-111	1.99687730066929	0.738	0.186	1.10408475523139e-106	0.552
AFF3	17	3.62829763108806e-110	2.06528444140695	0.952	0.467	1.00311544606692e-105	0.485
COL1A1	17	3.66756490895082e-109	2.07346708833167	1	0.772	1.01397167037763e-104	0.228
GLI2	17	5.30898060803327e-109	2.21718476969251	0.716	0.188	1.46777386870296e-104	0.528
AP000697.6	17	2.39572886158144e-108	3.50386154880015	0.332	0.039	6.62347158361421e-104	0.293
DENND2A	17	2.56708151929116e-108	2.29240621048801	0.756	0.219	7.09721027638427e-104	0.537
FRMD4A	17	2.51675230997044e-107	1.60587435731419	0.996	0.849	6.95806511137527e-103	0.147
EGFR	17	2.15523705717137e-106	2.09077108156615	0.812	0.247	5.95858389196168e-102	0.565
RP11-460N16.1	17	1.50530752980564e-105	3.87241080564596	0.273	0.027	4.16172372765365e-101	0.246
KCNQ1OT1	17	4.66518456197962e-104	1.77922711165177	0.989	0.536	1.28978357585051e-99	0.453
COL25A1	17	5.71603828530058e-103	2.30268281861997	0.605	0.136	1.58031310473705e-98	0.469
PLEKHH2	17	7.77199272473148e-103	1.93907598302302	0.86	0.304	2.14872282860651e-98	0.556
CTB-50L17.16	17	1.14902214697435e-102	3.3558110469806	0.292	0.031	3.17670152973997e-98	0.261
NPFFR2	18	1.4757862734541e-272	3.87502957813533	0.733	0.073	4.08010631021855e-268	0.66
BARX1	18	1.16278098357202e-264	3.99793266103882	0.691	0.067	3.21474058528157e-260	0.624
MAP3K19	18	6.17512741213995e-248	4.4170166926986	0.469	0.029	1.70723747563433e-243	0.44
TNNT1	18	2.70590173855116e-220	3.66089767376125	0.63	0.066	7.48100653657239e-216	0.564
RP11-486O13.4	18	2.98278816352634e-202	2.94627359624476	0.86	0.147	8.24651443570127e-198	0.713
EEF1A2	18	8.4209580345465e-188	3.65200065543761	0.527	0.053	2.32814226781107e-183	0.474
CD70	18	9.0856766059437e-176	2.89026389479602	0.761	0.125	2.51191701124526e-171	0.636
RPS5P2	18	3.04144316952844e-171	3.33151507879871	0.605	0.079	8.40867793079526e-167	0.526
KIAA1244	18	4.57760611210803e-171	2.86987442933188	0.708	0.109	1.26557076181451e-166	0.599
STC2	18	3.7715319441204e-167	3.21386536879852	0.584	0.074	1.04271543659097e-162	0.51
LINC00536	18	1.33708202378052e-159	4.80981724157694	0.284	0.016	3.696630671146e-155	0.268
SFRP2	18	5.74753203986742e-157	2.96286811655672	0.613	0.087	1.58902018306215e-152	0.526
DNAH11	18	2.38713775045109e-153	2.71762278470906	0.638	0.094	6.59971973867213e-149	0.544
PGF	18	9.48839040349124e-151	2.85939081808858	0.881	0.226	2.62325529485322e-146	0.655
KRT18	18	3.04407530017484e-149	2.39365767726709	0.914	0.223	8.41595498239339e-145	0.691
RP3-486I3.4	18	5.21794787857226e-148	2.47686549564556	0.959	0.3	1.44260604998887e-143	0.659
PDK1	18	6.15064518036999e-148	2.32945222099907	0.864	0.197	1.70046887301689e-143	0.667
CTU1	18	9.60922057760445e-141	2.71373901796266	0.687	0.125	2.6566612130903e-136	0.562
SDCBP2	18	1.28431439313212e-140	3.24898180772135	0.481	0.059	3.55074400269238e-136	0.422
DNAJB9	18	1.82527086520888e-139	2.77875639542113	0.856	0.235	5.04632636104299e-135	0.621
CD1C	19	0	9.8335664523928	0.392	0.001	0	0.391
FCN1	19	0	9.40381322291172	0.337	0.001	0	0.336
FCER1A	19	0	9.24840847778192	0.645	0.005	0	0.64
CLEC10A	19	0	8.17745149493892	0.47	0.004	0	0.466
LGALS2	19	0	7.66228934678321	0.452	0.004	0	0.448
IL1R2	19	0	7.57394825930079	0.542	0.006	0	0.536
CD300E	19	0	7.05377101290466	0.422	0.006	0	0.416
RETN	19	0	6.97607809686055	0.38	0.004	0	0.376
CFP	19	0	6.6722161866885	0.343	0.004	0	0.339
FGR	19	0	5.80439937850517	0.566	0.018	0	0.548
CD300LB	19	0	5.65490160138633	0.488	0.013	0	0.475
MPEG1	19	0	5.26341883008638	0.602	0.026	0	0.576
AMICA1	19	0	5.10341466897402	0.729	0.041	0	0.688
CD48	19	1.30077721711137e-297	4.42055227808332	0.717	0.044	3.5962587721478e-293	0.673
RP11-1143G9.4	19	8.7174669361581e-286	5.73825734788181	0.59	0.03	2.41011808383963e-281	0.56
LILRA5	19	4.38513752594176e-280	6.46179640701813	0.271	0.003	1.21235897179712e-275	0.268
NAPSB	19	2.25819096361761e-279	5.2228576768018	0.693	0.046	6.24322055711361e-275	0.647
CYTIP	19	1.69787137690037e-263	4.18522884553064	0.873	0.083	4.69410499571645e-259	0.79
MNDA	19	8.91842768595776e-250	4.22386912409928	0.825	0.078	2.46567770233674e-245	0.747
LST1	19	1.47743220342367e-249	4.2098707029028	0.855	0.087	4.08465681280542e-245	0.768
VWF	20	7.84329780317952e-76	2.18400645303371	0.704	0.083	2.16843654364504e-71	0.621
ANGPT2	20	5.63059703705818e-57	1.81704078399338	0.676	0.101	1.55669116283547e-52	0.575
SPARCL1	20	1.58386814383802e-47	2.29412534117633	0.817	0.182	4.37892025726898e-43	0.635
ESM1	20	3.43464908543589e-46	2.04696385973536	0.676	0.13	9.4957743265046e-42	0.546
IGFBP3	20	9.18940753347297e-42	2.31515139894689	0.718	0.167	2.54059550077927e-37	0.551
FLT1	20	5.30602557095477e-41	2.26825682144357	0.676	0.147	1.46695688960187e-36	0.529
PLVAP	20	2.48384681454075e-40	1.72574229197654	0.423	0.053	6.8670912881608e-36	0.37
PRSS23	20	2.12588752747237e-33	2.255662305425	0.972	0.454	5.87744124720287e-29	0.518
INSR	20	1.21363619596983e-32	3.2753658466076	0.831	0.334	3.3553399909978e-28	0.497
HSPG2	20	3.68491433297523e-27	2.15019591961163	0.972	0.46	1.01876826563766e-22	0.512
IGFBP7	20	4.21992103824624e-21	1.61149552832681	0.986	0.772	1.16668156944394e-16	0.214
EGFL7	20	1.00948242283155e-20	2.51887835161511	0.507	0.148	2.79091605440237e-16	0.359
DYSF	20	2.62165990806085e-20	2.22136639813048	0.31	0.054	7.24810314781584e-16	0.256
RGS3	20	2.90821726413787e-19	2.33109729500126	0.423	0.109	8.04034827016198e-15	0.314
CRIM1	20	7.79777137448612e-19	1.58201433190914	0.986	0.499	2.15584985190418e-14	0.487
RGCC	20	1.01873448525033e-18	1.24522267162645	0.958	0.421	2.81649523137159e-14	0.537
HFM1	20	4.48356497166077e-18	1.2551948930724	1	0.968	1.23957120771505e-13	0.032
PLXNA2	20	1.5798425852354e-17	2.37381483655233	0.408	0.109	4.3677907954003e-13	0.299
CA2	20	1.8038885627512e-17	1.4061030337198	0.282	0.052	4.98721070943824e-13	0.23
CITED4	20	4.40502601960795e-17	2.21731271675096	0.38	0.097	1.21785754364101e-12	0.283
