gene	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
STEAP1	0	6.18130797026289e-181	2.99048141525085	0.803	0.142	1.11343900468345e-176
ABCC9	0	7.96779615347583e-179	3.02637897084019	0.739	0.107	1.4352391211256e-174
RARRES1	0	7.92926186410113e-169	3.16916734943252	0.922	0.338	1.42829793958054e-164
PTGFR	0	1.06239450215286e-164	2.91548788098267	0.818	0.187	1.91369121672796e-160
NNMT	0	1.08510023990131e-163	2.31816109454862	0.998	0.626	1.95459106213423e-159
GEM	0	1.36164690969408e-159	2.46148338712175	0.943	0.36	2.45273457843195e-155
FBLN1	0	8.19068169939244e-157	2.28036916929574	0.995	0.651	1.47538749451156e-152
SERPINF1	0	9.91912006346707e-157	1.86260547851278	1	0.812	1.78673109703232e-152
SFRP2	0	1.24011491993908e-154	2.44573718010529	0.993	0.807	2.23381900528626e-150
MGP	0	2.70196083168577e-151	2.19716112097618	1	0.786	4.86704204611557e-147
EFEMP1	0	8.21320381593488e-147	1.78513737576075	0.988	0.479	1.47944440336435e-142
COL14A1	0	3.25146793105219e-146	1.97016254383872	0.986	0.394	5.85686918420431e-142
PLA2G2A	0	4.19873018168139e-145	2.70021027462297	0.981	0.811	7.56317267626268e-141
FAM134B	0	8.07038980396302e-145	2.91914574751516	0.649	0.098	1.45371931538786e-140
FGF7	0	3.8599535034541e-143	2.51344090540448	0.962	0.5	6.95293424577186e-139
MEDAG	0	1.4385371095431e-142	2.54390925629429	0.791	0.19	2.59123689541999e-138
GAS1	0	2.19479377875012e-142	2.87475162815671	0.704	0.132	3.95348203366258e-138
PRRX1	0	2.25092830539248e-141	1.95418461650928	0.957	0.383	4.05459715650347e-137
CXCL14	0	1.7839326412227e-139	2.17580954668899	0.979	0.573	3.21339786663445e-135
RASD1	0	2.15728163687793e-139	3.18489001400899	0.761	0.207	3.88591141250821e-135
AOX1	0	2.88513874269928e-138	3.25116266002611	0.597	0.088	5.19700041722422e-134
IGF1	0	6.56567474125565e-138	2.7248290869499	0.945	0.51	1.18267499114238e-133
THY1	0	9.49889561438103e-136	1.8459222348437	0.976	0.414	1.71103606701845e-131
IGFBP4	0	1.1957662339296e-135	1.81546843626273	1	0.82	2.1539337171774e-131
HSD11B1	0	5.85614922284772e-134	3.94393820896645	0.488	0.047	1.05486815951156e-129
GGT5	0	1.21289481048707e-133	2.30814150146273	0.91	0.386	2.18478742213035e-129
STEAP2	0	3.80196936704592e-131	2.50199750164051	0.732	0.168	6.84848742085982e-127
HP	0	1.00320634649528e-129	4.63143129163777	0.493	0.055	1.80707559194195e-125
GPNMB	0	1.59277754775907e-128	2.25116266002611	0.908	0.372	2.86907019677841e-124
CCDC80	0	4.54444306267579e-126	1.5377184016451	1	0.523	8.1859052887979e-122
PRRX2	0	4.36623808127648e-124	2.61452301733973	0.664	0.134	7.86490465580333e-120
LXN	0	1.99343138803869e-120	2.94142442000536	0.668	0.149	3.59076795927409e-116
COL6A3	0	1.38048761487243e-119	1.67137776246682	0.991	0.638	2.48667234066972e-115
MFAP4	0	7.13355293059541e-117	2.11303414814357	0.806	0.252	1.28496688938815e-112
MGST1	0	8.77695288414103e-116	2.26396673636123	0.865	0.394	1.58099252302032e-111
MMP2	0	2.89733270630084e-112	1.70575860704219	0.991	0.725	5.2189654038597e-108
SLPI	0	3.39266931044293e-111	2.11648453679929	0.694	0.177	6.11121522890085e-107
C1R	0	3.60139932568933e-111	1.40617788812676	1	0.758	6.4872006053642e-107
AGT	0	8.11075511888951e-111	3.91095562891128	0.543	0.095	1.46099031956557e-106
TWIST1	0	1.56817388161063e-108	2.45558983812834	0.699	0.183	2.82475161294522e-104
C11orf96	0	1.17464024085607e-105	2.59730382280023	0.893	0.569	2.11587946585403e-101
C7	0	2.90842762138695e-104	3.73398175356056	0.692	0.249	5.23895067440432e-100
PCSK1	0	3.19305324564949e-102	4.66957360148793	0.325	0.019	5.75164681138843e-98
PCOLCE	0	4.19461446878032e-100	1.32499334970167	1	0.708	7.55575904261399e-96
NR4A1	0	1.9137498788726e-98	1.46482622774311	0.974	0.757	3.44723765681321e-94
SFRP1	0	8.36601804524955e-98	2.48008652565942	0.758	0.298	1.5069708304908e-93
C3	0	1.13120898895975e-96	1.90434691684563	0.915	0.541	2.0376467518132e-92
CLU	0	1.2699491600191e-96	1.52286196841743	0.988	0.846	2.2875594219424e-92
PPAP2A	0	8.2950305962406e-96	1.81778272091324	0.877	0.45	1.49418386130082e-91
SERPING1	0	1.91655433969014e-95	1.19344618779229	0.993	0.766	3.45228933208385e-91
SPOCK1	0	1.63449013063439e-94	2.08757534064438	0.63	0.15	2.94420707231172e-90
CFD	0	2.72578165160543e-94	2.08548536363211	0.957	0.693	4.90995048903685e-90
BGN	0	1.11651849349633e-93	1.05477465465885	0.981	0.561	2.01118476233494e-89
P4HA3	0	8.31991132220888e-93	2.46276745285542	0.559	0.121	1.49866562646949e-88
C1S	0	9.20351439087048e-93	1.19980348684797	1	0.721	1.6578290472275e-88
HTRA1	0	3.03485607564275e-92	1.34881280235763	0.957	0.564	5.46668624905528e-88
ANGPTL2	0	3.69078629235977e-92	1.93520373636111	0.761	0.268	6.64821334842766e-88
PDGFRA	0	4.80039358844031e-92	1.94407070745237	0.754	0.261	8.64694897085753e-88
MT2A	0	8.01943598560258e-92	1.89788784514301	0.915	0.55	1.44454100408659e-87
BOC	0	9.32131352593273e-91	2.15713502390263	0.621	0.157	1.67904820542626e-86
CHI3L1	0	3.59215163073605e-90	4.31102392686203	0.45	0.078	6.47054273244485e-86
GPRC5A	0	8.18282764835045e-90	2.1614989105825	0.583	0.136	1.47397274429737e-85
COL6A2	0	3.12813321426164e-89	1.15598234471725	1	0.776	5.6347063588495e-85
ANGPT1	0	6.69163913161339e-88	2.64110917834212	0.5	0.1	1.20536495677752e-83
IL1R1	0	1.52095077663306e-87	1.91441559560276	0.668	0.19	2.73968863394914e-83
NUPR1	0	4.13268621267409e-87	1.44784894333192	0.945	0.533	7.44420767488983e-83
ARID5B	0	1.03872269233317e-86	1.64403850938079	0.874	0.469	1.87105118569973e-82
ASPN	0	1.13490947423561e-86	1.60590732180455	0.796	0.316	2.0443124359406e-82
RPL39	0	1.52462657161254e-86	1.02567301748852	1	0.998	2.74630984344566e-82
LDHA	0	5.35101693351408e-85	1.03076421140573	0.998	0.893	9.63878680233892e-81
COLEC12	0	3.38897006777521e-84	1.60087004708713	0.829	0.359	6.10455178308348e-80
PDGFRL	0	5.79876307223934e-84	1.38206680838393	0.948	0.54	1.04453119220247e-79
VCAN	0	2.52975311484882e-83	1.35777390487796	0.983	0.683	4.55684428577718e-79
HSPB6	0	7.62888941671134e-83	2.13112155290627	0.555	0.131	1.37419185063221e-78
TMEM45A	0	2.90417475183303e-82	1.74478689720736	0.796	0.329	5.23128998047684e-78
CCL13	0	2.44126228555667e-80	4.94576698992249	0.332	0.039	4.39744575497322e-76
PPIC	0	6.21295799590281e-80	0.994231470071315	0.962	0.563	1.11914012380197e-75
WISP2	0	8.74286637176034e-80	2.28919689472836	0.668	0.242	1.57485251954519e-75
EMILIN1	0	1.18005022987905e-77	1.59058970039551	0.82	0.38	2.12562447908112e-73
UAP1	0	1.3562025577231e-77	1.69697471726959	0.806	0.361	2.44292766722661e-73
PRG4	0	2.36865292910051e-77	1.72330587471783	0.555	0.135	4.26665452118875e-73
TIMP1	0	6.02740895579214e-77	1.06803278948094	1	0.971	1.08571717520684e-72
SULF2	0	7.85611777800202e-77	1.45434761912805	0.808	0.334	1.4151224953515e-72
MXRA8	0	6.1602619718748e-76	1.21071880793823	0.955	0.596	1.10964798899381e-71
CFB	0	9.02746798765052e-76	2.42286372354289	0.448	0.089	1.62611780861549e-71
AR	0	9.01728811883154e-75	2.89155991584326	0.346	0.047	1.62428410884513e-70
ISM1	0	1.13216421609365e-74	2.93322093272688	0.355	0.051	2.03936740244949e-70
COL1A2	0	1.58584948222073e-74	0.50555176050497	1	0.88	2.85659067232419e-70
CYBRD1	0	2.57703508969183e-74	1.2021053878372	0.934	0.555	4.6420133070619e-70
THBS2	0	2.66995845449073e-74	1.30817861962388	0.86	0.412	4.80939616407415e-70
DIRAS3	0	1.00670827655534e-73	3.46770325662544	0.351	0.052	1.81338361855914e-69
AEBP1	0	2.15364386494947e-73	1.15124829379706	0.945	0.561	3.87935869393348e-69
COL3A1	0	4.49704241448816e-73	0.340422782688298	1	0.86	8.10052250121753e-69
BASP1	0	1.06141610557557e-72	1.39064792856384	0.912	0.509	1.91192883097327e-68
PPIB	0	3.36511741154559e-72	0.953223570280809	0.998	0.943	6.06158599341708e-68
COL6A1	0	6.66415988851614e-72	0.889433941125116	0.983	0.681	1.20041512071841e-67
KCNE4	0	1.75424270691803e-71	2.15773020235419	0.512	0.129	3.15991738797145e-67
HAS1	0	2.41943430780054e-71	2.73197202432901	0.469	0.111	4.35812701864111e-67
FST	0	3.7705620259256e-71	2.4859837003004	0.422	0.083	6.79191337729979e-67
FAP	0	6.84686023345778e-71	1.24516079992577	0.732	0.245	1.23332493385275e-66
NFIB	0	1.48979243060497e-70	1.48918683015403	0.822	0.403	2.68356310524873e-66
PTGFRN	0	2.37191581551071e-70	1.71946311883283	0.614	0.189	4.27253195847944e-66
CTSK	0	5.20557296691576e-69	1.39863554967755	0.9	0.531	9.37679858530537e-65
FHL2	0	1.56074178865724e-68	1.63172718305441	0.763	0.345	2.81136418390829e-64
RP11-572C15.6	0	1.07438486296753e-67	1.30570314709817	0.652	0.214	1.9352894536634e-63
FOXC1	0	1.91281853261071e-67	1.69612702052925	0.64	0.217	3.44556002279168e-63
ZFHX4	0	3.1667815586846e-67	2.16009398787985	0.472	0.114	5.70432362165857e-63
CLEC11A	0	3.20010403626571e-67	1.2163351993608	0.877	0.466	5.76434740052543e-63
KCNK15	0	3.92223394230324e-67	2.17020192710375	0.429	0.09	7.06512000027083e-63
RNF144A	0	4.21931318168327e-67	2.09328300024439	0.491	0.125	7.60024883416608e-63
EPHX1	0	1.4850673835566e-66	1.28298748413592	0.886	0.513	2.6750518780005e-62
CES1	0	2.47319101746309e-66	2.16287669321731	0.562	0.177	4.45495897975626e-62
MT1E	0	2.69481242927355e-66	1.69188247270319	0.538	0.148	4.85416562885044e-62
IFITM3	0	3.03500668281074e-66	0.838541383564503	1	0.922	5.46695753774698e-62
NTRK2	0	3.61001158144888e-66	1.38501030830688	0.739	0.277	6.50271386166387e-62
FMOD	0	5.33120937828157e-66	1.24729178249531	0.787	0.325	9.60310745309858e-62
IL6	0	7.65667509287159e-66	3.25234495473754	0.377	0.073	1.37919688447896e-61
FKBP11	0	8.95092115762494e-66	1.5167957661451	0.668	0.229	1.61232942812298e-61
SGIP1	0	1.00717081238555e-65	3.06847470666189	0.289	0.035	1.8142167843501e-61
NFIX	0	3.79567097357816e-65	1.43793117163183	0.723	0.271	6.83714212470634e-61
SCRG1	0	4.14717238906598e-65	1.5640314730495	0.775	0.354	7.47030162442455e-61
S100A10	0	7.06248002916203e-65	0.937206779812291	1	0.874	1.27216452765296e-60
KCNJ8	0	7.4642398133818e-64	2.7001665217593	0.341	0.057	1.34453351758446e-59
PODN	0	1.02284738672341e-63	1.39173975963784	0.794	0.383	1.84245499770487e-59
STMN2	0	1.52092983674029e-63	3.46346626373897	0.27	0.031	2.73965091492028e-59
SCG2	0	2.43617108217243e-63	2.7396760583205	0.329	0.053	4.38827497031719e-59
RPLP0	0	4.25189063128224e-63	0.680193406115263	1	0.979	7.65893059412871e-59
ABL2	0	1.14546067920581e-62	1.30469788220662	0.796	0.381	2.06331832145342e-58
FSTL1	0	3.02240711356059e-62	0.805505760635594	0.986	0.7	5.4442619336567e-58
SLC16A4	0	3.67815431344764e-60	2.54623372390899	0.45	0.118	6.62545936481323e-56
BMPER	0	5.10453333680012e-60	2.65859660507096	0.306	0.047	9.19479589957805e-56
CHRDL1	0	5.17489542695258e-60	1.71253972208556	0.671	0.265	9.32153913256968e-56
NDUFA4L2	0	1.26625148013839e-59	1.48136232092424	0.438	0.103	2.28089879117327e-55
