cluster	cell_count	marker_count	specific_marker_count	weak_support	small_cluster
global	2284	5502	757.5	None	None
0	293	1110	175	FALSE	FALSE
1	220	638	47	FALSE	FALSE
2	175	829	135	FALSE	FALSE
3	172	865	56	FALSE	FALSE
4	163	769	203	FALSE	FALSE
5	160	859	120	FALSE	FALSE
6	143	776	160	FALSE	FALSE
7	140	386	13	FALSE	FALSE
8	132	726	97	FALSE	FALSE
9	111	1580	909	FALSE	FALSE
10	111	146	44	FALSE	FALSE
11	110	1081	380	FALSE	FALSE
12	110	289	8	FALSE	FALSE
13	99	97	0	FALSE	FALSE
14	97	152	29	FALSE	FALSE
15	48	746	278	FALSE	FALSE
