figure_path	dataset	processing_stage	analysis_method	parameters	input_object_checksum	generating_script	snakemake_rule	git_commit
reports/qc_comparison/strategy_cell_retention.pdf	all	QC_strategy_comparison	strategy_cell_retention	w=6.5;h=4.5	multiple	scripts/R/compare_qc_strategies.R	compare_qc_strategies	31cc849c7c8aaf27e8f2b594fb40d0c54989a579
reports/qc_comparison/strategy_cell_retention.png	all	QC_strategy_comparison	strategy_cell_retention	w=6.5;h=4.5	multiple	scripts/R/compare_qc_strategies.R	compare_qc_strategies	31cc849c7c8aaf27e8f2b594fb40d0c54989a579
reports/qc_comparison/strategy_mt_comparison.pdf	all	QC_strategy_comparison	strategy_mt_comparison	w=6.5;h=4.5	multiple	scripts/R/compare_qc_strategies.R	compare_qc_strategies	31cc849c7c8aaf27e8f2b594fb40d0c54989a579
reports/qc_comparison/strategy_mt_comparison.png	all	QC_strategy_comparison	strategy_mt_comparison	w=6.5;h=4.5	multiple	scripts/R/compare_qc_strategies.R	compare_qc_strategies	31cc849c7c8aaf27e8f2b594fb40d0c54989a579
reports/qc_comparison/strategy_ribo_comparison.pdf	all	QC_strategy_comparison	strategy_ribo_comparison	w=6.5;h=4.5	multiple	scripts/R/compare_qc_strategies.R	compare_qc_strategies	31cc849c7c8aaf27e8f2b594fb40d0c54989a579
reports/qc_comparison/strategy_ribo_comparison.png	all	QC_strategy_comparison	strategy_ribo_comparison	w=6.5;h=4.5	multiple	scripts/R/compare_qc_strategies.R	compare_qc_strategies	31cc849c7c8aaf27e8f2b594fb40d0c54989a579
reports/qc_comparison/strategy_distributions_composite.pdf	all	QC_strategy_comparison	strategy_distributions_composite	w=8.0;h=7.0	multiple	scripts/R/compare_qc_strategies.R	compare_qc_strategies	31cc849c7c8aaf27e8f2b594fb40d0c54989a579
reports/qc_comparison/strategy_distributions_composite.png	all	QC_strategy_comparison	strategy_distributions_composite	w=8.0;h=7.0	multiple	scripts/R/compare_qc_strategies.R	compare_qc_strategies	31cc849c7c8aaf27e8f2b594fb40d0c54989a579
