cluster	cell_count	marker_count	specific_marker_count	weak_support	small_cluster
global	7615	9296	1400	None	None
0	993	1785	16	FALSE	FALSE
1	857	1336	79	FALSE	FALSE
2	831	3349	150	FALSE	FALSE
3	714	3201	204	FALSE	FALSE
4	574	3139	153	FALSE	FALSE
5	471	2848	149	FALSE	FALSE
6	388	3568	331	FALSE	FALSE
7	382	524	2	FALSE	FALSE
8	368	1305	224	FALSE	FALSE
9	359	423	3	FALSE	FALSE
10	336	377	0	FALSE	FALSE
11	328	1426	96	FALSE	FALSE
12	287	453	2	FALSE	FALSE
13	284	593	84	FALSE	FALSE
14	277	1374	131	FALSE	FALSE
15	166	1465	141	FALSE	FALSE
