cluster	cell_count	marker_count	specific_marker_count	weak_support	small_cluster
global	7615	9112	1374	None	None
0	1213	3687	349	FALSE	FALSE
1	968	1781	20	FALSE	FALSE
2	857	1336	93	FALSE	FALSE
3	631	3525	453	FALSE	FALSE
4	546	3106	182	FALSE	FALSE
5	528	2874	155	FALSE	FALSE
6	448	432	3	FALSE	FALSE
7	378	515	4	FALSE	FALSE
8	368	1305	245	FALSE	FALSE
9	336	377	1	FALSE	FALSE
10	328	1426	99	FALSE	FALSE
11	287	453	2	FALSE	FALSE
12	284	593	83	FALSE	FALSE
13	277	1374	136	FALSE	FALSE
14	166	1465	154	FALSE	FALSE
