gene	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
OGN	0	1.44330915345115e-179	0.939806728711165	0.987	0.725	2.8897935870399e-175
DCN	0	8.31374647320014e-166	0.888893609056916	0.993	0.738	1.66457831886413e-161
MGP	0	3.52992945623318e-152	0.99308129355109	0.983	0.792	7.06762475727007e-148
COL1A2	0	5.15302529070621e-147	0.754636339803897	1	0.831	1.0317387237052e-142
RPL10	0	2.04569724820928e-143	0.529510097700049	1	1	4.09589503036462e-139
DLK1	0	8.4443234367203e-143	0.85952266824557	0.978	0.76	1.69072243850014e-138
LUM	0	8.80681672457188e-128	1.01888652557505	0.894	0.669	1.76330084459378e-123
COL3A1	0	2.24650540405409e-126	0.761354386043032	0.997	0.797	4.4979531199971e-122
MFAP4	0	4.65110017183133e-126	1.05106849817085	0.748	0.4	9.31243276404069e-122
CD81	0	2.0163330428932e-125	0.57899286638271	1	0.957	4.03710201848076e-121
COL5A2	0	3.22474007878327e-125	0.74977488614435	0.967	0.682	6.45657458573986e-121
KRT10	0	9.11275651913926e-120	0.728078443454166	0.953	0.738	1.82455611026206e-115
ITM2A	0	4.29284092225523e-119	0.879472163112039	0.935	0.688	8.59512609453943e-115
COL1A1	0	3.55489734174379e-115	0.640860681899097	1	0.84	7.11761545763941e-111
PPIB	0	6.58028046791504e-114	0.641702114922424	0.993	0.918	1.31750375528595e-109
PTN	0	6.85530315924224e-114	0.794442723891233	0.95	0.712	1.37256879854348e-109
MXRA8	0	1.15221661166235e-113	0.90492284299059	0.847	0.537	2.30696809987036e-109
CHCHD2	0	2.10507616969878e-112	0.567334410351544	0.987	0.932	4.2147835069709e-108
PCOLCE	0	2.26624471494768e-111	0.655173096331488	0.987	0.731	4.53747516826824e-107
RPL5	0	1.45134892674639e-109	0.494740159344718	1	0.995	2.90589082113161e-105
NGFRAP1	0	6.91392997712308e-107	0.712370724357796	0.931	0.693	1.38430706001958e-102
MAGED2	0	1.32367900087247e-103	0.800241128669394	0.867	0.603	2.65027009554685e-99
NPM1	0	4.80695590625316e-103	0.554016144388228	0.99	0.97	9.62448711550007e-99
SSPN	0	1.61258322050988e-102	1.06582344177991	0.628	0.315	3.22871412410487e-98
CRABP2	0	4.00526814102279e-102	1.03503521384086	0.668	0.352	8.01934787195583e-98
LAPTM4A	0	8.93236235612919e-102	0.649243896119065	0.954	0.826	1.78843759094419e-97
CPE	0	1.77561633376344e-101	0.778634542521496	0.878	0.583	3.55513902346116e-97
CALD1	0	1.12106194309878e-99	0.603958951919456	0.985	0.792	2.24459022247238e-95
POSTN	0	2.91876616256973e-98	0.690998020412154	0.928	0.689	5.84395361069711e-94
COPZ2	0	1.05761599277516e-97	1.01849491393545	0.644	0.344	2.11755874073443e-93
NDN	0	1.07483271193847e-97	1.01385596172871	0.636	0.332	2.1520300558432e-93
RPLP1	0	2.21345346774458e-97	0.364920239337648	1	1	4.4317765331182e-93
TIMP1	0	1.1950106207973e-96	0.617940040321418	0.991	0.914	2.39265026496036e-92
CNN3	0	2.67429273145437e-96	0.737190993846774	0.89	0.652	5.35446890691794e-92
PRRX1	0	2.47378372682099e-93	0.941618756334058	0.717	0.419	4.953009777841e-89
GLT8D2	0	3.59766465274784e-93	1.0754027058532	0.555	0.267	7.20324416773172e-89
MORF4L1	0	3.6809656162537e-93	0.558555575737206	0.985	0.89	7.37002935686316e-89
RPL19	0	6.85721473537449e-93	0.372624768801471	1	1	1.37295153431668e-88
CDC42EP5	0	3.56354806441916e-92	0.771510009844109	0.814	0.521	7.13493593458005e-88
NPW	0	5.41778355978888e-92	0.76427367960847	0.894	0.639	1.08474862434093e-87
H3F3B	0	4.46803656854389e-90	0.373941064205653	1	0.998	8.94590281753858e-86
SPARC	0	1.51966217472713e-87	0.531623613913347	0.997	0.798	3.04266760623866e-83
RPS2	0	2.655414365877e-87	0.361770447747579	1	0.999	5.31667064335892e-83
FXYD1	0	4.18788809477849e-87	0.887687276640427	0.667	0.367	8.3849895433655e-83
RPL4	0	7.79683003668886e-87	0.487852816442431	0.99	0.951	1.56108130994584e-82
COL6A1	0	1.00987670899608e-86	0.545436021656438	0.991	0.767	2.02197514675195e-82
CD63	0	1.74427194277588e-86	0.436073863518482	0.997	0.979	3.49238128382587e-82
ISLR	0	1.23409003224957e-85	0.576436177274043	0.965	0.708	2.47089506257009e-81
COL6A2	0	9.25054753183684e-85	0.52877603774324	0.999	0.811	1.85214462682437e-80
RPL10A	0	1.51751413520564e-82	0.457890737151292	0.994	0.981	3.03836680150873e-78
RPS4X	0	2.60905079631515e-82	0.405283814007917	1	0.998	5.22384150438219e-78
PSMB5	0	1.09439279967331e-79	0.871124355697289	0.682	0.41	2.19119326350591e-75
OLFML3	0	5.42430696199747e-79	0.838306618476502	0.65	0.365	1.08605473993113e-74
FIBIN	0	1.24046449226331e-78	0.999801388888807	0.62	0.346	2.4836580064096e-74
CFH	0	4.28688273522232e-78	0.63844655157115	0.866	0.598	8.58319661246213e-74
SUMO2	0	7.30035755286629e-78	0.484528422078034	0.974	0.921	1.46167758923489e-73
ITM2C	0	1.55289243231453e-77	0.654472333118267	0.887	0.647	3.10920122798015e-73
NDUFA4	0	1.89861518262143e-77	0.506632380892757	0.957	0.893	3.80140731864462e-73
RPS4Y1	0	2.97970033055695e-77	0.533979023625123	0.962	0.91	5.96595600184113e-73
CYGB	0	5.86517515637543e-77	0.813672899469726	0.695	0.41	1.17432536980949e-72
TTC3	0	1.14316591335315e-76	0.542668627319481	0.952	0.766	2.28884679171568e-72
ASPN	0	7.98951038943519e-76	0.991316370558154	0.527	0.269	1.59965977017271e-71
MEOX2	0	9.32307896403585e-75	0.950680680116145	0.623	0.357	1.86666687017926e-70
EPHX1	0	4.38305120144423e-74	1.03909301350374	0.543	0.293	8.77574511553163e-70
ABI3BP	0	6.28880141603862e-74	0.975818826926678	0.583	0.322	1.25914381951925e-69
CYTL1	0	1.15090678546189e-73	1.09882599840027	0.609	0.353	2.30434556585179e-69
BOC	0	2.55754028748977e-73	0.710249805095089	0.739	0.451	5.12070716361201e-69
C1S	0	2.81457323346934e-73	0.649445840401994	0.772	0.487	5.63533852805231e-69
RPS12	0	4.40226608204736e-72	0.341567379977475	1	1	8.81421714947522e-68
CDH11	0	4.4121712848269e-72	0.788975375819439	0.637	0.357	8.83404934648042e-68
MEST	0	9.13315691861664e-72	0.658395548468778	0.783	0.508	1.82864067824542e-67
CCND2	0	6.13429070279311e-71	0.588918441128913	0.868	0.638	1.22820768451324e-66
LMAN1	0	7.58146463313608e-70	0.703253627089051	0.778	0.537	1.51796084884651e-65
SLC25A6	0	7.75329569815292e-70	0.502230505098061	0.967	0.887	1.55236486468418e-65
ATP5G1	0	1.33690002545059e-69	0.64017548846825	0.842	0.614	2.67674123095717e-65
SERPINF1	0	2.20823353344271e-69	0.718962227281235	0.74	0.481	4.421325180659e-65
FKBP10	0	3.65625194334246e-69	0.563791184034923	0.876	0.61	7.32054764096027e-65
ATP6V1G1	0	3.82884186821575e-69	0.567529446243962	0.895	0.744	7.66610718854157e-65
CPXM1	0	1.07703942378075e-68	0.737638746408783	0.673	0.399	2.15644833429381e-64
SFRP2	0	1.1018917780982e-68	1.04073427073248	0.479	0.24	2.20620771810822e-64
COL6A3	0	1.1792779957351e-68	0.521381063143475	0.908	0.635	2.36115040306082e-64
RPS8	0	1.25063745916526e-68	0.338873303792963	1	1	2.50402632074068e-64
FGFR1	0	1.42384125283266e-68	0.534622430407582	0.89	0.646	2.85081495642155e-64
MMP2	0	2.19227014334526e-68	0.586691428102092	0.851	0.597	4.38936328100587e-64
SOD3	0	2.75970135061859e-68	0.947714948868257	0.541	0.297	5.52547404420853e-64
