dataset_id	cells	pcs_used	algorithm	resolution	n_clusters	min_cluster_size	median_cluster_size	max_cluster_size	stability_metric	technical_concern	recommendation_category
MPNST_1	7615	8	Louvain	0.6	18	166	385.5	993	0.918839538777083	None	Primary_Recommended
MPNST_1	7615	8	Louvain	0.4	16	166	375	993	0.87923343302884	None	Conservative_Alternative
MPNST_1	7615	8	Louvain	0.8	21	71	335	686	0.862645506926764	None	High_Granularity_Alternative
MPNST_2	2284	6	Louvain	0.3	9	48	176	741	0.933293867529187	None	Primary_Recommended
MPNST_2	2284	6	Louvain	0.1	6	48	341.5	739	0.950058397191471	None	Conservative_Alternative
MPNST_2	2284	6	Louvain	0.5	10	48	213.5	473	0.851148859518488	None	High_Granularity_Alternative
MPNST_3	2940	9	Louvain	0.6	13	51	177	510	0.910106870841113	None	Primary_Recommended
MPNST_3	2940	9	Louvain	0.4	12	51	200	525	0.853708660143878	None	Conservative_Alternative
MPNST_3	2940	9	Louvain	0.8	14	52	184	449	0.8422727673096	None	High_Granularity_Alternative
MPNST_4	6877	5	Louvain	0.7	14	151	402.5	1005	0.739861943870432	MT_Bias	Primary_Recommended
MPNST_4	6877	5	Louvain	0.5	12	151	498	1439	0.639411556181511	None	Conservative_Alternative
MPNST_4	6877	5	Louvain	0.9	18	115	360	900	0.65313051148988	None	High_Granularity_Alternative
