cluster	cell_count	marker_count	specific_marker_count	weak_support	small_cluster
global	6877	4913	888	None	None
0	1195	1584	211	FALSE	FALSE
1	785	1102	262	FALSE	FALSE
2	779	1015	63	FALSE	FALSE
3	777	364	8	FALSE	FALSE
4	687	761	50	FALSE	FALSE
5	594	66	3	FALSE	FALSE
6	534	1166	88	FALSE	FALSE
7	412	383	87	FALSE	FALSE
8	342	714	59	FALSE	FALSE
9	327	1226	531	FALSE	FALSE
10	298	1541	741	FALSE	FALSE
11	147	243	62	FALSE	FALSE
