gene	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
NENF	8	5.64092437509901e-15	1.0301951047348	0.677	0.394	1.02078167491792e-10
NFIC	8	5.99113018574561e-15	1.52143738112703	0.377	0.152	1.08415491841253e-10
EIF6	8	6.48991987353599e-15	1.29864010640196	0.485	0.23	1.17441590031507e-10
TSC22D1	8	6.69510441755429e-15	1.26157277980157	0.425	0.182	1.21154609540062e-10
ECI2	8	7.93732629246466e-15	1.98077126613011	0.251	0.079	1.4363385658844e-10
C1orf122	8	8.17257993033984e-15	1.22636420542764	0.545	0.296	1.4789100641943e-10
CCDC71L	8	8.29048363727642e-15	1.35691975201536	0.299	0.101	1.50024591900154e-10
OST4	8	9.66545510036684e-15	0.630034289903489	0.964	0.915	1.74906075496238e-10
RCN2	8	1.01103697586576e-14	0.971550306398817	0.545	0.255	1.82957251152667e-10
KTN1	8	1.06947293767225e-14	1.16505163265541	0.623	0.357	1.9353182280117e-10
VEGFB	8	1.10096608092109e-14	1.48169254182988	0.533	0.284	1.9923082200348e-10
TNFRSF1A	8	1.28725423467231e-14	0.957265755507023	0.545	0.255	2.32941526306302e-10
CDK4	8	1.31102363706292e-14	1.51471356864816	0.383	0.158	2.37242837362906e-10
CAPNS1	8	1.436044725342e-14	1.24469071920659	0.533	0.261	2.59866653497888e-10
METAP2	8	1.5326041701633e-14	1.32404359576867	0.407	0.171	2.77340050632751e-10
MRPL27	8	1.67613484102878e-14	1.53465429830204	0.329	0.122	3.03313360832569e-10
AP3S1	8	1.76970912105461e-14	1.35224098987704	0.497	0.241	3.20246562546042e-10
C12orf23	8	1.87217531774352e-14	1.28012001843116	0.395	0.162	3.38788845498868e-10
USMG5	8	2.32363571157507e-14	0.713247451218362	0.934	0.735	4.20485118366624e-10
LPP	8	2.36536514221321e-14	1.46688462420535	0.413	0.177	4.28036476134903e-10
DDT	8	2.68525350002725e-14	1.02910413462621	0.665	0.402	4.85923473364931e-10
TMSB10	8	3.10371538518579e-14	0.652020734274905	1	0.995	5.6164833610322e-10
CFL2	8	3.21003117208533e-14	1.32879230318463	0.353	0.137	5.80887240900561e-10
TIMM13	8	3.57972733574576e-14	1.26488899277758	0.515	0.26	6.47787458676553e-10
CTNNAL1	8	4.21992339719533e-14	1.58302383242919	0.257	0.082	7.63637337956467e-10
PALLD	8	5.24850357178319e-14	2.11725320617581	0.263	0.089	9.49769206349885e-10
