gene	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	specificity
PTHLH	0	0	4.05294746617895	0.659	0.08	0	0.579
TGFA	0	0	3.56240049443531	0.652	0.107	0	0.545
ESPN	0	0	3.51559677896218	0.444	0.051	0	0.393
VEGFA	0	0	3.00526256942032	0.97	0.628	0	0.342
AP000462.2	0	0	2.99189473547663	0.65	0.126	0	0.524
MAL	0	0	2.84842403728263	0.612	0.112	0	0.5
CXXC5	0	0	2.4952934173801	0.922	0.447	0	0.475
GSN	0	0	2.45694661354325	0.995	0.861	0	0.134
CADM1	0	0	2.06414503058337	1	0.667	0	0.333
LGALS3	0	0	2.05547221336818	0.99	0.799	0	0.191
S100A10	0	0	1.95128807538566	0.999	0.816	0	0.183
CRYAB	0	0	1.82489754152789	0.934	0.455	0	0.479
VIM	0	0	1.5494683903227	1	0.995	0	0.005
L1CAM	0	1.23260640327396e-305	2.43283482403477	0.651	0.142	3.40778692313152e-301	0.509
NDRG1	0	7.83746576742758e-296	2.36006675379641	0.922	0.606	2.1668241607207e-291	0.316
BTG1	0	8.28728365565903e-296	1.68345623724284	0.997	0.784	2.29118531228005e-291	0.213
NXPH4	0	1.41244392974955e-292	3.86629045807615	0.394	0.044	3.90498373257858e-288	0.35
GAPDH	0	2.7707110164113e-288	1.55889146084593	1	0.978	7.66018474707233e-284	0.022
SERPINE2	0	5.08470871924779e-285	1.16509839225404	0.991	0.603	1.40576941961044e-280	0.388
CDH19	0	4.73032282860842e-259	1.37181933113835	0.995	0.519	1.30779235242537e-254	0.476
NDST4	1	0	4.23071408289912	0.581	0.048	0	0.533
NRK	1	0	3.71775353187618	0.582	0.068	0	0.514
COL25A1	1	0	3.65155253507161	0.712	0.096	0	0.616
KCNIP1	1	0	3.59119205085128	0.678	0.094	0	0.584
AC007796.1	1	0	3.58914810049628	0.541	0.063	0	0.478
TENM2	1	0	3.56556391694429	0.95	0.324	0	0.626
DPF3	1	0	3.55724291998439	0.514	0.06	0	0.454
ZNF423	1	0	3.5170560791782	0.833	0.116	0	0.717
SULT1E1	1	0	3.47471410003098	0.668	0.075	0	0.593
COL4A5	1	0	3.45835733048404	0.771	0.11	0	0.661
EPHB1	1	0	3.4577241969362	0.674	0.105	0	0.569
RP11-125B21.2	1	0	3.44258587421903	0.614	0.077	0	0.537
COL26A1	1	0	3.37665194400299	0.518	0.056	0	0.462
TSHZ2	1	0	3.34747809117375	1	0.514	0	0.486
SHROOM3	1	0	3.24607593351069	0.778	0.145	0	0.633
ROBO2	1	0	3.2239696075059	0.954	0.404	0	0.55
AFF3	1	0	3.20396737879255	0.969	0.436	0	0.533
GLI2	1	0	3.19544569130996	0.804	0.146	0	0.658
COL13A1	1	0	3.17907137667441	0.648	0.114	0	0.534
MEOX2	1	0	3.06219351534798	0.863	0.188	0	0.675
CLDN10-AS1	2	0	5.3137453483138	0.306	0.011	0	0.295
ACPP	2	0	4.75567866218193	0.758	0.053	0	0.705
GRIA2	2	0	4.68579847566212	0.685	0.043	0	0.642
GAL3ST1	2	0	4.610498705629	0.692	0.052	0	0.64
STON2	2	0	4.54414304316298	0.771	0.056	0	0.715
KLK6	2	0	4.49962160072539	0.407	0.021	0	0.386
ANO3	2	0	4.44006815853111	0.408	0.022	0	0.386
DGUOK-AS1	2	0	4.1289361097855	0.549	0.039	0	0.51
SHH	2	0	4.06083980212275	0.74	0.089	0	0.651
LPL	2	0	4.04712021963356	0.985	0.229	0	0.756
SERPINE2	2	0	3.92978927376675	1	0.626	0	0.374
FSTL5	2	0	3.92090456005596	0.826	0.095	0	0.731
CAPS	2	0	3.63994443371335	0.998	0.394	0	0.604
BMP8B	2	0	3.61815789700805	0.683	0.071	0	0.612
TMEM132B	2	0	3.56410572675382	0.793	0.095	0	0.698
PLLP	2	0	3.49708722143351	0.584	0.06	0	0.524
FREM1	2	0	3.45556505221051	0.864	0.198	0	0.666
GAP43	2	0	3.38632858940688	0.995	0.264	0	0.731
PLEKHB1	2	0	3.37039585641418	0.782	0.102	0	0.68
KLHDC8A	2	0	3.35320265952985	0.817	0.116	0	0.701
RP11-733O18.1	3	0	6.67876640186513	0.314	0.005	0	0.309
CCL3L3	3	0	6.62936365660382	0.842	0.022	0	0.82
CCL4L1	3	0	6.03797746915992	0.785	0.022	0	0.763
RP11-1080G15.1	3	0	6.02915796087618	0.439	0.013	0	0.426
IL1A	3	0	6.01663604062151	0.352	0.008	0	0.344
FCGR1B	3	0	5.97200446014148	0.391	0.008	0	0.383
FCGR1C	3	0	5.96172268336689	0.312	0.006	0	0.306
CH25H	3	0	5.82602423147158	0.591	0.03	0	0.561
CCL3	3	0	5.76616487641859	0.991	0.288	0	0.703
KB-1507C5.4	3	0	5.63526036812468	0.532	0.023	0	0.509
CALCR	3	0	5.61919572667499	0.354	0.01	0	0.344
PLAU	3	0	5.52745707859016	0.618	0.043	0	0.575
RNASE2	3	0	5.51661110237837	0.483	0.012	0	0.471
IL1B	3	0	5.46788408882644	0.785	0.049	0	0.736
CCL4	3	0	5.44969839092387	0.956	0.252	0	0.704
SLC37A2	3	0	5.44740382702413	0.411	0.016	0	0.395
EBI3	3	0	5.36387446625023	0.352	0.01	0	0.342
KMO	3	0	5.22752434415635	0.406	0.017	0	0.389
TNF	3	0	5.16139631779823	0.793	0.045	0	0.748
CX3CR1	3	0	5.10964249464074	0.536	0.021	0	0.515
GJB6	4	0	5.94516280805581	0.396	0.009	0	0.387
GFRA3	4	0	5.76676639508755	0.503	0.016	0	0.487
PCSK2	4	0	5.46473785763789	0.325	0.012	0	0.313
XKR4	4	0	4.59816951379388	0.868	0.088	0	0.78
NOV	4	0	4.41629750258014	0.744	0.12	0	0.624
RP11-176N18.2	4	0	4.32913087030001	0.444	0.026	0	0.418
GJB2	4	0	4.24755438944948	0.607	0.066	0	0.541
ABCB5	4	0	4.06614510943264	0.602	0.053	0	0.549
RSPO3	4	0	4.04079532371922	0.609	0.053	0	0.556
TMEM59L	4	0	4.01411978386528	0.771	0.107	0	0.664
NGFR	4	0	3.89410548682765	0.899	0.123	0	0.776
SEMA3B	4	0	3.81938516079285	0.941	0.199	0	0.742
DIRAS3	4	0	3.79741338735926	0.819	0.132	0	0.687
CADM2	4	0	3.61153959958476	0.684	0.099	0	0.585
KCNS3	4	0	3.57227710768123	0.629	0.071	0	0.558
INSC	4	0	3.49473157201233	0.611	0.056	0	0.555
MMP17	4	0	3.29277082465736	0.68	0.097	0	0.583
LGI1	4	0	3.28106552573947	0.639	0.076	0	0.563
TSPAN11	4	0	3.19005253698274	0.919	0.192	0	0.727
FOXD3	4	0	3.11394266233996	0.886	0.153	0	0.733
RP4-678D15.1	5	0	3.36335693844407	0.809	0.107	0	0.702
CYTL1	5	0	3.30415342629531	0.944	0.171	0	0.773
SULT1E1	5	0	3.29957834627689	0.721	0.094	0	0.627
LRRC17	5	0	3.29060162717837	0.928	0.159	0	0.769
MDFI	5	0	3.25204342245295	0.916	0.132	0	0.784
MFAP2	5	0	3.18166224023198	0.928	0.143	0	0.785
TMEM98	5	1.33540162583006e-282	2.80508336946287	0.884	0.198	3.69198487493235e-278	0.686
MEST	5	2.08431862576954e-279	3.05766348097135	0.998	0.379	5.76251570466504e-275	0.619
FBLN1	5	7.79417191018324e-278	2.77671465919042	0.991	0.326	2.15485470800836e-273	0.665
RBP1	5	1.80937792168385e-277	2.71954586385622	0.94	0.242	5.00238714007934e-273	0.698
NPW	5	5.27784164983143e-274	2.97038589354549	0.863	0.186	1.45916488092889e-269	0.677
MFAP4	5	1.6951128248153e-272	2.59422943568613	0.833	0.156	4.68647842676685e-268	0.677
PKDCC	5	2.89798673507802e-270	3.05778498767169	0.716	0.115	8.01206392647021e-266	0.601
EDN3	5	7.09297362345687e-257	3.31130616090515	0.612	0.082	1.96099441767712e-252	0.53
CTHRC1	5	1.15381958952409e-254	2.80249803833095	0.995	0.412	3.18996501915725e-250	0.583
LAMP5	5	2.68274741122357e-254	3.7591874483053	0.547	0.066	7.41699176780981e-250	0.481
FMOD	5	1.04321457017651e-252	2.60638199160038	0.765	0.137	2.88417532216701e-248	0.628
CRABP2	5	1.98388924581658e-250	2.36351912328028	0.814	0.155	5.48485859790909e-246	0.659
FKBP7	5	1.40487990809436e-246	2.71850221960012	0.816	0.181	3.88407148190847e-242	0.635
LUM	5	7.71987467898155e-244	1.85318853453133	0.988	0.351	2.13431375249803e-239	0.637
BARX1	6	0	4.13310106952794	0.665	0.054	0	0.611
