cluster	cell_count	marker_count	specific_marker_count	weak_support	small_cluster
global	7615	9474	1447.5	None	None
0	985	1765	11	FALSE	FALSE
1	699	3157	146	FALSE	FALSE
2	546	3106	137	FALSE	FALSE
3	545	1615	97	FALSE	FALSE
4	507	2926	141	FALSE	FALSE
5	430	2848	54	FALSE	FALSE
6	409	3314	125	FALSE	FALSE
7	395	3614	205	FALSE	FALSE
8	382	524	2	FALSE	FALSE
9	368	1305	216	FALSE	FALSE
10	359	423	3	FALSE	FALSE
11	335	376	0	FALSE	FALSE
12	328	1426	91	FALSE	FALSE
13	311	658	4	FALSE	FALSE
14	287	453	0	FALSE	FALSE
15	284	593	77	FALSE	FALSE
16	277	1374	125	FALSE	FALSE
17	168	1469	112	FALSE	FALSE
