PC	Variance_Explained	Cumulative_Variance
1	10.0646234825548	10.0646234825548
2	7.97709750390923	18.041720986464
3	4.33227892769296	22.373999914157
4	4.15872005485992	26.5327199690169
5	3.1189078439229	29.6516278129398
6	2.35600839429532	32.0076362072351
7	1.58426534969387	33.591901556929
8	1.47647714048129	35.0683786974103
9	0.909607797079349	35.9779864944896
10	0.74187705613342	36.7198635506231
11	0.668260950057828	37.3881245006809
12	0.584432379513783	37.9725568801947
13	0.52282413499445	38.4953810151891
14	0.457576029823139	38.9529570450123
15	0.414468468973719	39.367425513986
16	0.375935679103105	39.7433611930891
17	0.354904887868153	40.0982660809572
18	0.336704228619953	40.4349703095772
19	0.33030061592249	40.7652709254997
20	0.302945859700182	41.0682167851999
21	0.27914939328452	41.3473661784844
22	0.263230539398775	41.6105967178832
23	0.261562893250046	41.8721596111332
24	0.237228836610197	42.1093884477434
25	0.235380592752889	42.3447690404963
26	0.217023743433686	42.56179278393
27	0.207288313657097	42.7690810975871
28	0.196537135948885	42.965618233536
29	0.191045133701186	43.1566633672371
30	0.187099078116364	43.3437624453535
31	0.185191701321192	43.5289541466747
32	0.178487915351187	43.7074420620259
33	0.170608849793885	43.8780509118198
34	0.161255737178979	44.0393066489987
35	0.15818084172588	44.1974874907246
36	0.156637242706889	44.3541247334315
37	0.150803783398693	44.5049285168302
38	0.148092819013686	44.6530213358439
39	0.144255841797579	44.7972771776415
40	0.140784608773766	44.9380617864152
41	0.134067661946072	45.0721294483613
42	0.132459851940788	45.2045893003021
43	0.130469061386905	45.335058361689
44	0.127803303291605	45.4628616649806
45	0.126086756709008	45.5889484216896
46	0.125006589300655	45.7139550109903
47	0.121750910083903	45.8357059210742
48	0.119365370451573	45.9550712915257
49	0.118617355560191	46.0736886470859
50	0.117853868898664	46.1915425159846
