PC	Rank	Pos_Gene	Pos_Loading	Neg_Gene	Neg_Loading
PC_1	1	C1QA	0.138345383078913	IGFBP7	-0.0841533540195489
PC_1	2	C1QC	0.134109594268122	SPARC	-0.07935646629634
PC_1	3	TYROBP	0.13340708438492	S100A6	-0.0672045211670345
PC_1	4	C1QB	0.13172392661445	VIM	-0.0644561975292589
PC_1	5	FTL	0.131646086741687	MGP	-0.0620807270780188
PC_1	6	CD14	0.124771988966885	CTGF	-0.0608280292636317
PC_1	7	HLA-DRA	0.11886990599922	FN1	-0.0605243632898408
PC_1	8	HLA-DRB1	0.113392992840389	MT2A	-0.0545870742511993
PC_1	9	AIF1	0.103161386487162	SPARCL1	-0.054493156703917
PC_1	10	CD74	0.0998252154159632	COL6A2	-0.0538144219306594
PC_2	1	MZB1	0.163039825106085	IFI27	-0.0865292092912104
PC_2	2	SSR4	0.161626998584841	IGFBP7	-0.0795646610461046
PC_2	3	IGJ	0.160752393391626	SPARC	-0.0782067099192485
PC_2	4	XBP1	0.154954845053512	S100A6	-0.074391607385698
PC_2	5	RP11-731F5.2	0.144534466790019	MT2A	-0.0738719649006599
PC_2	6	HERPUD1	0.113838149935557	VIM	-0.0730180702085751
PC_2	7	FKBP11	0.0963594194883847	HLA-DRB1	-0.0720269825801261
PC_2	8	DERL3	0.0827203845189298	C1QA	-0.0705851620637964
PC_2	9	JSRP1	0.0789507456584429	C1QC	-0.069270589772061
PC_2	10	PIM2	0.0750993919913597	C1QB	-0.0674847543833157
PC_3	1	CCL5	0.14574453108238	MZB1	-0.116346917536793
PC_3	2	CD2	0.133990788478145	SSR4	-0.116185384927757
PC_3	3	GZMA	0.133813499702762	IGJ	-0.114889201206785
PC_3	4	CD3D	0.127446467872885	XBP1	-0.111328915610689
PC_3	5	KLRB1	0.115084686022163	RP11-731F5.2	-0.103607730793288
PC_3	6	IL7R	0.11387912272291	FTL	-0.087279048533948
PC_3	7	CD69	0.112453344705912	HERPUD1	-0.0835540330553882
PC_3	8	S100A4	0.112276433248299	RNASE1	-0.0823275942064951
PC_3	9	CD52	0.11018365306221	C1QA	-0.0756373216374191
PC_3	10	IL32	0.0981881731655776	C1QB	-0.0737394794308276
PC_4	1	S100B	0.0954229765481272	SPARCL1	-0.103557044210167
PC_4	2	THBS2	0.0919742662982437	VWF	-0.0996351550953507
PC_4	3	SERPINE2	0.0919268766224807	TM4SF1	-0.0901951991143281
PC_4	4	GPM6B	0.0881806127941413	RAMP2	-0.0863757456057499
PC_4	5	CRYAB	0.0879061463984407	IGFBP7	-0.0852456555895393
PC_4	6	ITGB8	0.0872228637525531	CLDN5	-0.0781133855211747
PC_4	7	CDH19	0.0870891014898006	EGFL7	-0.0773446982459378
PC_4	8	MIA	0.0834448990290827	SOX18	-0.0764757476555324
PC_4	9	ALDH1A3	0.0812216060848177	CDH5	-0.0748022380809237
PC_4	10	PTN	0.0778459152412252	ECSCR	-0.0745961934311563
PC_5	1	TAGLN	0.13090924892766	VWA1	-0.0890309424105368
PC_5	2	TPM2	0.126319869046711	S100B	-0.0838053195311515
PC_5	3	COL1A1	0.117422894449388	VWF	-0.0781545197903654
PC_5	4	COL3A1	0.114497721441865	HSPG2	-0.0770787928090446
PC_5	5	TPM1	0.100966478417111	ITGB8	-0.0765237058189493
PC_5	6	COL1A2	0.0999188734089146	GPM6B	-0.072861804230836
PC_5	7	DCN	0.0872112764179762	GNG11	-0.0699129029942529
PC_5	8	MGP	0.087024314017544	ELTD1	-0.0684740572862064
PC_5	9	LUM	0.0849636630679276	PTN	-0.0681977528031962
PC_5	10	CALD1	0.0832716757667258	ALDH1A3	-0.068107543818521
PC_6	1	RNASE1	0.165058539303896	LYZ	-0.200307676632383
PC_6	2	SEPP1	0.147627741753818	BCL2A1	-0.133602459550515
PC_6	3	PLTP	0.145097042006533	HLA-DPA1	-0.128978656546122
