resolution	score	n_clusters	min_size	median_size	stability_score	prop_robust	weak_clusters	small_clusters	covariate_concern
0.6	0.9101	13	51	177.0	0.9101	1.0000	0	0	None
0.3	0.9032	10	107	221.0	0.9032	1.0000	0	0	None
0.5	0.8945	12	51	200.5	0.8945	1.0000	0	0	None
0.1	0.8742	6	149	462.0	0.9742	1.0000	0	0	None
0.7	0.8590	14	52	184.0	0.8590	1.0000	0	0	None
0.4	0.8537	12	51	200.0	0.8537	1.0000	0	0	None
0.8	0.8423	14	52	184.0	0.8423	1.0000	0	0	None
0.2	0.8266	8	149	303.5	0.9266	1.0000	0	0	None
1.0	0.7858	16	52	165.5	0.8858	1.0000	0	0	None
0.9	0.7481	14	71	184.5	0.8481	1.0000	0	0	None
