Transition	ARI	NMI
0.1->0.2	0.756300635128507	0.892616230905758
0.2->0.3	0.910676152760511	0.925458499391557
0.3->0.4	0.863441981169309	0.92603233709627
0.4->0.5	0.999190424370305	0.998994822073189
0.5->0.6	0.907859129966595	0.94491203380662
0.6->0.7	0.887163394236446	0.954864599012649
0.7->0.8	1	1
0.8->0.9	0.972311818308883	0.978369811345774
0.9->1	0.942537728174827	0.961798548903023
