Resolution	Clusters	Min_Cluster_Size	Median_Cluster_Size	Max_Cluster_Size	Singletons	Prop_Small_Cells	Mean_Stability_ARI	R2_nCount_RNA	R2_percent_mt	R2_percent_ribo
0.1	6	149	462	925	0	0	0.974166991870847	0.313728449504888	0.0620269435852343	0.560536297005904
0.2	8	149	303.5	685	0	0	0.926634867943323	0.316890256469624	0.0860147703193432	0.609435226811101
0.3	10	107	221	629	0	0	0.903214004734644	0.375641657449544	0.123532782998403	0.647283091072754
0.4	12	51	200	525	0	0	0.853708660143878	0.397966667578534	0.14122243172641	0.648978268479613
0.5	12	51	200.5	524	0	0	0.894487957321385	0.397962580650661	0.141236974820934	0.649001529609275
0.6	13	51	177	510	0	0	0.910106870841113	0.400006139667634	0.163612370910847	0.65414093027251
0.7	14	52	184	449	0	0	0.859030216690662	0.401720447238522	0.169508574302558	0.658103362827746
0.8	14	52	184	449	0	0	0.8422727673096	0.401720447238522	0.169508574302558	0.658103362827746
0.9	14	71	184.5	449	0	0	0.848059731822782	0.402897319887418	0.169840695045709	0.663797737023495
1	16	52	165.5	422	0	0	0.885807639438339	0.402759460706313	0.218664806821394	0.663876789118863
