gene	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
DLK1	0	0	1.22555824964793	0.988	0.729	0
OGN	0	7.75260914394814e-302	1.16206474079018	0.988	0.692	1.5522274028013e-297
COL1A2	0	5.37535999838676e-274	1.01664284820827	1	0.811	1.076254578877e-269
MGP	0	1.90428070252398e-262	1.24212761095037	0.984	0.768	3.81275082259351e-258
DCN	0	3.37790783790006e-261	1.05116361411091	0.992	0.708	6.76324707304349e-257
ITM2A	0	1.81484744081653e-260	1.29661537182683	0.949	0.651	3.63368754600285e-256
MFAP4	0	3.13498916266262e-244	1.45909792200061	0.769	0.348	6.27687530148309e-240
POSTN	0	1.72567252544901e-231	1.141610349777	0.946	0.652	3.45514153045401e-227
PPIB	0	2.14859300095596e-229	0.896124561882049	0.993	0.909	4.30191290651403e-225
PTN	0	3.11760628212603e-228	1.08407986570038	0.963	0.677	6.24207129807274e-224
COL1A1	0	1.20547596961298e-227	0.912754679282834	1	0.82	2.4136039863591e-223
COL5A2	0	1.26015920265715e-224	0.958518898303661	0.97	0.646	2.52309075556015e-220
PCOLCE	0	1.41614322225269e-212	0.889600990394948	0.991	0.698	2.83540195959433e-208
RPL10	0	2.14362913683523e-211	0.592277770244444	1	1	4.2919742577715e-207
MXRA8	0	1.0455980391773e-194	1.10770558183327	0.853	0.496	2.09349639404079e-190
NPW	0	2.33953562466032e-194	1.15320135500081	0.905	0.603	4.6842182276949e-190
NGFRAP1	0	4.56505928034104e-194	0.900647923116456	0.939	0.66	9.14016169109884e-190
SPARC	0	1.02916224956745e-191	0.824625514720882	0.997	0.774	2.06058865608395e-187
COL3A1	0	1.15524105769185e-190	0.881797654853385	0.998	0.773	2.31302364571063e-186
COPZ2	0	6.24613902506074e-187	1.36420446313098	0.664	0.298	1.25060195559766e-182
CD81	0	3.58862915386366e-179	0.625865605331414	1	0.951	7.18515329186582e-175
FGFR1	0	1.8915547750387e-177	0.866586937788721	0.919	0.604	3.78727097058249e-173
TIMP1	0	3.0578955921283e-176	0.752092615331523	0.992	0.904	6.12251855455928e-172
GAS2	0	3.26791677909883e-175	1.47488085670921	0.586	0.235	6.54302297511168e-171
CHCHD2	0	3.7351972552774e-174	0.65687447966326	0.986	0.926	7.4786119445164e-170
CHODL	0	2.57833261136568e-173	1.70659446883349	0.509	0.18	5.16233755447637e-169
CRABP2	0	8.50691906123808e-172	1.24828320124347	0.676	0.31	1.70325533444109e-167
FIBIN	0	1.61880760724136e-170	1.37875618792926	0.653	0.298	3.24117659121866e-166
KRT10	0	2.86521935735074e-168	0.799997084536616	0.944	0.715	5.73674219728766e-164
ITM2C	0	1.40200943945868e-167	0.922021306526041	0.899	0.613	2.80710329968418e-163
ABI3BP	0	3.2554629552893e-165	1.36806784786377	0.623	0.273	6.51808792908023e-161
CNN3	0	7.09112937507512e-165	0.915372417032476	0.898	0.619	1.41978592347754e-160
FAT1	0	2.66027023689028e-164	1.07905699809252	0.773	0.43	5.32639306830172e-160
THBS4	0	4.68755104872174e-163	1.19585968541985	0.889	0.634	9.38541470975067e-159
SFRP2	0	3.62483474108378e-157	1.54199922971405	0.516	0.195	7.25764411859795e-153
NDN	0	2.05231429239188e-156	1.22448954855531	0.637	0.295	4.10914367622703e-152
SCXA	0	1.3934012198169e-155	1.55937108003252	0.655	0.352	2.78986792231741e-151
FMOD	0	7.09742922266568e-155	1.12314524265919	0.761	0.418	1.42104727896212e-150
CPE	0	4.70419589381839e-153	0.873632087953483	0.877	0.547	9.41874101860318e-149
LAPTM4A	0	8.79867464468106e-153	0.725187781971287	0.954	0.81	1.76167063735804e-148
CFH	0	2.00522657348637e-152	0.896710900811518	0.876	0.561	4.0148646454344e-148
FXYD1	0	3.42625453783319e-152	1.1147945961201	0.679	0.325	6.86004683564961e-148
TNMD	0	1.65697206187857e-151	1.96500160517578	0.517	0.218	3.31758946229328e-147
HTRA1	0	2.47588082039157e-151	1.08856894669925	0.766	0.448	4.957208578588e-147
RPL5	0	1.23786339264421e-150	0.540265545859222	1	0.994	2.47845008475224e-146
CYTL1	0	3.06683214073294e-149	1.50374996504747	0.631	0.312	6.1404113121755e-145
GLT8D2	0	8.57646778998069e-149	1.31519513227711	0.558	0.23	1.71718038090993e-144
PRRX1	0	1.31828703120611e-148	1.11117122817991	0.717	0.382	2.63947429388088e-144
NPM1	0	3.40799490638588e-148	0.613900427680419	0.989	0.968	6.82348740156581e-144
CALD1	0	5.73207788348699e-148	0.639793733995218	0.988	0.767	1.14767663383176e-143
ASPN	0	2.79768853951341e-147	1.5371333218448	0.544	0.23	5.60153199381376e-143
MAGED2	0	6.39965988851503e-146	0.884339634407225	0.857	0.574	1.28133990287848e-141
FSTL5	0	5.2561282377825e-145	1.47066505072254	0.507	0.202	1.05238199576881e-140
SSPN	0	5.62079405703329e-145	1.18232386771026	0.618	0.281	1.12539538609921e-140
ISLR	0	2.58732869303156e-144	0.696727392737345	0.968	0.676	5.18034950918779e-140
MORF4L1	0	5.56258567913005e-143	0.622381134509921	0.98	0.88	1.11374090467542e-138
RPL19	0	8.27740493927291e-143	0.425810587354587	1	1	1.65730201694122e-138
LHFP	0	4.43742609977497e-142	1.19137070532963	0.639	0.31	8.88461453696945e-138
TTC3	0	2.62708682164077e-141	0.696244989205612	0.956	0.741	5.25995323428916e-137
COL6A1	0	1.74317743730871e-140	0.639761192680929	0.994	0.738	3.4901898649795e-136
OLFML3	0	2.46166729824108e-140	1.07312275675211	0.664	0.324	4.92875026453829e-136
CDC42EP5	0	2.87452068762686e-140	0.897607523940317	0.806	0.488	5.75536532076651e-136
H3F3B	0	9.70535800859349e-139	0.42903852438122	1	0.998	1.94320678048059e-134
COL6A2	0	2.05769165413317e-138	0.613684213320947	0.999	0.788	4.11991022990543e-134
FKBP10	0	2.70367120560261e-134	0.76599219200258	0.885	0.573	5.41329048785754e-130
RCN2	0	8.2395954965723e-134	0.903555208995134	0.79	0.492	1.64973181032371e-129
LUM	0	1.68250036360123e-133	0.984739091133236	0.874	0.65	3.36870222800238e-129
SERPINF1	0	3.36881545222699e-133	0.987539879011533	0.749	0.445	6.74504229844888e-129
MEOX2	0	7.18109875210099e-133	1.16266053093594	0.637	0.319	1.43779959214566e-128
MEST	0	1.10998274431985e-132	0.878591356244365	0.793	0.47	2.2224074506772e-128
BMP5	0	7.80773706161226e-132	1.21979059700553	0.551	0.243	1.56326511447601e-127
PPIC	0	2.96348993774949e-131	1.2236826387681	0.573	0.269	5.93349955336203e-127
CD63	0	1.39912986335143e-130	0.480459663447834	0.997	0.977	2.80133781240223e-126
CD99	0	2.32283661215918e-128	0.662413462322254	0.966	0.837	4.6507834648651e-124
MMP2	0	3.49689382255832e-128	0.767667023751245	0.862	0.561	7.00148081152627e-124
RPL4	0	2.24040875829691e-127	0.536467679839487	0.991	0.946	4.48574641586206e-123
NDUFA4	0	1.15773158846022e-126	0.596644792016729	0.96	0.884	2.31801018641504e-122
GNAI1	0	3.00873932949786e-126	1.20859765254618	0.579	0.274	6.02409788552061e-122
RPS4Y1	0	6.37726261868381e-126	0.632054713041127	0.965	0.903	1.27685552151287e-121
CCDC80	0	6.75598718760079e-126	0.988394872764027	0.693	0.375	1.35268375470143e-121
RPLP1	0	2.07517195457987e-125	0.381900572916734	1	1	4.15490928745982e-121
PEG10	0	4.03486254185464e-125	1.33030691850184	0.558	0.258	8.07860178130135e-121
KAZALD1	0	2.46337872394526e-124	1.29577991656285	0.488	0.202	4.9321768810832e-120
RPS4X	0	1.40745260959332e-122	0.466407973629447	1	0.998	2.81800161492774e-118
GPC3	0	3.6466300564444e-122	0.808172401336314	0.803	0.501	7.30128269901299e-118
RPS2	0	4.40695789936883e-122	0.3962178864779	1	0.999	8.82361110611627e-118
MRC2	0	1.69013476683549e-121	0.848301000936751	0.726	0.39	3.38398783015803e-117
IL11RA	0	8.89935597549171e-121	1.16276224958605	0.542	0.243	1.78182905341295e-116
PALLD	0	1.25853589922863e-119	0.981930949266094	0.664	0.358	2.51984057743556e-115
LMAN1	0	1.47113441402459e-119	0.867305071707344	0.78	0.507	2.94550532376003e-115
TSHZ2	0	1.6088785937717e-119	0.689547867709688	0.88	0.596	3.22129672044969e-115
COL12A1	0	1.7665775541883e-117	0.910607218776669	0.678	0.359	3.53704157899582e-113
CCND2	0	2.66808594186005e-117	0.692183284069482	0.874	0.607	5.3420416727922e-113
TSPAN3	0	2.56328933629243e-116	0.77493343536168	0.829	0.552	5.1322179091247e-112
SGCE	0	3.73032133468934e-116	1.09849257255931	0.559	0.264	7.468849376315e-112
SLC25A6	0	8.84269086014524e-116	0.61283674941058	0.963	0.878	1.77048356401828e-111
CDH11	0	3.52178865397496e-115	1.00956618534153	0.634	0.323	7.05132524298867e-111
RPL10A	0	3.76617582917947e-114	0.498226372024345	0.995	0.98	7.54063724518313e-110
AEBP1	0	4.28188241502071e-114	0.941971723206174	0.704	0.41	8.57318497135446e-110
TRIP6	0	7.00364732583019e-114	1.07964605009459	0.564	0.275	1.40227026757772e-109
ATP6V1G1	0	1.20543378144143e-113	0.672890113264478	0.894	0.726	2.41351951720203e-109
COL5A1	0	1.46052791716403e-113	0.753923482889908	0.804	0.493	2.92426899574582e-109
LOXL2	0	3.91689357155439e-113	1.13002650562396	0.584	0.292	7.8424043089662e-109
ATP5G1	0	1.41755672718418e-112	0.751864612635448	0.84	0.586	2.83823207916817e-108
PSMB5	0	1.92172458885063e-110	0.956236132522159	0.67	0.381	3.84767697179674e-106
SEC61G	0	6.33615849052995e-110	0.661072964521521	0.917	0.748	1.26862565297391e-105
ZFHX4	0	3.70185314719905e-109	0.835027161398943	0.702	0.393	7.41185037132194e-105
EMILIN1	0	1.04103785542728e-108	0.722617453176392	0.834	0.539	2.08436599413651e-104
CIRBP	0	2.90258484671546e-108	0.567127838952953	0.963	0.873	5.81155538009369e-104
KDM5B	0	6.39428852485046e-108	0.923221591035803	0.645	0.348	1.28026444844556e-103
SUMO2	0	1.12484040777925e-107	0.514607664267267	0.971	0.916	2.25215546445562e-103
KDELR2	0	1.1780012263756e-106	0.751386147738925	0.845	0.636	2.35859405544923e-102
MEG3	0	2.0671128810123e-106	0.438721787064589	0.961	0.704	4.13877341036282e-102
GPX8	0	2.43436712436091e-106	1.05972946519761	0.541	0.26	4.87408985639541e-102
BOC	0	3.72072733334727e-106	0.779584840898892	0.732	0.418	7.4496402668279e-102
GABARAPL2	0	4.79760712504512e-106	0.741524077335144	0.843	0.643	9.60576898576533e-102
MDFI	0	1.03314711589056e-105	1.16877239699481	0.489	0.221	2.06856715543607e-101
NFIB	0	4.46088047981659e-105	0.747986403734884	0.806	0.536	8.93157489668877e-101
ALDH1A3	0	1.60326083027251e-104	0.998676777039409	0.606	0.316	3.21004883437162e-100
SLC9A3R2	0	4.33757754250036e-103	0.820722115266075	0.585	0.295	8.68469775559422e-99
CPXM1	0	6.13717874125641e-103	0.823979391071183	0.673	0.366	1.22878592757436e-98
KDELR1	0	1.38802958596282e-102	0.676844560525418	0.859	0.664	2.77911283701477e-98
PMEPA1	0	2.10467407941216e-102	1.00529725544211	0.555	0.283	4.21397844179903e-98
RGS3	0	3.09865183728915e-101	1.30378357465555	0.457	0.208	6.20412070862034e-97
TPM1	0	5.93159267563313e-101	0.894171393171769	0.737	0.47	1.18762348551527e-96
SIX1	0	6.67422582595986e-100	1.16027379477971	0.462	0.204	1.33631349487368e-95
EGFL6	0	3.40927272807747e-99	1.79418069792247	0.321	0.112	6.82604585615672e-95
COL6A3	0	5.65813812049295e-99	0.590548150794281	0.899	0.605	1.1328724144851e-94
PRDX6	0	2.1812008455043e-98	0.642386534749405	0.895	0.749	4.36720033286872e-94
EMP1	0	7.65104472032479e-98	0.870163628750741	0.678	0.397	1.53189217390343e-93
WASL	0	1.71291659370624e-97	0.925511679816052	0.596	0.318	3.42960160391863e-93
EEF1A1	0	5.81064541001187e-97	0.31079395146837	1	1	1.16340742399258e-92
SSR2	0	5.4414873937074e-96	0.633083211283366	0.878	0.722	1.0894946059681e-91
SSR4	0	1.53292566810511e-95	0.6054907916866	0.942	0.843	3.06922377268006e-91
EPHX1	0	1.01495915285658e-94	1.11239958404635	0.525	0.27	2.03215121584945e-90
COL14A1	0	1.39299558026495e-94	1.30467788988358	0.423	0.184	2.78905575080649e-90
PRDX4	0	1.80136114920912e-94	0.855489958247108	0.683	0.417	3.6066852929465e-90
COL11A1	0	2.24686232942116e-94	1.23884499226322	0.407	0.17	4.49866775596705e-90
CRABP1	0	2.57804860223609e-94	1.27354003099963	0.584	0.344	5.16176891139709e-90
RPL15	0	3.18696607849934e-94	0.369882921403072	1	0.999	6.38094348237139e-90
LAMA2	0	8.28554838507395e-94	0.720257577348188	0.711	0.414	1.65893249765951e-89
SPRY1	0	1.03627376912623e-93	0.789516082975414	0.742	0.489	2.07482734054453e-89
SUB1	0	1.03660385351385e-93	0.57917663977648	0.931	0.834	2.07548823550544e-89
CSRP2	0	1.80726967269338e-93	1.64707686360698	0.382	0.161	3.61851533866669e-89
SPARCL1	0	2.14570281902579e-93	0.524701152151318	0.725	0.442	4.29612618425344e-89
PRSS35	0	2.17468131259622e-93	1.66269008045347	0.301	0.103	4.35414692408016e-89
PYCR1	0	4.23452011047038e-93	1.22905572259077	0.445	0.205	8.4783561651838e-89
PTMS	0	2.24457248014734e-92	0.513722517263336	0.951	0.802	4.494083019751e-88
IGF2	0	7.95649765062756e-92	0.376306983185867	0.992	0.789	1.59304995960865e-87
TCEB2	0	1.63000408777224e-91	0.485469416661564	0.97	0.907	3.26359418453757e-87
RAB34	0	6.05254792207961e-91	1.00445867146938	0.559	0.305	1.21184114495878e-86
FAM3C	0	1.97835609178607e-90	0.897223778169796	0.584	0.316	3.96106456697406e-86
MFAP2	0	5.89539015242126e-90	1.11170343954687	0.463	0.216	1.18037501631778e-85
MAGED1	0	6.11472965442789e-90	0.90076343617596	0.564	0.295	1.22429117140955e-85
TMEM98	0	6.92626119298135e-90	0.963253824442552	0.51	0.25	1.38677601605873e-85
DUT	0	1.4439191735105e-89	0.427020421460084	0.877	0.669	2.89101496920273e-85
MXRA7	0	1.78209856707599e-89	0.891940229492302	0.612	0.342	3.56811775099954e-85
SOD3	0	2.39387001104738e-89	1.05100139876735	0.522	0.275	4.79300653611907e-85
CALU	0	3.88178405086868e-89	0.688393720192694	0.8	0.553	7.77210802664928e-85
ANGPTL1	0	6.13935799947642e-89	1.3477588275787	0.383	0.162	1.22922225865517e-84
SPRY2	0	7.68804078637733e-89	0.911066996106608	0.555	0.286	1.53929952624847e-84
FAM129A	0	7.90264004048079e-89	0.799764098374468	0.652	0.375	1.58226658890506e-84
LINC00657	0	9.36856922359018e-89	0.669574274004317	0.829	0.614	1.87577492994723e-84
ARF4	0	1.03507462083427e-88	0.765781315254078	0.733	0.496	2.07242640583438e-84
LAMB1	0	1.07008694508572e-88	0.508658821602916	0.945	0.706	2.14252808145063e-84
GTF2H5	0	1.70875503429863e-88	0.897116865932899	0.578	0.319	3.42126932967272e-84
EID1	0	3.57062316589946e-88	0.53442894974359	0.935	0.804	7.1491017027639e-84
ZNF667-AS1	0	6.23307964811028e-88	0.94207986005462	0.548	0.289	1.24798720714464e-83
